task,net_points,ball_radius,points_per_axis,grid_spacing,covering_radius,shifted_available_steps,shifted_selected_steps,shifted_selected_fraction,audit_seconds,mean_infidelity,worst_infidelity,mean_worst_score,max_score,mean_fidelity,worst_fidelity
Z,2145,0.08,13,0.013333333333333336,0.011547005383792518,99,13,0.13131313131313133,324.9392024700064,0.0027254846936393636,0.008897089146801873,0.0049497569803398315,0.008897089146801873,0.9972745153063607,0.9911029108531981
H,2145,0.08,13,0.013333333333333336,0.011547005383792518,99,14,0.1414141414141414,363.6078253209125,0.0012924131399364646,0.0038828044173354614,0.0022631142442703298,0.0038828044173354614,0.9987075868600636,0.9961171955826645
