task,disorder_strength,seed,score_mode,train_points_per_axis,train_net_points,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,0.0,10,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,11,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,12,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,13,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,14,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,15,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,16,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,17,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,18,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,19,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,20,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,21,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,22,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,23,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,24,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,25,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,26,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,27,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,28,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,29,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,30,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,31,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,32,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,33,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,34,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,35,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,36,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,37,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,38,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,39,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,40,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,41,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
Z,0.0,42,mean_worst,13,2145,13,2145,0.9991363687586354,3.71,0.15151515151515152,146.5119715249166
