task,controller,base_slew_weight,filter,filter_kind,filter_width,filter_sigma,eval_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,segments,horizon_steps,beam_width,design_seconds,pulse_energy,rms_slew,max_step,total_variation,high_frequency_fraction
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,10,0.9916908252715608,0.01206504188948641,0.009030209219007768,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,11,0.98998960339918,0.01398564561253849,0.010903378134533792,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,12,0.989859704192898,0.01324448952864906,0.010177675554914667,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,13,0.9904575715895647,0.008270369446235075,0.0031970618119497862,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,14,0.9887894637015407,0.018477795953550813,0.014632661117176426,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,15,0.9912174635330608,0.011800236361187637,0.00580341153773134,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,16,0.9875603000387709,0.017724761285548136,0.012910576506127702,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,17,0.991876643874644,0.012233179105800103,0.00781275188419528,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,18,0.9922248450985848,0.00930232706977288,0.004063694963826192,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,19,0.9878327615688065,0.013075139272953784,0.009461125501334156,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,20,0.9887055258478652,0.016050224571202684,0.012406251300312032,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,21,0.9920464328850014,0.009257425188002792,0.007318106579443429,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,22,0.9917992768308913,0.012532849802586031,0.0099295220110035,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,23,0.9928880200978002,0.009785915203676946,0.005722916163171776,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,24,0.9911617526752677,0.014356555605420084,0.010857314178190358,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,25,0.9901198018172334,0.017154753941412835,0.014586301180237515,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,26,0.9923182559817674,0.009702353506088014,0.004928698917647578,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,27,0.993146268491641,0.009983698623543024,0.007744329067791655,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,28,0.9885211350742751,0.012276250227654498,0.005019714723819901,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,29,0.989077538090761,0.01153619924064634,0.005436505463412344,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,30,0.9923176751849387,0.011683561855624563,0.008571690963539824,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,31,0.9875137183134123,0.018099880001488638,0.013326725580040999,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
Z,bandwidth_filtered_beam_horizon,0.0,none,none,1,0.0,0.08,32,0.9936765510281018,0.008233729586327664,0.004492470126525316,60,4,6,36.85730834398419,4.433333333333334,2.4810312118206275,4.5,126.41963431698633,0.2503816836242056
