task,method,net_points,ball_radius,points_per_axis,covering_radius_h,worst_net_fidelity,mean_net_fidelity,worst_net_infidelity,gradient_norm_max,hessian_norm_mean,hessian_norm_p95,hessian_norm_p99,hessian_norm_max,global_hessian_4T2,third_derivative_8T3,hessian_net_envelope,global_gradient_h_penalty,global_gradient_fidelity_lower_bound,hessian_net_h_penalty,hessian_net_fidelity_lower_bound,pulse_energy,design_seconds
H,selected_full2145_max_net,29503,0.08,31,0.0046188,0.996968,0.99886,0.00303169,0.063654,0.652982,0.81499,0.835273,0.844433,256,4096,19.763,0.00575534,0.991213,0.000715617,0.996253,5.0475,170.9
Z,selected_hard_augmented_mean_worst,29503,0.08,31,0.0046188,0.996298,0.997993,0.00370151,0.0742155,0.883176,1.142,1.20114,1.21546,256,4096,20.1341,0.00580412,0.990494,0.000772314,0.995526,4.1775,33.17
