task,method,net_points,edge_radius_multiplier,grid_spacing,covering_radius_h,axis_radius,cell_radius,neighbor_edges,axis_edges,cell_only_edges,nearest_distance_min,nearest_distance_median,nearest_slope_p95,nearest_slope_max,axis_slope_p95,axis_slope_p99,axis_slope_max,cell_slope_p95,cell_slope_p99,cell_slope_max,analytic_lipschitz_2T,cell_max_over_2T,axis_max_over_2T,worst_net_fidelity,worst_net_infidelity,analytic_h_penalty,analytic_continuous_fidelity_lower_bound,empirical_axis_h_penalty_if_global,empirical_cell_h_penalty_if_global,empirical_cell_lower_bound_if_global
H,terminal_value_shifted,2145,1.01,0.013333333333333336,0.011547005383792518,0.01346666666666667,0.023324950875260885,41912,11576,30336,0.0014140478676543805,0.006221941301248248,0.04369244976576963,0.062402730987073114,0.03485634232951704,0.04752779052163328,0.062402730987073114,0.03424700642745108,0.04392902850052346,0.062402730987073114,16.0,0.0039001706866920696,0.0039001706866920696,0.9961171955826645,0.0038828044173354614,0.18475208614068028,0.8113651094419843,0.0007205646706710894,0.0007205646706710894,0.9953966309119935
Z,terminal_value_shifted,2145,1.01,0.013333333333333336,0.011547005383792518,0.01346666666666667,0.023324950875260885,41912,11576,30336,0.0014140478676543805,0.006221941301248248,0.11048810301249033,0.15829777727099617,0.09029955511003267,0.11734446260336923,0.15908142349863405,0.08792122204343164,0.10954067230961595,0.15908142349863405,16.0,0.009942588968664628,0.009942588968664628,0.9911029108531981,0.008897089146801873,0.18475208614068028,0.8063508247125178,0.0018369140536001049,0.0018369140536001049,0.989265996799598
