task,method,net_points,ball_radius,points_per_axis,covering_radius_h,worst_net_fidelity,mean_net_fidelity,worst_net_infidelity,gradient_norm_max,hessian_norm_mean,hessian_norm_p95,hessian_norm_p99,hessian_norm_max,global_hessian_4T2,third_derivative_8T3,hessian_net_envelope,global_gradient_h_penalty,global_gradient_fidelity_lower_bound,hessian_net_h_penalty,hessian_net_fidelity_lower_bound,pulse_energy,design_seconds
H,selected_full2145_max_net,15381,0.08,25,0.0057735,0.996967,0.998857,0.0030333,0.0636441,0.652988,0.814994,0.835723,0.844427,256,4096,24.4927,0.00890078,0.988066,0.00118387,0.995783,5.0475,170.4
Z,selected_hard_augmented_mean_worst,15381,0.08,25,0.0057735,0.996302,0.997988,0.00369827,0.0742141,0.883158,1.14388,1.20144,1.21546,256,4096,24.8637,0.00896181,0.98734,0.00125727,0.995044,4.1775,32.87
