task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,pulse_energy,design_seconds,time_horizon
Z,terminal_value_shifted,0,-0.08,0.0,0.0,0.08,0.08,13,0.013333333333333336,0.011547005383792518,0.99898066846351,0.0010193315364900313,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,1,-0.07891151390657,-0.01315191898443,0.0,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9986010882600064,0.0013989117399936246,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,2,-0.07891151390657,0.0,-0.01315191898443,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9990208142338275,0.0009791857661725079,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,3,-0.07891151390657,0.0,0.01315191898443,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9989265314288607,0.0010734685711393244,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,4,-0.07891151390657,0.01315191898443,0.0,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9990258824448364,0.0009741175551636339,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,5,-0.07786628214277,-0.01297771369046,-0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9987159553109753,0.0012840446890246549,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,6,-0.07786628214277,-0.01297771369046,0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9984861477474404,0.001513852252559622,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,7,-0.07786628214277,0.01297771369046,-0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9989891001662192,0.0010108998337807762,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,8,-0.07786628214277,0.01297771369046,0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9990532728272086,0.0009467271727914284,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,9,-0.07589466384404,-0.02529822128135,0.0,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9979458423780698,0.002054157621930175,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,10,-0.07589466384404,0.0,-0.02529822128135,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9990485121285232,0.0009514878714768082,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,11,-0.07589466384404,0.0,0.02529822128135,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9988609487992708,0.001139051200729213,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,12,-0.07589466384404,0.02529822128135,0.0,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9987807831716534,0.001219216828346581,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,13,-0.07496340570653,-0.02498780190218,-0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9981217680952049,0.0018782319047950802,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,14,-0.07496340570653,-0.02498780190218,0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9977965332697291,0.002203466730270942,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,15,-0.07496340570653,-0.01249390095109,-0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9988205540351519,0.0011794459648480915,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,16,-0.07496340570653,-0.01249390095109,0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9983816766694233,0.0016183233305766542,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,17,-0.07496340570653,0.01249390095109,-0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.998955700515626,0.0010442994843740117,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,18,-0.07496340570653,0.01249390095109,0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9990606801906716,0.0009393198093283761,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,19,-0.07496340570653,0.02498780190218,-0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9986758313268812,0.0013241686731187974,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,20,-0.07496340570653,0.02498780190218,0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9988946511204344,0.001105348879565593,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,21,-0.07236272269866,-0.02412090756622,-0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.9983053327285579,0.001694667271442074,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,22,-0.07236272269866,-0.02412090756622,0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.9976861450774974,0.0023138549225025784,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,23,-0.07236272269866,0.02412090756622,-0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.998600494129261,0.001399505870739004,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,24,-0.07236272269866,0.02412090756622,0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.9989934500364921,0.0010065499635079078,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,25,-0.07155417527999,-0.03577708764,0.0,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9971413504508166,0.0028586495491833563,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,26,-0.07155417527999,0.0,-0.03577708764,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.999067401980026,0.0009325980199740291,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,27,-0.07155417527999,0.0,0.03577708764,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9987898394379299,0.0012101605620701283,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,28,-0.07155417527999,0.03577708764,0.0,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9983575343182336,0.001642465681766403,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,29,-0.07077213895435,-0.03538606947718,-0.01179535649239,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9973581877285018,0.0026418122714981784,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,30,-0.07077213895435,-0.03538606947718,0.01179535649239,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9969793101226135,0.003020689877386462,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,31,-0.07077213895435,-0.01179535649239,-0.03538606947718,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9989085490005992,0.0010914509994007782,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,32,-0.07077213895435,-0.01179535649239,0.03538606947718,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9982947125657171,0.0017052874342828872,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,33,-0.07077213895435,0.01179535649239,-0.03538606947718,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9989338946193833,0.0010661053806166887,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,34,-0.07077213895435,0.01179535649239,0.03538606947718,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9990451809087283,0.000954819091271708,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,35,-0.07077213895435,0.03538606947718,-0.01179535649239,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9981993937108943,0.0018006062891057217,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,36,-0.07077213895435,0.03538606947718,0.01179535649239,0.08000000000000126,0.08,13,0.013333333333333336,0.011547005383792518,0.9985462441424867,0.0014537558575132836,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,37,-0.06857142857143,-0.03428571428571,-0.02285714285714,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.997606778311526,0.002393221688474001,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,38,-0.06857142857143,-0.03428571428571,0.02285714285714,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.9968823456059017,0.0031176543940982793,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,39,-0.06857142857143,-0.02285714285714,-0.03428571428571,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.9984783278431835,0.0015216721568165337,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,40,-0.06857142857143,-0.02285714285714,0.03428571428571,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.9976167757065939,0.0023832242934060943,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,41,-0.06857142857143,0.02285714285714,-0.03428571428571,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.9985629658212787,0.0014370341787213192,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,42,-0.06857142857143,0.02285714285714,0.03428571428571,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.9990613744750927,0.0009386255249073105,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,43,-0.06857142857143,0.03428571428571,-0.02285714285714,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.9980963831044989,0.0019036168955011146,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,44,-0.06857142857143,0.03428571428571,0.02285714285714,0.07999999999999857,0.08,13,0.013333333333333336,0.011547005383792518,0.9987325652661717,0.0012674347338282876,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,45,-0.06666666666667,-0.04,-0.01333333333333,0.07888106377466379,0.08,13,0.013333333333333336,0.011547005383792518,0.9969737948097412,0.0030262051902587572,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,46,-0.06666666666667,-0.04,0.0,0.07774602526460686,0.08,13,0.013333333333333336,0.011547005383792518,0.9967490608104224,0.0032509391895776396,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,47,-0.06666666666667,-0.04,0.01333333333333,0.07888106377466379,0.08,13,0.013333333333333336,0.011547005383792518,0.9965117985143952,0.0034882014856048027,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,48,-0.06666666666667,-0.02666666666667,-0.02666666666667,0.07659416862051227,0.08,13,0.013333333333333336,0.011547005383792518,0.9981870133462143,0.0018129866537857087,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,49,-0.06666666666667,-0.02666666666667,-0.01333333333333,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9980254475656576,0.0019745524343424137,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,50,-0.06666666666667,-0.02666666666667,0.0,0.07180219742846439,0.08,13,0.013333333333333336,0.011547005383792518,0.9978473423006751,0.0021526576993249336,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,51,-0.06666666666667,-0.02666666666667,0.01333333333333,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9976541781691805,0.00234582183081955,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,52,-0.06666666666667,-0.02666666666667,0.02666666666667,0.07659416862051227,0.08,13,0.013333333333333336,0.011547005383792518,0.9974479213964332,0.0025520786035667653,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,53,-0.06666666666667,-0.01333333333333,-0.04,0.07888106377466379,0.08,13,0.013333333333333336,0.011547005383792518,0.9988996770674483,0.0011003229325516894,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,54,-0.06666666666667,-0.01333333333333,-0.02666666666667,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.998818944933767,0.0011810550662330055,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,55,-0.06666666666667,-0.01333333333333,-0.01333333333333,0.06928203230275702,0.08,13,0.013333333333333336,0.011547005383792518,0.9987194734974967,0.0012805265025033208,4.705,272.2985820590984,8.0
