step,selected_shifted,selected_cost,selected_phi,selected_energy_mean,shifted_available,previous_terminal_phi,best_shifted_margin,best_shifted_phi,best_shifted_cost,task,beam_width,residual_threshold,current_outside_residual,terminal_outside_residual
48,0,0.006606739042555286,0.006606739042555286,1.7083333333333333,1,0.006155870273861164,-0.00045086876869412235,0.006606739042555286,0.006606739042555286,Z,6,0.001,1,1
49,0,0.007077406881794916,0.007077406881794916,4.208333333333333,1,0.006606739042555286,-0.0004706678392396302,0.007077406881794916,0.007077406881794916,Z,6,0.001,1,1
50,0,0.00677114601225514,0.00677114601225514,3.416666666666666,1,0.007077406881794916,-0.00042681737705940054,0.007504224258854317,0.007504224258854317,Z,6,0.001,1,1
51,0,0.006415730322728817,0.006415730322728817,3.5833333333333326,1,0.00677114601225514,-0.0003258791942876704,0.0070970252065428105,0.0070970252065428105,Z,6,0.001,1,1
52,0,0.006005721029311295,0.006005721029311295,3.7083333333333326,1,0.006415730322728817,-0.00010775314341154169,0.006523483466140359,0.006523483466140359,Z,6,0.001,1,1
53,0,0.005894165063018521,0.005894165063018521,3.7499999999999996,1,0.006005721029311295,4.0191992462031145e-05,0.005965529036849264,0.005965529036849264,Z,6,0.001,1,1
54,0,0.005554225594515204,0.005554225594515204,6.25,1,0.005894165063018521,0.0003399394685033169,0.005554225594515204,0.005554225594515204,Z,6,0.001,1,1
55,0,0.0052688657080592685,0.0052688657080592685,3.5833333333333335,1,0.005554225594515204,0.00028535988645593535,0.0052688657080592685,0.0052688657080592685,Z,6,0.001,1,1
56,0,0.005047614256399352,0.005047614256399352,2.9166666666666665,1,0.0052688657080592685,-3.7590003996751387e-05,0.00530645571205602,0.00530645571205602,Z,6,0.001,1,1
57,0,0.004934895816565928,0.004934895816565928,3.0,1,0.005047614256399352,-5.8416915963400984e-05,0.005106031172362753,0.005106031172362753,Z,6,0.001,1,1
58,0,0.004320207997395277,0.004320207997395277,3.5833333333333335,1,0.004934895816565928,-0.00016370110310274383,0.0050985969196686715,0.0050985969196686715,Z,6,0.001,1,1
59,0,0.004332642697693519,0.004332642697693519,3.4166666666666665,1,0.004320207997395277,-0.0001080755643810341,0.004428283561776311,0.004428283561776311,Z,6,0.001,1,1
60,0,0.004420700369955587,0.004420700369955587,1.708333333333333,1,0.004332642697693519,-0.00010683619840763658,0.004439478896101155,0.004439478896101155,Z,6,0.001,1,1
61,0,0.004315247985084529,0.004315247985084529,1.708333333333333,1,0.004420700369955587,-0.00016741192756805634,0.004588112297523643,0.004588112297523643,Z,6,0.001,1,1
62,1,0.004555899290624589,0.004555899290624589,1.5416666666666663,1,0.004315247985084529,-0.00024065130554005998,0.004555899290624589,0.004555899290624589,Z,6,0.001,1,1
63,0,0.004683530625814149,0.004683530625814149,2.7083333333333326,1,0.004555899290624589,-0.00033230736910715153,0.004888206659731741,0.004888206659731741,Z,6,0.001,1,1
64,0,0.005001828673700817,0.005001828673700817,3.3749999999999996,1,0.004683530625814149,-0.0003869064975056541,0.005070437123319803,0.005070437123319803,Z,6,0.001,1,1
65,0,0.004797502665384021,0.004797502665384021,2.9583333333333335,1,0.005001828673700817,-0.000335723257085592,0.005337551930786409,0.005337551930786409,Z,6,0.001,1,1
66,1,0.004997881232311853,0.004997881232311853,2.7916666666666665,1,0.004797502665384021,-0.00020037856692783212,0.004997881232311853,0.004997881232311853,Z,6,0.001,1,1
67,0,0.004177090293189696,0.004177090293189696,4.25,1,0.004997881232311853,-0.000263034724107325,0.005260915956419178,0.005260915956419178,Z,6,0.001,1,1
68,0,0.003999960271134709,0.003999960271134709,5.5,1,0.004177090293189696,7.753017496418824e-05,0.004099560118225508,0.004099560118225508,Z,6,0.001,1,1
69,0,0.0038326895183158766,0.0038326895183158766,3.0,1,0.003999960271134709,7.316029460856244e-05,0.003926799976526146,0.003926799976526146,Z,6,0.001,1,1
70,0,0.003068970729021528,0.003068970729021528,0.4583333333333333,1,0.0038326895183158766,8.729603072639425e-05,0.0037453934875894823,0.0037453934875894823,Z,6,0.001,1,1
71,1,0.0029383512274058082,0.0029383512274058082,0.2916666666666666,1,0.003068970729021528,0.00013061950161571967,0.0029383512274058082,0.0029383512274058082,Z,6,0.001,1,1
72,0,0.0018975132623689703,0.0018975132623689703,2.2499999999999996,1,0.0029383512274058082,6.138345768144648e-05,0.0028769677697243617,0.0028769677697243617,Z,6,0.001,1,1
73,0,0.0015256332333190917,0.0015256332333190917,3.541666666666666,1,0.0018975132623689703,0.00019313934747896416,0.0017043739148900061,0.0017043739148900061,Z,6,0.001,1,1
74,0,0.0013564083439032912,0.0013564083439032912,1.7499999999999998,1,0.0015256332333190917,0.00012986727466807874,0.001395765958651013,0.001395765958651013,Z,6,0.001,1,1
75,0,0.0012748431580721711,0.0012748431580721711,0.08333333333333333,1,0.0013564083439032912,6.878838290928779e-05,0.0012876199609940034,0.0012876199609940034,Z,6,0.001,1,1
76,0,0.0012998158370976995,0.0012998158370976995,0.4166666666666667,1,0.0012748431580721711,-7.570697986826469e-05,0.0013505501379404358,0.0013505501379404358,Z,6,0.001,1,1
77,0,0.0013725516370194576,0.0013725516370194576,1.7083333333333333,1,0.0012998158370976995,-0.0001705442624275605,0.00147036009952526,0.00147036009952526,Z,6,0.001,1,1
78,0,0.001519155992658644,0.001519155992658644,1.75,1,0.0013725516370194576,-0.00014660435563918633,0.001519155992658644,0.001519155992658644,Z,6,0.001,1,1
79,0,0.0017535732154342482,0.0017535732154342482,0.2083333333333333,1,0.001519155992658644,-0.00024002784688470502,0.001759183839543349,0.001759183839543349,Z,6,0.001,1,1
80,0,0.002034092412689169,0.002034092412689169,0.16666666666666663,1,0.0017535732154342482,-0.00028051919725492064,0.002034092412689169,0.002034092412689169,Z,6,0.001,1,1
81,0,0.002329353783913621,0.002329353783913621,0.2083333333333333,1,0.002034092412689169,-0.0003242375202504033,0.002358329932939572,0.002358329932939572,Z,6,0.001,1,1
82,0,0.0025262036703329535,0.0025262036703329535,0.7499999999999999,1,0.002329353783913621,-0.00033180623165374873,0.0026611600155673695,0.0026611600155673695,Z,6,0.001,1,1
83,0,0.002536092610769723,0.002536092610769723,2.8333333333333326,1,0.0025262036703329535,-0.00032925633540738936,0.002855460005740343,0.002855460005740343,Z,6,0.001,1,1
84,0,0.0026844447819236936,0.0026844447819236936,2.208333333333333,1,0.002536092610769723,-0.0002470876187549084,0.0027831802295246316,0.0027831802295246316,Z,6,0.001,1,1
85,0,0.002711916509481299,0.002711916509481299,0.3333333333333333,1,0.0026844447819236936,-0.00027060467886614453,0.002955049460789838,0.002955049460789838,Z,6,0.001,1,1
86,0,0.0028404304160447383,0.0028404304160447383,1.0833333333333333,1,0.002711916509481299,-0.0002629526926918521,0.0029748692021731513,0.0029748692021731513,Z,6,0.001,1,1
87,0,0.002857110641351447,0.002857110641351447,1.0,1,0.0028404304160447383,-0.0002233993043110269,0.003063829720355765,0.003063829720355765,Z,6,0.001,1,1
88,0,0.0027907815253554735,0.0027907815253554735,2.2083333333333335,1,0.002857110641351447,-0.00025959807143813296,0.00311670871278958,0.00311670871278958,Z,6,0.001,1,1
89,0,0.0029773276981741245,0.0029773276981741245,1.7916666666666667,1,0.0027907815253554735,-0.00029032995216181356,0.003081111477517287,0.003081111477517287,Z,6,0.001,1,1
90,0,0.0031393621392014834,0.0031393621392014834,0.4166666666666667,1,0.0029773276981741245,-0.00033471104807591273,0.0033120387462500372,0.0033120387462500372,Z,6,0.001,1,1
91,0,0.003535930126015295,0.003535930126015295,0.37499999999999994,1,0.0031393621392014834,-0.00039656798681381167,0.003535930126015295,0.003535930126015295,Z,6,0.001,1,1
92,0,0.004024034763927695,0.004024034763927695,0.2083333333333333,1,0.003535930126015295,-0.0004881046379123996,0.004024034763927695,0.004024034763927695,Z,6,0.001,1,1
93,0,0.004247522191998018,0.004247522191998018,1.6666666666666663,1,0.004024034763927695,-0.0005464397396351683,0.004570474503562863,0.004570474503562863,Z,6,0.001,1,1
94,0,0.004757241938814841,0.004757241938814841,0.7916666666666665,1,0.004247522191998018,-0.0005879735188356813,0.0048354957108337,0.0048354957108337,Z,6,0.001,1,1
95,0,0.00508992070617139,0.00508992070617139,0.7916666666666666,1,0.004757241938814841,-0.00054044961288853,0.005297691551703371,0.005297691551703371,Z,6,0.001,1,1
96,1,0.0056054642255009834,0.0056054642255009834,0.75,1,0.00508992070617139,-0.0005155435193295935,0.0056054642255009834,0.0056054642255009834,Z,6,0.001,1,1
97,0,0.005948974989240914,0.005948974989240914,2.75,1,0.0056054642255009834,-0.0005758837982128354,0.006181348023713819,0.006181348023713819,Z,6,0.001,1,1
98,0,0.006494388637867311,0.006494388637867311,2.7083333333333335,1,0.005948974989240914,-0.0005454136486263972,0.006494388637867311,0.006494388637867311,Z,6,0.001,1,1
99,0,0.006294538416336877,0.006294538416336877,0.8333333333333334,1,0.006494388637867311,-0.0006060149810409726,0.007100403618908284,0.007100403618908284,Z,6,0.001,1,1
0,0,0.001362620597661908,0.001362620597661908,5.916666666666667,0,nan,nan,nan,nan,H,8,0.001,1,0
1,0,0.0015292750135441485,0.0015292750135441485,6.5,1,0.001362620597661908,-0.0003261672727086634,0.0016887878703705714,0.0016887878703705714,H,8,0.001,1,1
2,1,0.0017920963625300823,0.0017920963625300823,4.999999999999999,1,0.0015292750135441485,-0.0002628213489859338,0.0017920963625300823,0.0017920963625300823,H,8,0.001,1,1
3,0,0.002090148227521578,0.002090148227521578,3.4999999999999996,1,0.0017920963625300823,-0.00029805186499149566,0.002090148227521578,0.002090148227521578,H,8,0.001,1,1
4,0,0.002376640662202903,0.002376640662202903,3.4583333333333326,1,0.002090148227521578,-0.0003588365433026819,0.00244898477082426,0.00244898477082426,H,8,0.001,1,1
5,0,0.0027198595251786764,0.0027198595251786764,3.541666666666666,1,0.002376640662202903,-0.00038769280884765056,0.0027643334710505535,0.0027643334710505535,H,8,0.001,1,1
6,0,0.00290791565890601,0.00290791565890601,3.5416666666666665,1,0.0027198595251786764,-0.00033323988428522744,0.003053099409463904,0.003053099409463904,H,8,0.001,1,1
7,0,0.0028743557997629107,0.0028743557997629107,2.9166666666666665,1,0.00290791565890601,-0.0002933033428363166,0.0032012190017423267,0.0032012190017423267,H,8,0.001,1,1
8,0,0.0032427455427495658,0.0032427455427495658,2.875,1,0.0028743557997629107,-0.00036838974298665506,0.0032427455427495658,0.0032427455427495658,H,8,0.001,1,1
9,0,0.0031299852094118785,0.0031299852094118785,3.5416666666666665,1,0.0032427455427495658,-0.0003467447087652717,0.0035894902515148375,0.0035894902515148375,H,8,0.001,1,1
10,0,0.0032978774200627184,0.0032978774200627184,3.25,1,0.0031299852094118785,-0.0003452296289589707,0.003475214838370849,0.003475214838370849,H,8,0.001,1,1
11,0,0.003192340493067519,0.003192340493067519,3.541666666666666,1,0.0032978774200627184,-0.00038570378606676836,0.0036835812061294868,0.0036835812061294868,H,8,0.001,1,1
12,0,0.00334727045019257,0.00334727045019257,3.0833333333333326,1,0.003192340493067519,-0.000250956537418745,0.0034432970304862642,0.0034432970304862642,H,8,0.001,1,1
13,0,0.0029482791619422632,0.0029482791619422632,4.416666666666665,1,0.00334727045019257,-0.00034797848541565785,0.003695248935608228,0.003695248935608228,H,8,0.001,1,1
14,0,0.002692108776397556,0.002692108776397556,5.624999999999999,1,0.0029482791619422632,-0.00025327715771176346,0.0032015563196540267,0.0032015563196540267,H,8,0.001,1,1
15,0,0.0026665270080821965,0.0026665270080821965,3.6249999999999996,1,0.002692108776397556,-0.00010613755363834271,0.0027982463300358987,0.0027982463300358987,H,8,0.001,1,1
16,0,0.002438367905550874,0.002438367905550874,3.7083333333333335,1,0.0026665270080821965,-0.00013897449024449782,0.0028055014983266943,0.0028055014983266943,H,8,0.001,1,1
17,0,0.0025109715698557467,0.0025109715698557467,3.0833333333333335,1,0.002438367905550874,-0.00012351552085128337,0.0025618834264021575,0.0025618834264021575,H,8,0.001,1,1
18,1,0.0027239141432609595,0.0027239141432609595,2.9166666666666665,1,0.0025109715698557467,-0.0002129425734052129,0.0027239141432609595,0.0027239141432609595,H,8,0.001,1,1
19,0,0.0024684146753591527,0.0024684146753591527,3.4166666666666665,1,0.0027239141432609595,-0.00025985370166545924,0.0029837678449264188,0.0029837678449264188,H,8,0.001,1,1
20,0,0.002665734579231839,0.002665734579231839,2.9583333333333335,1,0.0024684146753591527,-0.0002525601792804158,0.0027209748546395685,0.0027209748546395685,H,8,0.001,1,1
21,0,0.002749676852660088,0.002749676852660088,1.0416666666666665,1,0.002665734579231839,-0.0002640010813530491,0.002929735660584888,0.002929735660584888,H,8,0.001,1,1
22,0,0.0029521126206860093,0.0029521126206860093,0.5416666666666665,1,0.002749676852660088,-0.0002751025408043589,0.003024779393464447,0.003024779393464447,H,8,0.001,1,1
23,0,0.0032559728318891437,0.0032559728318891437,0.4166666666666666,1,0.0029521126206860093,-0.0003038602112031344,0.0032559728318891437,0.0032559728318891437,H,8,0.001,1,1
24,0,0.0031916933849076776,0.0031916933849076776,3.7083333333333326,1,0.0032559728318891437,-0.00040424215998170754,0.0036602149918708513,0.0036602149918708513,H,8,0.001,1,1
25,0,0.0029853543632143223,0.0029853543632143223,3.4583333333333326,1,0.0031916933849076776,-0.0003437483218852039,0.0035354417067928814,0.0035354417067928814,H,8,0.001,1,1
26,0,0.0032387979720159346,0.0032387979720159346,1.125,1,0.0029853543632143223,-0.00032685176885201284,0.003312206132066335,0.003312206132066335,H,8,0.001,1,1
27,0,0.003602945182315173,0.003602945182315173,1.0833333333333333,1,0.0032387979720159346,-0.0003641472102992385,0.003602945182315173,0.003602945182315173,H,8,0.001,1,1
28,0,0.003035235779247872,0.003035235779247872,2.875,1,0.003602945182315173,-0.00047054951456046434,0.0040734946968756375,0.0040734946968756375,H,8,0.001,1,1
29,0,0.0028539415808631063,0.0028539415808631063,4.0,1,0.003035235779247872,-0.00018996518305656324,0.003225200962304435,0.003225200962304435,H,8,0.001,1,1
30,0,0.0023924397454716806,0.0023924397454716806,1.8333333333333333,1,0.0028539415808631063,-0.00014180625911189987,0.002995747839975006,0.002995747839975006,H,8,0.001,1,1
31,0,0.0022767663069654318,0.0022767663069654318,1.6249999999999998,1,0.0023924397454716806,-9.74205944270154e-05,0.002489860339898696,0.002489860339898696,H,8,0.001,1,1
32,0,0.0013511430618538822,0.0013511430618538822,3.0833333333333326,1,0.0022767663069654318,-5.7627585018447947e-05,0.0023343938919838797,0.0023343938919838797,H,8,0.001,1,1
33,0,0.0012068767523358212,0.0012068767523358212,2.416666666666666,1,0.0013511430618538822,9.903783253414206e-05,0.0012521052293197402,0.0012521052293197402,H,8,0.001,1,1
34,0,0.0010289491708403292,0.0010289491708403292,4.208333333333333,1,0.0012068767523358212,0.00010381558515257933,0.0011030611671832419,0.0011030611671832419,H,8,0.001,1,1
35,0,0.0005383862094744951,0.0005383862094744951,4.291666666666666,1,0.0010289491708403292,8.369107444900631e-05,0.0009452580963913229,0.0009452580963913229,H,8,0.001,0,1
36,0,0.00044877479604865655,0.00044877479604865655,1.7916666666666667,1,0.0005383862094744951,5.3704965189721454e-05,0.00048468124428477366,0.00048468124428477366,H,8,0.001,0,0
37,1,0.00047856444822972494,0.00047856444822972494,1.625,1,0.00044877479604865655,-2.9789652181068382e-05,0.00047856444822972494,0.00047856444822972494,H,8,0.001,0,0
38,1,0.0005706738041506496,0.0005706738041506496,1.5833333333333333,1,0.00047856444822972494,-9.210935592092462e-05,0.0005706738041506496,0.0005706738041506496,H,8,0.001,0,0
39,0,0.0007163572882430413,0.0007163572882430413,1.5833333333333333,1,0.0005706738041506496,-0.0001456834840923918,0.0007163572882430413,0.0007163572882430413,H,8,0.001,0,0
40,0,0.0008974842875410158,0.0008974842875410158,0.8749999999999999,1,0.0007163572882430413,-0.00019300634044094184,0.0009093636286839832,0.0009093636286839832,H,8,0.001,0,0
41,0,0.0011195083784193774,0.0011195083784193774,0.8749999999999999,1,0.0008974842875410158,-0.00022824958089943947,0.0011257338684404553,0.0011257338684404553,H,8,0.001,1,0
42,1,0.00139568490491275,0.00139568490491275,0.8333333333333331,1,0.0011195083784193774,-0.0002761765264933727,0.00139568490491275,0.00139568490491275,H,8,0.001,1,1
43,0,0.0015827777620372602,0.0015827777620372602,1.583333333333333,1,0.00139568490491275,-0.0003064656387415862,0.0017021505436543363,0.0017021505436543363,H,8,0.001,1,1
44,0,0.001748641476692063,0.001748641476692063,5.375,1,0.0015827777620372602,-0.00025733571754764373,0.001840113479584904,0.001840113479584904,H,8,0.001,1,1
45,0,0.0017196762139164712,0.0017196762139164712,3.375,1,0.001748641476692063,-0.00021089063899467492,0.001959532115686738,0.001959532115686738,H,8,0.001,1,1
46,0,0.001831625943361656,0.001831625943361656,2.9583333333333335,1,0.0017196762139164712,-0.00013644499401242044,0.0018561212079288916,0.0018561212079288916,H,8,0.001,1,1
47,0,0.0018010443037402013,0.0018010443037402013,3.0416666666666665,1,0.001831625943361656,-0.00023448263767162497,0.002066108581033281,0.002066108581033281,H,8,0.001,1,1
48,0,0.001999997146158443,0.001999997146158443,2.875,1,0.0018010443037402013,-0.00019895284241824157,0.001999997146158443,0.001999997146158443,H,8,0.001,1,1
49,0,0.0022233100577139647,0.0022233100577139647,5.375,1,0.001999997146158443,-0.00022331291155552185,0.0022233100577139647,0.0022233100577139647,H,8,0.001,1,1
50,0,0.0023215867448687436,0.0023215867448687436,3.416666666666666,1,0.0022233100577139647,-0.00025299089985880013,0.002476300957572765,0.002476300957572765,H,8,0.001,1,1
51,0,0.0024917847762973705,0.0024917847762973705,2.8749999999999996,1,0.0023215867448687436,-0.000294376370713334,0.0026159631155820776,0.0026159631155820776,H,8,0.001,1,1
52,0,0.0026730899493994514,0.0026730899493994514,2.9999999999999996,1,0.0024917847762973705,-0.0003683848926559624,0.002860169668953333,0.002860169668953333,H,8,0.001,1,1
53,0,0.0030865309573208446,0.0030865309573208446,2.8333333333333326,1,0.0026730899493994514,-0.0004134410079213932,0.0030865309573208446,0.0030865309573208446,H,8,0.001,1,1
54,0,0.0033433668807421185,0.0033433668807421185,5.416666666666667,1,0.0030865309573208446,-0.0003786211805556494,0.003465152137876494,0.003465152137876494,H,8,0.001,1,1
55,0,0.003267179317727298,0.003267179317727298,2.9583333333333335,1,0.0033433668807421185,-0.0002168599595782847,0.003560226840320403,0.003560226840320403,H,8,0.001,1,1
56,0,0.0030231799239374274,0.0030231799239374274,3.5833333333333335,1,0.003267179317727298,-0.00020414262147548656,0.0034713219392027844,0.0034713219392027844,H,8,0.001,1,1
57,0,0.0029188238136924616,0.0029188238136924616,3.5833333333333335,1,0.0030231799239374274,-0.0002433042238842581,0.0032664841478216855,0.0032664841478216855,H,8,0.001,1,1
58,0,0.003016608787292631,0.003016608787292631,3.0,1,0.0029188238136924616,-0.00020243374528548103,0.0031212575589779426,0.0031212575589779426,H,8,0.001,1,1
59,0,0.0031674159010478264,0.0031674159010478264,5.75,1,0.003016608787292631,-0.0003094252297522679,0.0033260340170448988,0.0033260340170448988,H,8,0.001,1,1
60,0,0.003086952867298799,0.003086952867298799,3.5833333333333326,1,0.0031674159010478264,-0.00015742181810624034,0.003324837719154067,0.003324837719154067,H,8,0.001,1,1
61,0,0.0030418722714088686,0.0030418722714088686,3.0833333333333326,1,0.003086952867298799,-0.00016039551910872196,0.003247348386407521,0.003247348386407521,H,8,0.001,1,1
62,0,0.003223283299180549,0.003223283299180549,3.1249999999999996,1,0.0030418722714088686,-0.00022628072203213084,0.0032681529934409995,0.0032681529934409995,H,8,0.001,1,1
