system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success,refinement_label,terminal_target_weight,leakage_weight,worst_weight,trust_radius,horizon_maxiter
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,12,0.7279733027357357,0.002043788767391641,0.03494294610998738,0.23011051904622448,0.9999996761031691,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,13,0.8552594830621123,0.0007563819965691332,0.024835072844650474,0.14300712692487502,0.9999997335554666,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,14,0.9551055069093615,0.002097254634970902,0.02434040417702421,0.039997826252386966,0.9999997014754682,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,15,0.9642156186655768,0.0008573210479473348,0.03796437983800871,0.03802234673256637,0.9999996561264747,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,16,0.8753922263121334,0.0025850799440217953,0.03663459819268555,0.09045447795970411,0.9999996202471984,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,17,0.855874856274148,0.0017428537904239372,0.02380072171568881,0.14487628213101428,0.9999997745221209,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,18,0.93892467383595,0.0017917131126108377,0.03128427326462424,0.06931383380324366,0.9999997211327593,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,19,0.7460493352420502,0.0013263833413197368,0.027769401712656627,0.20599117712643028,0.9999996701357833,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,20,0.7227446512530289,0.00294200262215627,0.03422054199605573,0.22703866759929375,0.9999997116046223,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,21,0.8401540306350374,0.003946087727070946,0.026237290378185785,0.12430273041339995,0.9999997076898847,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
