system,eval_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy
three_level_chain,0.0,10,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,11,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,12,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,13,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,14,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,15,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,16,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,17,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,18,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,19,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,20,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,21,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,22,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,23,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,24,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,25,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,26,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,27,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,28,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,29,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,30,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,31,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,32,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,33,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,34,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,35,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,36,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,37,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,38,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,39,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,40,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,41,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,42,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,43,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,44,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,45,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,46,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,47,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,48,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,49,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,50,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,51,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,52,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,53,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,54,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,55,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,56,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,57,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,58,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.0,59,0.0018025789932171188,0.0,0.9981974210067829,3.478125
three_level_chain,0.03,10,0.0005796601570386515,0.0003568685290317175,0.9994917997962997,3.478125
three_level_chain,0.03,11,0.002100285263805509,0.0010893151379759436,0.9972423162357099,3.478125
three_level_chain,0.03,12,0.002757284781262261,0.000498713693038555,0.9974798134694809,3.478125
three_level_chain,0.03,13,0.002480974351526081,0.0013269078093507414,0.9974864349366886,3.478125
