task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used
Z,selected_hard_augmented_mean_worst,0,-0.08,0.0,0.0,0.08,0.08,13,0.013333333333333336,0.011547005383792518,0.9991004764435566,0.0008995235564434045,-0.0036377780802918647,-0.004379203798881515,-0.009725331537506043,0.011269113930917547,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,1,-0.07891151390657,-0.01315191898443,0.0,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9989891678987484,0.0010108321012516353,-0.004651217680663608,-0.013129151159996522,-0.009854506584305867,0.017062231275981565,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,2,-0.07891151390657,0.0,-0.01315191898443,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9989251341805725,0.0010748658194275063,-0.0048779031218709745,-0.004439811579283859,-0.01764782916049945,0.01884016294526341,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,3,-0.07891151390657,0.0,0.01315191898443,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9991787575308191,0.0008212424691809161,-0.002431657322708447,-0.004133182924234424,-0.0017059906249046186,0.005089848959696848,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,4,-0.07891151390657,0.01315191898443,0.0,0.07999999999999875,0.08,13,0.013333333333333336,0.011547005383792518,0.9990987022649009,0.0009012977350990603,-0.0021303857566157824,0.005233436012245907,-0.009563650531924206,0.011108141494554248,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,5,-0.07786628214277,-0.01297771369046,-0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9988185814558492,0.0011814185441507696,-0.006048716508804841,-0.013220115819611411,-0.017647307440828375,0.02286451166325108,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,6,-0.07786628214277,-0.01297771369046,0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9990716327538186,0.0009283672461813941,-0.0032460145833673876,-0.012697922502053205,-0.001896189326055897,0.013242710466661695,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,7,-0.07786628214277,0.01297771369046,-0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9989276608814609,0.0010723391185391007,-0.0031950677650943587,0.005285285579176624,-0.017377149475149456,0.01844201793618812,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,8,-0.07786628214277,0.01297771369046,0.01297771369046,0.08000000000000354,0.08,13,0.013333333333333336,0.011547005383792518,0.9991743471313894,0.0008256528686105824,-0.0011621460636154837,0.005148263391098973,-0.0017215982383332884,0.005551495286095372,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,9,-0.07589466384404,-0.02529822128135,0.0,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9987989126912853,0.00120108730871471,-0.004918218455074841,-0.02051512195163957,-0.009778852838756402,0.023252635642105966,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,10,-0.07589466384404,0.0,-0.02529822128135,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9986842138209874,0.0013157861790126235,-0.006107615709585068,-0.004201102139032631,-0.02472798164455231,0.025815214604025104,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,11,-0.07589466384404,0.0,0.02529822128135,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9991600525935171,0.0008399474064828549,-0.0012989459380125246,-0.0038485095470122688,0.005669849479991218,0.006974631130682145,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,12,-0.07589466384404,0.02529822128135,0.0,0.07999999999999989,0.08,13,0.013333333333333336,0.011547005383792518,0.9989811632673833,0.0010188367326167125,-0.0005074781394864419,0.014846716340866623,-0.009532967835649109,0.017651062175510376,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,13,-0.07496340570653,-0.02498780190218,-0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.998641818908852,0.0013581810911480474,-0.006422667396755302,-0.020566933875037996,-0.01722633372216037,0.02758615593040771,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,14,-0.07496340570653,-0.02498780190218,0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9988833236561901,0.0011166763438098526,-0.0034030714154041353,-0.020055745873709507,-0.0021236018525736533,0.02045295876975776,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,15,-0.07496340570653,-0.01249390095109,-0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9985907779890042,0.0014092220109958031,-0.007363622052799848,-0.012868351032670866,-0.024553429971881258,0.028682543670682317,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,16,-0.07496340570653,-0.01249390095109,0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9990633108592817,0.0009366891407183164,-0.0019117083056704037,-0.012087088326775075,0.0054841168269110785,0.013409991433123316,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,17,-0.07496340570653,0.01249390095109,-0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9986898985629571,0.0013101014370429098,-0.0043374525703591404,0.005404505536285381,-0.024453218190881698,0.02541617702926075,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,18,-0.07496340570653,0.01249390095109,0.02498780190218,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9991561487437375,0.0008438512562625178,-0.0002889844661332769,0.004941767649910722,0.005469744542790256,0.007377173231716486,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,19,-0.07496340570653,0.02498780190218,-0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9988208451353897,0.0011791548646102878,-0.001405526533633475,0.015072287545282226,-0.017033435127017327,0.022787875480411186,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,20,-0.07496340570653,0.02498780190218,0.01249390095109,0.08000000000000033,0.08,13,0.013333333333333336,0.011547005383792518,0.9990579633696149,0.0009420366303850569,0.00024017672345100216,0.014369901368764704,-0.0020479620007269883,0.014517089879274532,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,21,-0.07236272269866,-0.02412090756622,-0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.9984391806379935,0.0015608193620064714,-0.007817710617747206,-0.020137727339275935,-0.023821400981647423,0.03215748445420275,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,22,-0.07236272269866,-0.02412090756622,0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.9988901186012382,0.0011098813987617806,-0.001977074403815296,-0.01932045041405739,0.005055446660329699,0.020068536776150638,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,23,-0.07236272269866,0.02412090756622,-0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.9986008024137891,0.0013991975862108763,-0.002450531724922503,0.01511542332726512,-0.02392427243702916,0.028405139319117506,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,24,-0.07236272269866,0.02412090756622,0.02412090756622,0.07999999999999638,0.08,13,0.013333333333333336,0.011547005383792518,0.999052239030378,0.0009477609696220135,0.0008655813921506217,0.013628993654487165,0.004836652225270188,0.01448764659731524,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,25,-0.07155417527999,-0.03577708764,0.0,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9985728649774832,0.00142713502251679,-0.004439185532031986,-0.02650120873180284,-0.009435157391615656,0.028478810147879154,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,26,-0.07155417527999,0.0,-0.03577708764,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9984236155122039,0.0015763844877960675,-0.007262538023843898,-0.0036523549985487125,-0.030510228955789087,0.031574645311038305,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,27,-0.07155417527999,0.0,0.03577708764,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9990709779021543,0.0009290220978457331,-0.0002846428101677262,-0.003625018287796211,0.011943327980915519,0.012484584990137104,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
