task,controller,disorder_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
Z,finite_candidate_seed,0.05,10,0.9997938130820042,0.0008920659135025488,0.0019831056737885655,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,11,0.9983068176684974,0.0031314184029305877,0.006913460378096925,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,12,0.9981998334062376,0.003034242372666243,0.006679491770357204,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,13,0.9987781121752275,0.0003786593971759622,0.001211909954621948,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,14,0.9998261611971714,0.0011936446612228308,0.002239439075861216,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,15,0.9987789572670744,0.0008177025795053339,0.0015792502730929137,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,16,0.9977721163009106,0.003171899848560401,0.0077404781605034945,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,17,0.9997229133691246,0.0003092477196318794,0.0008322030794907231,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,18,0.9982430346602058,0.0007536530095298464,0.0017416827851206573,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,19,0.9975648345745725,0.002814665075365097,0.006483269131089431,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,20,0.9980072320124412,0.0033132527870178927,0.007628351096307662,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,21,0.998566358630586,0.0006878194089438358,0.0014535390829290007,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,22,0.9998871934603175,0.0009806294491936972,0.002294043399449275,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,23,0.9998733429063068,0.0003873042647342886,0.0012087554134062595,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,24,0.9996013449078953,0.00047714868156014154,0.0013119632013880445,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,25,0.9996198538173798,0.0008454435345565883,0.0019283873783489947,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,26,0.9985727306202541,0.0006581957762632143,0.0012477709392298975,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,27,0.9996646629373636,0.0016466995921688475,0.004073507287843725,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,28,0.9986755541839583,0.0009887612380321286,0.0017928525398843709,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,29,0.9988837992891437,0.0008829427941605683,0.0008978502084849849,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,30,0.9995641299371925,0.00035514713391933297,0.0009189616999405459,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,31,0.9977686770273079,0.0030033566189690765,0.007506032272732499,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,32,0.9995689183147702,0.0007579962522761957,0.0018713014063848066,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,33,0.9985509367512403,0.000872250438392495,0.002247396552419678,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,34,0.9980692192616626,0.0017244439379456257,0.004262947317410615,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,35,0.9976458530503779,0.0028397625045843465,0.0072491580579900905,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,36,0.99924208036952,0.0007915237377494547,0.0006385997016341571,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,37,0.9997630958949456,0.0009844939510653171,0.002032574065479187,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,38,0.9999853622730628,0.0004625757350548837,0.0016158426952032068,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,39,0.9983153676078568,0.0028733224528147204,0.006220960078442195,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,40,0.9997674585655011,0.0008542627864232928,0.001962372616596375,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,41,0.9982864472454506,0.0012711117451989196,0.0031029854346382724,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,42,0.9982945506874541,0.0007185836618704208,0.0018718621943062397,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,43,0.9985385181111497,0.0006682073965913044,0.0013937553096519117,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,44,0.9999696741817918,0.0004934179163561878,0.0016878478501262117,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,45,0.9988228549123666,0.0006152975727542732,0.0011266645035156175,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,46,0.9974700149636491,0.0016267874937584757,0.003942774928341386,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,47,0.9994728867023243,0.001106336055358353,0.0018904854254399028,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,48,0.997580964793326,0.002331472208049301,0.00529489048377596,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,49,0.9987374337152041,0.0017544211690664507,0.003615465995201239,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,50,0.9987126646730138,0.0010281799055099285,0.002544880012237183,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,51,0.998989373402762,0.0006346130306889958,0.001069642814906846,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,52,0.9982357709825173,0.001254205125762396,0.0030231414331414186,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,53,0.9981191862876969,0.0011083225941324476,0.0028242091464314445,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,54,0.9979174460078281,0.0021446319148951034,0.005676352014020947,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,55,0.9990309024300279,0.0004951099254027352,0.0008623915404494253,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,56,0.9978831497799717,0.002882792145129397,0.007168476317351291,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,57,0.9986808915070173,0.0028725010508964424,0.006385150364609293,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,58,0.9994897664365018,0.0011331043050460611,0.0019450193729709797,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.05,59,0.9977725073741606,0.0032465561449470746,0.007753764614398473,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,10,0.9998413335554615,0.0021139915002210343,0.004899497699878408,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,11,0.9968388366448139,0.0065805780130073765,0.011929754386994507,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,12,0.9965545268967997,0.00638102482286411,0.011528225610887288,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
