task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,refreshes,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
Z,dcrab_large,0.05,10,0.9977665946157925,0.0022334053842074653,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,11,0.9996029615316937,0.00039703846830629885,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,12,0.9996398869171281,0.00036011308287187127,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,13,0.9999517868825032,4.821311749680923e-05,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,14,0.9996109813107963,0.00038901868920371285,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,15,0.9979287157137775,0.0020712842862224967,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,16,0.9988954004865326,0.0011045995134674191,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,17,0.9998761282202782,0.00012387177972184027,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,18,0.9992424016878398,0.000757598312160157,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,19,0.9993853560207399,0.0006146439792601432,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,20,0.9993288393055503,0.0006711606944497239,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,21,0.9998509393599216,0.00014906064007835784,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,22,0.9980201140647993,0.001979885935200709,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,23,0.999855428604222,0.0001445713957779482,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,24,0.999881693198073,0.00011830680192703724,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,25,0.9997968159218398,0.00020318407816022344,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,26,0.9988211328083656,0.001178867191634403,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,27,0.9998071504433358,0.00019284955666420966,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,28,0.9973150568397158,0.0026849431602842255,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,29,0.9974614302373268,0.002538569762673193,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,30,0.9999188168747951,8.118312520488669e-05,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,31,0.9987221574255901,0.001277842574409882,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,32,0.9999394509665821,6.054903341790041e-05,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,33,0.99991350334667,8.649665333004819e-05,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,34,0.9995714010731314,0.00042859892686863965,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,35,0.9985253044262763,0.0014746955737237055,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,36,0.9972385716887777,0.0027614283112222804,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,37,0.9997318776523016,0.00026812234769835186,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,38,0.9997692743516623,0.00023072564833770404,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,39,0.9997264315114722,0.0002735684885277756,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,40,0.9980176695476606,0.0019823304523394203,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,41,0.9974467782692905,0.0025532217307094873,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,42,0.9998485979510976,0.00015140204890240483,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,43,0.9999313205940108,6.867940598920264e-05,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,44,0.9997668994591211,0.00023310054087888332,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,45,0.9986086557108117,0.001391344289188301,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,46,0.9994318605603189,0.0005681394396811479,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,47,0.9988121793552662,0.0011878206447337725,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,48,0.9996051257290282,0.0003948742709718456,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,49,0.9999553909803287,4.460901967129338e-05,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,50,0.9998989949620642,0.000101005037935753,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,51,0.9983204673747337,0.0016795326252663223,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,52,0.9975566099534637,0.0024433900465362646,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,53,0.9997264482989319,0.000273551701068131,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,54,0.9985159016651078,0.0014840983348921588,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,55,0.9998352817571555,0.0001647182428444749,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
Z,dcrab_large,0.05,56,0.9988532247049188,0.001146775295081226,4.599715626603109,4,40,5,"31,43,59,71,83",0.0010722259470150601,False,104.85950399399735
