system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,response_time,control_energy
tracking_X,0.0,0,0.00013255940934545575,0.0002776884453773443,0.9998856374682316,1.0833333333333333,3.0767083851905195
tracking_X,0.0,1,0.00013255940934545575,0.0002776884453773443,0.9998856374682316,1.0833333333333333,3.0767083851905195
tracking_X,0.0,2,0.00013255940934545575,0.0002776884453773443,0.9998856374682316,1.0833333333333333,3.0767083851905195
tracking_X,0.05,0,0.00011930288507304636,4.440892098500626e-16,0.9998806971149268,1.1666666666666665,3.048910541425878
tracking_X,0.05,1,0.00016910536212034918,2.220446049250313e-16,0.9998308946378796,1.0,3.086891496232579
tracking_X,0.05,2,0.0001557965742213239,8.881784197001252e-16,0.9998442034257782,1.25,3.07136623943163
tracking_Z,0.0,0,0.0001144170119577468,1.6894095159480926e-06,0.9998856368497506,1.0833333333333333,3.0710162668504046
tracking_Z,0.0,1,0.0001144170119577468,1.6894095159480926e-06,0.9998856368497506,1.0833333333333333,3.0710162668504046
tracking_Z,0.0,2,0.0001144170119577468,1.6894095159480926e-06,0.9998856368497506,1.0833333333333333,3.0710162668504046
tracking_Z,0.05,0,0.485628382596681,0.16349248993949672,0.462761394643565,1.1666666666666665,4.302593587580395
tracking_Z,0.05,1,0.11247133035422481,0.05406392093923984,0.8596143435757478,1.0,3.090695268827823
tracking_Z,0.05,2,0.3061736896032664,0.13222273488163006,0.6270511550801361,1.25,3.052561979562745
tracking_H,0.0,0,7.91061180880348e-05,0.0,0.999920893881912,0.25,1.3257940389410248
tracking_H,0.0,1,7.91061180880348e-05,0.0,0.999920893881912,0.25,1.3257940389410248
tracking_H,0.0,2,7.91061180880348e-05,0.0,0.999920893881912,0.25,1.3257940389410248
tracking_H,0.05,0,0.49373343966322936,0.1650134823953182,0.43030646585055,0.25,2.86430334051006
tracking_H,0.05,1,0.1393427770273809,0.0591231472740783,0.8303032697987164,0.25,1.3161669862774454
tracking_H,0.05,2,0.3765955521230717,0.133935905666554,0.5570916125113887,0.25,1.460632705473418
