task,pulse_type,training_strength,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
Z,nominal_open_loop,0.0,0.0,10,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,11,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,12,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,13,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,14,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,15,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,16,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,17,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,18,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,19,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,20,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,21,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,22,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,23,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,24,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,25,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,26,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,27,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,28,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,29,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,30,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,31,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,32,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,33,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,34,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,35,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,36,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,37,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,38,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,39,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,40,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,41,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,42,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,43,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,44,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,45,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,46,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,47,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,48,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.0,49,0.9999999366258439,6.337415614510178e-08,0.048490952320064486,4.912469388151551e-06
