task,step,comparison,shorter_steps,longer_steps,shorter_phi,longer_phi,extension_margin,extension_improves_value
Z,48,2_to_3,2,3,0.007077406881794916,0.007504224258854317,-0.00042681737705940054,0
Z,48,1_to_3,1,3,0.006606739042555286,0.007504224258854317,-0.0008974852162990307,0
Z,50,1_to_2,1,2,0.007504224258854317,0.007770791709865575,-0.0002665674510112584,0
Z,50,2_to_3,2,3,0.007770791709865575,0.007993676714730495,-0.00022288500486492002,0
Z,50,1_to_3,1,3,0.007504224258854317,0.007993676714730495,-0.0004894524558761784,0
Z,52,1_to_2,1,2,0.006523483466140359,0.006479943562926194,4.353990321416534e-05,1
Z,52,2_to_3,2,3,0.006479943562926194,0.006286970466492209,0.00019297309643398486,1
Z,52,1_to_3,1,3,0.006523483466140359,0.006286970466492209,0.0002365129996481502,1
Z,54,1_to_2,1,2,0.005554225594515204,0.0052688657080592685,0.00028535988645593535,1
Z,54,2_to_3,2,3,0.0052688657080592685,0.005269710614894708,-8.449068354399181e-07,0
Z,54,1_to_3,1,3,0.005554225594515204,0.005269710614894708,0.00028451497962049543,1
Z,56,1_to_2,1,2,0.00530645571205602,0.005019946481931117,0.00028650923012490254,1
Z,56,2_to_3,2,3,0.005019946481931117,0.005096542148968652,-7.659566703753506e-05,0
Z,56,1_to_3,1,3,0.00530645571205602,0.005096542148968652,0.00020991356308736747,1
Z,58,1_to_2,1,2,0.0050985969196686715,0.004968360149332038,0.0001302367703366336,1
Z,58,2_to_3,2,3,0.004968360149332038,0.004838408602195324,0.00012995154713671409,1
Z,58,1_to_3,1,3,0.0050985969196686715,0.004838408602195324,0.0002601883174733477,1
Z,60,1_to_2,1,2,0.004439478896101155,0.004596006309874771,-0.00015652741377361612,0
Z,60,2_to_3,2,3,0.004596006309874771,0.004893467035692135,-0.00029746072581736394,0
Z,60,1_to_3,1,3,0.004439478896101155,0.004893467035692135,-0.00045398813959098006,0
Z,62,1_to_2,1,2,0.004555899290624589,0.004823621623444227,-0.0002677223328196379,0
Z,62,2_to_3,2,3,0.004823621623444227,0.005214486128971747,-0.00039086450552752033,0
Z,62,1_to_3,1,3,0.004555899290624589,0.005214486128971747,-0.0006585868383471583,0
Z,64,1_to_2,1,2,0.005070437123319803,0.005368259041423615,-0.0002978219181038119,0
Z,64,2_to_3,2,3,0.005368259041423615,0.0056475322149603865,-0.0002792731735367718,0
Z,64,1_to_3,1,3,0.005070437123319803,0.0056475322149603865,-0.0005770950916405837,0
Z,66,1_to_2,1,2,0.004997881232311853,0.005170473328819862,-0.0001725920965080091,0
Z,66,2_to_3,2,3,0.005170473328819862,0.005319271586006286,-0.00014879825718642353,0
Z,66,1_to_3,1,3,0.004997881232311853,0.005319271586006286,-0.00032139035369443264,0
Z,68,1_to_2,1,2,0.004099560118225508,0.003913796626499266,0.00018576349172624157,1
Z,68,2_to_3,2,3,0.003913796626499266,0.0036464452390771174,0.0002673513874221489,1
Z,68,1_to_3,1,3,0.004099560118225508,0.0036464452390771174,0.0004531148791483905,1
Z,70,1_to_2,1,2,0.0037453934875894823,0.003484278787963639,0.00026111469962584316,1
Z,70,2_to_3,2,3,0.003484278787963639,0.003361448237270581,0.00012283055069305798,1
Z,70,1_to_3,1,3,0.0037453934875894823,0.003361448237270581,0.00038394525031890114,1
Z,72,1_to_2,1,2,0.0028769677697243617,0.0025000882934247057,0.00037687947629965607,1
Z,72,2_to_3,2,3,0.0025000882934247057,0.0022181801838488946,0.0002819081095758111,1
Z,72,1_to_3,1,3,0.0028769677697243617,0.0022181801838488946,0.0006587875858754672,1
Z,74,1_to_2,1,2,0.001395765958651013,0.0013529893515146565,4.277660713635639e-05,1
Z,74,2_to_3,2,3,0.0013529893515146565,0.0013780955497383826,-2.510619822372606e-05,0
Z,74,1_to_3,1,3,0.001395765958651013,0.0013780955497383826,1.767040891263033e-05,1
Z,76,1_to_2,1,2,0.0013505501379404358,0.0014072497936160472,-5.669965567561136e-05,0
Z,76,2_to_3,2,3,0.0014072497936160472,0.0015920141510555458,-0.0001847643574394986,0
Z,76,1_to_3,1,3,0.0013505501379404358,0.0015920141510555458,-0.00024146401311510995,0
Z,78,1_to_2,1,2,0.001519155992658644,0.0017575954703236488,-0.00023843947766500478,0
Z,78,2_to_3,2,3,0.0017575954703236488,0.0020260717756750007,-0.000268476305351352,0
Z,78,1_to_3,1,3,0.001519155992658644,0.0020260717756750007,-0.0005069157830163568,0
Z,80,1_to_2,1,2,0.002034092412689169,0.002350112292168721,-0.0003160198794795524,0
Z,80,2_to_3,2,3,0.002350112292168721,0.0026268278199071057,-0.00027671552773838454,0
Z,80,1_to_3,1,3,0.002034092412689169,0.0026268278199071057,-0.0005927354072179369,0
Z,82,1_to_2,1,2,0.0026611600155673695,0.0030064672031459364,-0.0003453071875785668,0
Z,82,2_to_3,2,3,0.0030064672031459364,0.003291720926499278,-0.0002852537233533417,0
Z,82,1_to_3,1,3,0.0026611600155673695,0.003291720926499278,-0.0006305609109319085,0
Z,84,1_to_2,1,2,0.0027831802295246316,0.0028223052377739574,-3.91250082493258e-05,0
Z,84,2_to_3,2,3,0.0028223052377739574,0.0029638807201288753,-0.00014157548235491785,0
Z,84,1_to_3,1,3,0.0027831802295246316,0.0029638807201288753,-0.00018070049060424365,0
Z,86,1_to_2,1,2,0.0029748692021731513,0.0031925461113009035,-0.00021767690912775223,0
Z,86,2_to_3,2,3,0.0031925461113009035,0.003405170359286787,-0.00021262424798588336,0
Z,86,1_to_3,1,3,0.0029748692021731513,0.003405170359286787,-0.0004303011571136356,0
Z,88,1_to_2,1,2,0.00311670871278958,0.003255087871684992,-0.0001383791588954117,0
Z,88,2_to_3,2,3,0.003255087871684992,0.0035768456874809493,-0.00032175781579595747,0
Z,88,1_to_3,1,3,0.00311670871278958,0.0035768456874809493,-0.00046013697469136916,0
Z,90,1_to_2,1,2,0.0033120387462500372,0.003661526127772312,-0.0003494873815222746,0
Z,90,2_to_3,2,3,0.003661526127772312,0.004142254381763605,-0.000480728253991293,0
Z,90,1_to_3,1,3,0.0033120387462500372,0.004142254381763605,-0.0008302156355135676,0
Z,92,1_to_2,1,2,0.004024034763927695,0.004397818384143645,-0.0003737836202159506,0
Z,92,2_to_3,2,3,0.004397818384143645,0.004973803287378065,-0.0005759849032344194,0
Z,92,1_to_3,1,3,0.004024034763927695,0.004973803287378065,-0.00094976852345037,0
Z,94,1_to_2,1,2,0.0048354957108337,0.005421770071171672,-0.0005862743603379725,0
Z,94,2_to_3,2,3,0.005421770071171672,0.006052178699790203,-0.0006304086286185312,0
Z,94,1_to_3,1,3,0.0048354957108337,0.006052178699790203,-0.0012166829889565037,0
Z,96,1_to_2,1,2,0.0056054642255009834,0.006120699321167572,-0.0005152350956665885,0
Z,96,2_to_3,2,3,0.006120699321167572,0.0068222770511914554,-0.0007015777300238835,0
Z,96,1_to_3,1,3,0.0056054642255009834,0.0068222770511914554,-0.001216812825690472,0
Z,98,1_to_2,1,2,0.006494388637867311,0.007026048461824634,-0.0005316598239573228,0
Z,98,2_to_3,2,3,0.007026048461824634,0.007716683662966753,-0.0006906352011421188,0
Z,98,1_to_3,1,3,0.006494388637867311,0.007716683662966753,-0.0012222950250994416,0
