task,controller,step,value_depth,stage_discount,terminal_weight,control_stage_weight,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.001,1,0.003064422497545974,0.003064422497545974,0.005421817404209031,0.006060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.002064422497545974
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.0015,1,0.003064422497545974,0.003064422497545974,0.004921817404209031,0.0055605042065210875,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.0015644224975459738
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.002,1,0.003064422497545974,0.003064422497545974,0.004421817404209031,0.005060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.0010644224975459738
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.0025,1,0.003064422497545974,0.003064422497545974,0.00392181740420903,0.004560504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,0.0005644224975459738
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.003,1,0.003064422497545974,0.003064422497545974,0.0034218174042090306,0.004060504206521087,-0.0006386868023120565,0.24999999999999994,0.49999999999999994,7,6.442249754597378e-05
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.004,0,0.003064422497545974,0.003064422497545974,0.0033573949066631817,0.0035711803883421572,-0.00021378548167897554,15.999999999999996,3.9999999999999996,39,0.0
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.005,0,0.003064422497545974,0.003064422497545974,0.0033573949066631817,0.0035711803883421572,-0.00021378548167897554,15.999999999999996,3.9999999999999996,39,0.0
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.0075,0,0.003064422497545974,0.003064422497545974,0.0033573949066631817,0.0035711803883421572,-0.00021378548167897554,15.999999999999996,3.9999999999999996,39,0.0
Z,terminal_value_shifted,10,1,1.0,1.0,0.0,10,41,6,0.01,0,0.003064422497545974,0.003064422497545974,0.0033573949066631817,0.0035711803883421572,-0.00021378548167897554,15.999999999999996,3.9999999999999996,39,0.0
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.008983937843755181,0.009451221050011352,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.0015,1,0.004887326328544411,0.004887326328544411,0.008483937843755182,0.008951221050011353,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0033873263285444113
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.002,1,0.004887326328544411,0.004887326328544411,0.007983937843755182,0.008451221050011353,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0028873263285444112
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.0025,1,0.004887326328544411,0.004887326328544411,0.007483937843755182,0.007951221050011352,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0023873263285444112
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.003,1,0.004887326328544411,0.004887326328544411,0.006983937843755182,0.007451221050011353,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0018873263285444112
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.004,1,0.004887326328544411,0.004887326328544411,0.005983937843755182,0.006451221050011353,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0008873263285444112
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.005,0,0.004887326328544411,0.004887326328544411,0.005096611515210847,0.005451221050011353,-0.0003546095348005056,0.9999999999999998,0.9999999999999999,16,0.0
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.0075,0,0.004887326328544411,0.004887326328544411,0.005096611515210847,0.005062822710827274,3.378880438357351e-05,15.999999999999996,3.9999999999999996,40,0.0
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,10,41,6,0.01,0,0.004887326328544411,0.004887326328544411,0.005096611515210847,0.005062822710827274,3.378880438357351e-05,15.999999999999996,3.9999999999999996,40,0.0
Z,terminal_value_shifted,30,1,1.0,1.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.01172116733918891,0.013253755967277965,-0.0015325886280890544,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,1.0,1.0,0.0,10,41,6,0.0015,1,0.006004117145252542,0.006004117145252542,0.011221167339188912,0.012753755967277966,-0.0015325886280890544,0.0,0.0,0,0.004504117145252543
Z,terminal_value_shifted,30,1,1.0,1.0,0.0,10,41,6,0.002,1,0.006004117145252542,0.006004117145252542,0.010721167339188912,0.012253755967277966,-0.0015325886280890544,0.0,0.0,0,0.004004117145252542
Z,terminal_value_shifted,30,1,1.0,1.0,0.0,10,41,6,0.0025,1,0.006004117145252542,0.006004117145252542,0.010221167339188911,0.011753755967277965,-0.0015325886280890544,0.0,0.0,0,0.0035041171452525424
Z,terminal_value_shifted,30,1,1.0,1.0,0.0,10,41,6,0.003,1,0.006004117145252542,0.006004117145252542,0.009721167339188912,0.011253755967277967,-0.0015325886280890544,0.0,0.0,0,0.0030041171452525424
Z,terminal_value_shifted,30,1,1.0,1.0,0.0,10,41,6,0.004,1,0.006004117145252542,0.006004117145252542,0.008721167339188911,0.010253755967277966,-0.0015325886280890544,0.0,0.0,0,0.0020041171452525423
