task,controller,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,10,0.9788876740387851,0.02111232596121493,0.9667793847913975,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,11,0.9821695127812895,0.0178304872187105,0.9653822665046695,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,12,0.9818498426178841,0.018150157382115895,0.9652500307189266,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,13,0.9816023647947232,0.01839763520527682,0.9676213127660565,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,14,0.9832292752232026,0.01677072477679742,0.9671395082218603,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,15,0.9788590802440766,0.02114091975592336,0.9670862676625271,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,16,0.9819548758361527,0.018045124163847293,0.9657284241458217,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,17,0.9792283618600592,0.020771638139940762,0.9664507614349435,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,18,0.9809189880924309,0.019081011907569057,0.9674859157151849,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,19,0.9804963213333884,0.019503678666611624,0.9650466141030768,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,20,0.9822165047671342,0.01778349523286582,0.9654979979691887,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,21,0.9767051869338333,0.023294813066166653,0.9656936994020606,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,22,0.9796669997152279,0.02033300028477214,0.9668665161810668,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,23,0.9794039256469802,0.0205960743530198,0.9663361491455135,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,24,0.9796879328464871,0.02031206715351286,0.9665020293396838,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,25,0.9810831336816224,0.018916866318377634,0.9666647375412869,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,26,0.9799979307412515,0.02000206925874848,0.9674644052641552,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,27,0.981710741933144,0.018289258066855996,0.9660992954148624,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,28,0.9766375895311363,0.02336241046886367,0.9660103014243954,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,29,0.9764729543842878,0.023527045615712172,0.965962107758146,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,30,0.9787365659639166,0.02126343403608344,0.9662873240245948,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,31,0.9818605460095474,0.01813945399045258,0.9659100317675879,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,32,0.9791740266804299,0.020825973319570146,0.9658815326095018,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
Z,open_grape_reference,combined,static_only,0.08,0.0,0.0,33,0.9821027178928126,0.01789728210718744,0.9673582060232923,0.6396797321823602,40,0,0.005128298185613343,17,100,False,31.53718181909062,0.0,0,True,0.0
