task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,hess_xx,hess_xy,hess_xz,hess_yy,hess_yz,hess_zz,hessian_spectral_norm,hessian_frobenius_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,design_points_per_axis,certificate_points_per_axis
Z,selected_hard_augmented_mean_worst,0,-0.08,0.0,0.0,0.08,0.08,25,0.006666666666666668,0.005773502691896259,0.9991004764435566,0.0008995235564434045,-0.0036377780802918647,-0.004379203798881515,-0.009725331537506043,0.011269113930917547,0.046403398816691976,0.09899560056404785,0.09219890272803112,0.6978880540923935,0.013370582237682394,0.6079821286147121,0.7197544965051862,0.9464683609666058,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,1,-0.07972366065959,-0.0066436383883,0.0,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.9990573437404167,0.000942656259583341,-0.004227313412000083,-0.008905022429424814,-0.009806263575188712,0.013904402484749487,0.058845700301135895,0.08255472818065421,0.09997200652756127,0.6715925082018974,0.01871539039447523,0.6088547833625608,0.6962618896840865,0.9271048284222285,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2,-0.07972366065959,0.0,-0.0066436383883,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.9990235981491434,0.0009764018508565675,-0.004255967618748274,-0.00444169471896827,-0.013749268553909066,0.015062678982035605,0.04248079083117384,0.10652507766786382,0.09765195268942718,0.7049351434933824,0.013859793867652792,0.6109998616212465,0.7294923904307018,0.956143391373581,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,3,-0.07972366065959,0.0,0.0066436383883,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.9991525421195812,0.0008474578804188448,-0.003028151019620298,-0.004269830311911471,-0.005677317198366005,0.007722245791284287,0.050053946628234036,0.09106617684902361,0.08735093371326813,0.6919551775323476,0.0115516268075605,0.6028962699364073,0.7103243263741063,0.9364318587739714,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,4,-0.07972366065959,0.0066436383883,0.0,0.0799999999999997,0.08,25,0.006666666666666668,0.005773502691896259,0.99911479791571,0.0008852020842899933,-0.0029226160181324567,0.000368652626032695,-0.009636459323691948,0.010076653087473773,0.034352379220632945,0.11264967727547798,0.08454245071684457,0.721972279535562,0.00576608056911132,0.606544305108489,0.7428087527674113,0.9643968577990346,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,5,-0.07945016530583,-0.00662084710882,-0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.998980597209953,0.0010194027900469749,-0.004891395564203996,-0.008991441628480923,-0.013817269487164274,0.017195601449347887,0.0553449965843783,0.08985450214459492,0.10599818648240729,0.677132100033587,0.019027201750526967,0.6111286024762477,0.704499761370518,0.9350893440237286,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,6,-0.07945016530583,-0.00662084710882,0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.9991101298460493,0.0008898701539507003,-0.00356542303887962,-0.0087493994900531,-0.005761875037776476,0.011066319931832203,0.06198443608941395,0.07494444138606864,0.094481094073504,0.6674635957383712,0.017082916103396295,0.6044304901865228,0.6880563523627367,0.9188886136685025,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7,-0.07945016530583,0.00662084710882,-0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.9990386340963457,0.0009613659036542543,-0.0034921083079864634,0.0003433507933947033,-0.013641920643061078,0.014085975615256787,0.03016823733011631,0.12027713051625678,0.089401946534236,0.7304302240063792,0.0063675566060134026,0.6102810804533054,0.7538219732060963,0.9756439492652026,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,8,-0.07945016530583,0.00662084710882,0.00662084710882,0.08000000000000283,0.08,25,0.006666666666666668,0.005773502691896259,0.9991660012010983,0.0008339987989016695,-0.0023694330248058837,0.0004142415601031124,-0.005616170980575874,0.0061095978110036015,0.03835776444034833,0.10456555352554078,0.0803394529491454,0.7143552133299234,0.0038777163265396597,0.6008531196930307,0.7322071917358499,0.9526835776299015,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,9,-0.07891151390657,-0.01315191898443,0.0,0.07999999999999875,0.08,25,0.006666666666666668,0.005773502691896259,0.9989891678987484,0.0010108321012516353,-0.004651217680663608,-0.013129151159996522,-0.009854506584305867,0.017062231275981565,0.07137607793023737,0.06366080995564607,0.1075271757303968,0.6443374085273753,0.021748886320755,0.6089726002406124,0.674620985849416,0.9073524568623844,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,10,-0.07891151390657,0.0,-0.01315191898443,0.07999999999999875,0.08,25,0.006666666666666668,0.005773502691896259,0.9989251341805725,0.0010748658194275063,-0.0048779031218709745,-0.004439811579283859,-0.01764782916049945,0.01884016294526341,0.03867514577740594,0.1134312939114879,0.10365316595295712,0.7129953982756221,0.012853513022526575,0.6118686552101277,0.7392050352607646,0.9652943365558603,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
