task,baseline,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,10,0.9788876740387851,0.02111232596121493,0.9667793847913975,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,11,0.9821695127812895,0.0178304872187105,0.9653822665046695,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,12,0.9818498426178841,0.018150157382115895,0.9652500307189266,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,13,0.9816023647947232,0.01839763520527682,0.9676213127660565,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,14,0.9832292752232026,0.01677072477679742,0.9671395082218603,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,15,0.9788590802440766,0.02114091975592336,0.9670862676625271,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,16,0.9819548758361527,0.018045124163847293,0.9657284241458217,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,17,0.9792283618600592,0.020771638139940762,0.9664507614349435,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,18,0.9809189880924309,0.019081011907569057,0.9674859157151849,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,19,0.9804963213333884,0.019503678666611624,0.9650466141030768,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,static_only,0.08,0.0,0.0,20,0.9822165047671342,0.01778349523286582,0.9654979979691887,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
