system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy
horizon_lyapunov_Z,0.0,10,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,11,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,12,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,13,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,14,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,15,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,16,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,17,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,18,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.0,19,0.0009286230739811904,0.0005303136529889452,0.9991260869424643,4.9225
horizon_lyapunov_Z,0.02,10,0.0010379943961329146,0.0008111401738709612,0.9989604316465812,4.9225
horizon_lyapunov_Z,0.02,11,0.0010610515320251283,0.0008741649578707378,0.9992047854229176,4.9225
horizon_lyapunov_Z,0.02,12,0.0010447843524277506,0.000919889772024618,0.9992027202091027,4.9225
horizon_lyapunov_Z,0.02,13,0.0010320606449432852,0.0008108194919453915,0.9986408115771035,4.9225
horizon_lyapunov_Z,0.02,14,0.0010142913423408413,0.0008693648539885857,0.9989246898531391,4.9225
horizon_lyapunov_Z,0.02,15,0.0010452952267619785,0.0005757306392916162,0.9988578604319155,4.9225
horizon_lyapunov_Z,0.02,16,0.001122559694691909,0.0008148148408019251,0.9991680820406357,4.9225
horizon_lyapunov_Z,0.02,17,0.0009064553076437033,0.0006700840165392297,0.9991709419608364,4.9225
horizon_lyapunov_Z,0.02,18,0.0010923720742638783,0.0009009747696200332,0.9986374177491607,4.9225
horizon_lyapunov_Z,0.02,19,0.001046420990341066,0.0010180044660836884,0.9991879815347451,4.9225
horizon_lyapunov_Z,0.05,10,0.0014899174161182107,0.002149360625155361,0.9985330148991574,4.9225
horizon_lyapunov_Z,0.05,11,0.0016561721300659693,0.0019384526168118033,0.9989017667146689,4.9225
horizon_lyapunov_Z,0.05,12,0.0015697065803646413,0.0017283978290937307,0.9987871006178152,4.9225
horizon_lyapunov_Z,0.05,13,0.0016202258489296346,0.001881327652609066,0.9971959435187773,4.9225
horizon_lyapunov_Z,0.05,14,0.0016774232638504263,0.00229567283727794,0.9982986179021687,4.9225
horizon_lyapunov_Z,0.05,15,0.0013748107572065,0.001180981598688291,0.9981355104223391,4.9225
horizon_lyapunov_Z,0.05,16,0.0019033168270749233,0.002045555880782146,0.9989815849552253,4.9225
horizon_lyapunov_Z,0.05,17,0.0011083632023835474,0.0012224329787439148,0.9990067511304738,4.9225
horizon_lyapunov_Z,0.05,18,0.00173822136846787,0.0023441403546375916,0.9971847160026593,4.9225
horizon_lyapunov_Z,0.05,19,0.0015525375912177832,0.0018221265197901904,0.9985551853282656,4.9225
horizon_lyapunov_Z,0.08,10,0.0022757523085999193,0.0041010887184366185,0.9978606264179473,4.9225
horizon_lyapunov_Z,0.08,11,0.002671429828696107,0.003646516275938594,0.9981874757312209,4.9225
horizon_lyapunov_Z,0.08,12,0.0024643089143709255,0.0030341226536505506,0.9978344398922905,4.9225
horizon_lyapunov_Z,0.08,13,0.0027455646833190067,0.0034756422878998716,0.9949986668119927,4.9225
horizon_lyapunov_Z,0.08,14,0.0029819704900627317,0.0048165773520779664,0.9972379308201622,4.9225
horizon_lyapunov_Z,0.08,15,0.0018857280993039426,0.0021214861535880924,0.9970802461220162,4.9225
horizon_lyapunov_Z,0.08,16,0.003248154783910479,0.003961011384316704,0.9985361971599993,4.9225
horizon_lyapunov_Z,0.08,17,0.0016040460495104398,0.002288962396693961,0.9985176696929553,4.9225
horizon_lyapunov_Z,0.08,18,0.0028609558600586602,0.004465449127121213,0.9949855666789057,4.9225
horizon_lyapunov_Z,0.08,19,0.0024373948455320388,0.0028161106288169258,0.99710656461026,4.9225
horizon_lyapunov_H,0.0,10,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
