task,baseline,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed
Z,terminal_process_open_loop,0.08,10,0.9981156540916393,0.994797053963283,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,11,0.9877159161915432,0.9888920069305757,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,12,0.9812858692303803,0.9840231098655906,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,13,0.966670480835464,0.97611951378746,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,14,0.998892323170733,0.9986246026676219,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,15,0.9903870098934536,0.9893181836147066,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,16,0.9976497895457508,0.9928931638583419,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,17,0.9853760648295373,0.9895294653792931,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,18,0.9673388231890923,0.9777062555301832,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,19,0.9682681672244219,0.9713933444982753,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,20,0.9929320684927533,0.9911723440723245,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,21,0.9249692054962614,0.9464428472764758,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,22,0.9980210802666915,0.9959420962772491,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,23,0.9901905184008688,0.9926873677992486,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,24,0.9811940138814264,0.9870850813682717,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,25,0.9842527906886573,0.9893261510583642,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,26,0.9743368870164308,0.9816682956818049,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,27,0.9974962740082243,0.9982859002692361,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,28,0.9912754771827208,0.9828298736962232,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,29,0.9854207930976104,0.9790788838825287,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,30,0.9754294083021452,0.9834254933178689,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,31,0.999491283933551,0.9940356502358739,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,32,0.9757987670582274,0.9838620545544505,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,33,0.9698419460259567,0.9794369952134453,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,34,0.9781371019180214,0.9850406576502527,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,35,0.9967771320914091,0.9903068900668677,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,36,0.998313948107406,0.9910816554277173,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,37,0.996322022331296,0.9967081869267735,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,38,0.999676170024806,0.9978829827389593,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,39,0.9779534991113504,0.9822347167841193,1.132177173483357,20,0.014513481419485334,33
