task,design_label,disorder_strength,seed,score_mode,worst_weight,train_points_per_axis,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,coarse,0.0,30,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,31,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,32,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,33,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,34,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,35,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,36,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,37,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,38,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,39,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,40,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,41,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,42,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,43,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,44,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,45,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,46,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,47,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,48,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,49,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,50,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,51,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,52,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,53,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,54,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,55,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,56,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,57,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,58,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.0,59,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988821404308793,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,10,mean_worst,0.5,7,335,335,256,0,13,2145,0.9992262203652476,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,11,mean_worst,0.5,7,335,335,256,0,13,2145,0.9973684530134552,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,12,mean_worst,0.5,7,335,335,256,0,13,2145,0.9974239999002871,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,13,mean_worst,0.5,7,335,335,256,0,13,2145,0.9989914457915441,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,14,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991503473361298,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,15,mean_worst,0.5,7,335,335,256,0,13,2145,0.999048402507473,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,16,mean_worst,0.5,7,335,335,256,0,13,2145,0.9976559498491833,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,17,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988129206059433,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,18,mean_worst,0.5,7,335,335,256,0,13,2145,0.9990084442881548,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,19,mean_worst,0.5,7,335,335,256,0,13,2145,0.9977391511445356,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,20,mean_worst,0.5,7,335,335,256,0,13,2145,0.9974296532724309,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,21,mean_worst,0.5,7,335,335,256,0,13,2145,0.9990134501655588,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,22,mean_worst,0.5,7,335,335,256,0,13,2145,0.9992251230325055,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,23,mean_worst,0.5,7,335,335,256,0,13,2145,0.9984709699478815,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,24,mean_worst,0.5,7,335,335,256,0,13,2145,0.998995909906146,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,25,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991346144891792,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,26,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991060038738719,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,27,mean_worst,0.5,7,335,335,256,0,13,2145,0.9977133305472674,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,28,mean_worst,0.5,7,335,335,256,0,13,2145,0.9989827375639517,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,29,mean_worst,0.5,7,335,335,256,0,13,2145,0.9990843826371865,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,30,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988248571421752,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,31,mean_worst,0.5,7,335,335,256,0,13,2145,0.9977864095001869,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,32,mean_worst,0.5,7,335,335,256,0,13,2145,0.9982239749539176,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,33,mean_worst,0.5,7,335,335,256,0,13,2145,0.9986423930410894,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,34,mean_worst,0.5,7,335,335,256,0,13,2145,0.9983676941537023,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,35,mean_worst,0.5,7,335,335,256,0,13,2145,0.997901709319464,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,36,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991336047214802,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,37,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991389811180176,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,38,mean_worst,0.5,7,335,335,256,0,13,2145,0.9983831125541363,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,39,mean_worst,0.5,7,335,335,256,0,13,2145,0.9974474253913295,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,40,mean_worst,0.5,7,335,335,256,0,13,2145,0.9992264162447138,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,41,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988007936562879,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,42,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988572117373072,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,43,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988659090173566,3.66,0.1919191919191919,21.61595808598213
