system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,30,0.8236290391394956,0.03856567987399617,0.03960040824908595,0.23340855561761978,0.9887862869699808,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,31,0.8041633252161656,0.03749519199333151,0.04734899703728457,0.11187448638678518,0.9759254347045567,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,32,0.805267445998304,0.03695526213564693,0.0415319437442182,0.10485397182310184,0.975631535056506,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,33,0.8083359447832315,0.03811856916902878,0.03814618421134108,0.26637258235036126,0.9903659537716689,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,34,0.8341847025744891,0.0545437155833699,0.054615893598022214,0.17702214867842136,0.9857376587948391,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,35,0.9072927310299174,0.06149793844804896,0.06502086696379838,0.09631976464895857,0.980464063675088,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,36,0.8341558349068939,0.04184243039931157,0.04740647030509959,0.09270904254202826,0.9769424589646919,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,37,0.8791507126209989,0.03769598995861223,0.04221240094133971,0.20667220904728714,0.988583870829855,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,38,0.7215174473870777,0.022594718533353708,0.023609061360630124,0.3366843981634409,0.9913264526862214,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,39,0.8449863760508567,0.04083603530137958,0.051768893344638744,0.10984725500092135,0.979021780909556,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,40,0.923137334332444,0.05398402597823215,0.0563991118876741,0.0690727946605635,0.9798361576507708,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,41,0.8770272211483182,0.047328644197045744,0.050401658778865155,0.07590715559097459,0.9772857077997954,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,42,0.8652489134133753,0.05111180003774907,0.05111180003774907,0.17035206074444947,0.986147634928812,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,43,0.827687051705204,0.03531632250778427,0.03997376519352369,0.12362589181301345,0.9797478556833946,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,44,0.6690874953899777,0.0268165661661679,0.029475989739541575,0.4166382473121287,0.9945294321971795,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,45,0.8595973767938931,0.0481351852125661,0.052953050870790275,0.15792003512073194,0.9848338005491091,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,46,0.7781446819765045,0.03500895448160579,0.03810968018938787,0.10848236812899024,0.9751828050158257,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,47,0.897988958984599,0.03832192480051033,0.048968277657514436,0.06598433540706962,0.9770486414353372,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,48,0.5580237984007173,0.024118229844624528,0.04365964724693505,0.26778395115594267,0.9753357506607153,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,49,0.9002907291952543,0.040502388110774334,0.04897243492249381,0.06679768564671174,0.977375752939704,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,50,0.8733122495334437,0.044216021108077874,0.04965548234278394,0.14607707401809442,0.9845658413116201,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,51,0.9310945602234318,0.057381895441000697,0.05877192170022083,0.07712007547154412,0.980335670806479,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,52,0.8642803969007051,0.03620805632188606,0.04385276868698251,0.07718053567188427,0.9763518201046045,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,53,0.7574473165268941,0.03975172971526597,0.04000598891867235,0.2141029636664205,0.9845526321223342,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,54,0.7879970313577308,0.040912350683547594,0.04412355467534146,0.16876104955665053,0.9821834129601806,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,55,0.6675483374361935,0.03563904685226549,0.038941056122693496,0.38960988393295254,0.9934428812309245,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,56,0.8413637937818161,0.03456333471731732,0.04868600235091092,0.10139320942265426,0.978124427269815,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,57,0.9170665976257052,0.06341190101880911,0.06891903677662159,0.11675299775490965,0.9828969820418243,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,58,0.8845055533307621,0.03423961125449326,0.04071564543040995,0.0754068975512309,0.9780967373734647,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,relax_0.0005,0.0,0.0005,59,0.6763253098904581,0.035034689481560966,0.04448468934803229,0.1837459103946211,0.975161937334671,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,10,0.9209740062704591,0.04451965989073614,0.04826168804270847,0.14664571525423273,0.966215987347058,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,11,0.759409845605487,0.04625220180240719,0.05061638932514456,0.12718885472805447,0.9594191769395165,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,12,0.7884166258097679,0.04231962752646001,0.04408391179228022,0.12820414327227914,0.9609184040338786,0.0013843749999999998,120,67.32922316598706,,,
