task,controller,reference_type,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_refreshes,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,process_dcrab_reference,process_dcrab,0.08,10,0.9995954202535338,0.9923884130149497,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,11,0.9996878611905832,0.9994872856005417,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,12,0.9997061991226709,0.9996946246801072,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,13,0.9990916042526468,0.9971371499310194,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,14,0.9993698090007505,0.9992727057753438,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,15,0.9993857068960215,0.9967029276014401,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,16,0.9993030710366197,0.9994751963268887,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,17,0.9988394586990375,0.9984948652205919,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,18,0.9998848952602226,0.9999229198731783,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,19,0.9992941741860225,0.9989523460002547,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,20,0.9995225238572889,0.999628961307586,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,21,0.9994610569922515,0.9976102182633836,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,22,0.9997703106645284,0.9933506858780888,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,23,0.9990960269248245,0.9973016383707828,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,24,0.9988050033271688,0.9991201040112613,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,25,0.9989686194549589,0.9991878344753861,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,26,0.9998497966815924,0.9993553352380027,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,27,0.9994267517514527,0.9957939274340667,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,28,0.9983838558985594,0.9899152596238547,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,29,0.9985944795309509,0.9888544954926218,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,30,0.9989966555371503,0.9990260397039838,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,31,0.999270793414027,0.9993935791023624,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,32,0.9996071415740276,0.9984510405292818,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,33,0.9991830635049251,0.9959237526812385,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,34,0.9996592849919272,0.9983448039163587,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,35,0.9989767895087982,0.9985208785178621,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,36,0.9989028106612896,0.9910571293500645,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,37,0.9989892018899256,0.9992857303911213,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,38,0.9988261620834038,0.9948961848052534,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,39,0.9997806996296663,0.999683234059861,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,40,0.9997282823418758,0.9941768468173886,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,41,0.9982186361362402,0.9913844822289528,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,42,0.9994608593994455,0.9977705082124038,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,43,0.9995249015360773,0.9986854126293382,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,44,0.9988158681378483,0.9946665879067068,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
