task,step,score_mode,value_depth,net_points,ball_radius,points_per_axis,grid_spacing,covering_radius,beam_width,shifted_tail_length,residual_threshold,terminal_outside_residual,phi,best_value_margin,state_stage_cost,bellman_gap,mean_infidelity,worst_infidelity,mean_fidelity,worst_fidelity,shifted_selected_fraction,margin_source
Z,1,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.002319527943881702,0.001319527943881702,0.001319527943881702,0.0,0.0016222092336694216,0.002789274840849121,0.9983777907663306,0.9972107251591509,0.0,bellman_identity
Z,1,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.002789274840849121,0.0017892748408491208,0.0017892748408491208,0.0,0.0016222092336694216,0.002789274840849121,0.9983777907663306,0.9972107251591509,0.0,bellman_identity
Z,2,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.002480812567053294,0.0014808125670532938,0.0014808125670532938,0.0,0.0016465452263212403,0.0033370693629282133,0.9983534547736788,0.9966629306370718,0.0,bellman_identity
Z,2,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0033370693629282133,0.0023370693629282133,0.0023370693629282133,0.0,0.0016465452263212403,0.0033370693629282133,0.9983534547736788,0.9966629306370718,0.0,bellman_identity
Z,3,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0028152045205297772,0.0018152045205297772,0.0018152045205297772,0.0,0.001836835297014564,0.003913476894060852,0.9981631647029854,0.9960865231059391,0.0,bellman_identity
Z,3,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.003913476894060852,0.002913476894060852,0.002913476894060852,0.0,0.001836835297014564,0.003913476894060852,0.9981631647029854,0.9960865231059391,0.0,bellman_identity
Z,4,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.002953740356062184,0.001953740356062184,0.001953740356062184,0.0,0.0019360701077840933,0.004070680993112363,0.9980639298922159,0.9959293190068876,0.0,bellman_identity
Z,4,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.004070680993112363,0.0030706809931123633,0.0030706809931123633,0.0,0.0019360701077840933,0.004070680993112363,0.9980639298922159,0.9959293190068876,0.0,bellman_identity
Z,5,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0037221564444229883,0.0027221564444229883,0.0027221564444229883,0.0,0.0022940460975613276,0.005712441387446643,0.9977059539024387,0.9942875586125534,0.0,bellman_identity
Z,5,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005712441387446643,0.004712441387446643,0.004712441387446643,0.0,0.0022940460975613276,0.005712441387446643,0.9977059539024387,0.9942875586125534,0.0,bellman_identity
Z,6,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.004073397489932151,0.0030733974899321507,0.0030733974899321507,0.0,0.0025368164954233325,0.006146323978035273,0.9974631835045766,0.9938536760219647,0.0,bellman_identity
Z,6,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006146323978035273,0.005146323978035273,0.005146323978035273,0.0,0.0025368164954233325,0.006146323978035273,0.9974631835045766,0.9938536760219647,0.0,bellman_identity
Z,7,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.004373995873996507,0.0033739958739965074,0.0033739958739965074,0.0,0.0027325558406941525,0.0065657601332094195,0.9972674441593058,0.9934342398667906,0.0,bellman_identity
Z,7,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0065657601332094195,0.0055657601332094195,0.0055657601332094195,0.0,0.0027325558406941525,0.0065657601332094195,0.9972674441593058,0.9934342398667906,0.0,bellman_identity
Z,8,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.004580873070591015,0.003580873070591015,0.003580873070591015,0.0,0.0028462180127993525,0.006938620231166648,0.9971537819872006,0.9930613797688334,0.0,bellman_identity
Z,8,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006938620231166648,0.005938620231166648,0.005938620231166648,0.0,0.0028462180127993525,0.006938620231166648,0.9971537819872006,0.9930613797688334,0.0,bellman_identity
Z,9,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.00479601012298938,0.00379601012298938,0.00379601012298938,0.0,0.003028930683977326,0.007068317756048215,0.9969710693160226,0.9929316822439518,0.0,bellman_identity
Z,9,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.007068317756048215,0.006068317756048215,0.006068317756048215,0.0,0.003028930683977326,0.007068317756048215,0.9969710693160226,0.9929316822439518,0.0,bellman_identity
Z,10,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.004323571606641596,0.0033235716066415963,0.0033235716066415963,0.0,0.002588182052423699,0.006941558216871591,0.9974118179475763,0.9930584417831284,0.0,bellman_identity
Z,10,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006941558216871591,0.0059415582168715906,0.0059415582168715906,0.0,0.002588182052423699,0.006941558216871591,0.9974118179475763,0.9930584417831284,0.0,bellman_identity
Z,11,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0046207870885917835,0.0036207870885917835,0.0036207870885917835,0.0,0.0027351076331373026,0.007542717821817924,0.9972648923668627,0.9924572821781821,0.0,bellman_identity
Z,11,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.007542717821817924,0.006542717821817924,0.006542717821817924,0.0,0.0027351076331373026,0.007542717821817924,0.9972648923668627,0.9924572821781821,0.0,bellman_identity
Z,12,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0048103083724536505,0.0038103083724536505,0.0038103083724536505,0.0,0.0027795096454106692,0.008123194908171927,0.9972204903545894,0.9918768050918281,0.0,bellman_identity
Z,12,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.008123194908171927,0.007123194908171927,0.007123194908171927,0.0,0.0027795096454106692,0.008123194908171927,0.9972204903545894,0.9918768050918281,0.0,bellman_identity
Z,13,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005283012786315317,0.004283012786315317,0.004283012786315317,0.0,0.0030098799139334164,0.0090925314895276,0.9969901200860666,0.9909074685104724,0.0,bellman_identity
Z,13,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0090925314895276,0.008092531489527599,0.008092531489527599,0.0,0.0030098799139334164,0.0090925314895276,0.9969901200860666,0.9909074685104724,0.0,bellman_identity
Z,14,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005702564869058078,0.004702564869058078,0.004702564869058078,0.0,0.003226689811779436,0.00990350022911457,0.9967733101882206,0.9900964997708854,0.0,bellman_identity
Z,14,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.00990350022911457,0.00890350022911457,0.00890350022911457,0.0,0.003226689811779436,0.00990350022911457,0.9967733101882206,0.9900964997708854,0.0,bellman_identity
Z,15,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006119534955782725,0.005119534955782725,0.005119534955782725,0.0,0.003341081186315887,0.01111381507786735,0.9966589188136841,0.9888861849221326,0.0,bellman_identity
Z,15,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.01111381507786735,0.01011381507786735,0.01011381507786735,0.0,0.003341081186315887,0.01111381507786735,0.9966589188136841,0.9888861849221326,0.0,bellman_identity
Z,16,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006635522352404928,0.005635522352404928,0.005635522352404928,0.0,0.003630962613498585,0.012018238955625371,0.9963690373865014,0.9879817610443746,0.0,bellman_identity
Z,16,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.012018238955625371,0.01101823895562537,0.01101823895562537,0.0,0.003630962613498585,0.012018238955625371,0.9963690373865014,0.9879817610443746,0.0,bellman_identity
Z,17,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.007118311566342772,0.006118311566342772,0.006118311566342772,0.0,0.003826826808901651,0.013165939029764484,0.9961731731910983,0.9868340609702355,0.0,bellman_identity
Z,17,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.013165939029764484,0.012165939029764483,0.012165939029764483,0.0,0.003826826808901651,0.013165939029764484,0.9961731731910983,0.9868340609702355,0.0,bellman_identity
Z,18,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.00782587276954726,0.00682587276954726,0.00682587276954726,0.0,0.004203426926407978,0.01448978337255713,0.995796573073592,0.9855102166274429,0.0,bellman_identity
Z,18,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.01448978337255713,0.01348978337255713,0.01348978337255713,0.0,0.004203426926407978,0.01448978337255713,0.995796573073592,0.9855102166274429,0.0,bellman_identity
Z,19,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.007261779425753523,0.006261779425753523,0.006261779425753523,0.0,0.0039331887344637,0.013314362765159293,0.9960668112655363,0.9866856372348407,0.0,bellman_identity
Z,19,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.013314362765159293,0.012314362765159292,0.012314362765159292,0.0,0.0039331887344637,0.013314362765159293,0.9960668112655363,0.9866856372348407,0.0,bellman_identity
Z,20,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006572629980348243,0.005572629980348243,0.005572629980348243,0.0,0.003578663874218179,0.011975864424520255,0.9964213361257819,0.9880241355754797,0.0,bellman_identity
Z,20,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.011975864424520255,0.010975864424520254,0.010975864424520254,0.0,0.003578663874218179,0.011975864424520255,0.9964213361257819,0.9880241355754797,0.0,bellman_identity
Z,21,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.007095844481219011,0.006095844481219011,0.006095844481219011,0.0,0.003829204695070266,0.01306655914459498,0.9961707953049297,0.986933440855405,0.0,bellman_identity
Z,21,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.01306655914459498,0.01206655914459498,0.01206655914459498,0.0,0.003829204695070266,0.01306655914459498,0.9961707953049297,0.986933440855405,0.0,bellman_identity
Z,22,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006568578012685837,0.005568578012685837,0.005568578012685837,0.0,0.0035680419788416337,0.012002144135376813,0.9964319580211584,0.9879978558646232,0.0,bellman_identity
Z,22,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.012002144135376813,0.011002144135376812,0.011002144135376812,0.0,0.0035680419788416337,0.012002144135376813,0.9964319580211584,0.9879978558646232,0.0,bellman_identity
Z,23,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006560177158202913,0.005560177158202913,0.005560177158202913,0.0,0.0035736526687764783,0.011946097957705737,0.9964263473312235,0.9880539020422943,0.0,bellman_identity
Z,23,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.011946097957705737,0.010946097957705736,0.010946097957705736,0.0,0.0035736526687764783,0.011946097957705737,0.9964263473312235,0.9880539020422943,0.0,bellman_identity
Z,24,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006336368053385688,0.0053363680533856876,0.0053363680533856876,0.0,0.003503529489515566,0.011331354255480486,0.9964964705104844,0.9886686457445195,0.0,bellman_identity
Z,24,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.011331354255480486,0.010331354255480485,0.010331354255480485,0.0,0.003503529489515566,0.011331354255480486,0.9964964705104844,0.9886686457445195,0.0,bellman_identity
Z,25,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005374829567008823,0.004374829567008823,0.004374829567008823,0.0,0.003107539156865926,0.009069161640571588,0.9968924608431341,0.9909308383594284,0.0,bellman_identity
Z,25,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.009069161640571588,0.008069161640571587,0.008069161640571587,0.0,0.003107539156865926,0.009069161640571588,0.9968924608431341,0.9909308383594284,0.0,bellman_identity
Z,26,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005426072880690513,0.004426072880690513,0.004426072880690513,0.0,0.003214748129229855,0.008845299005842633,0.9967852518707702,0.9911547009941574,0.0,bellman_identity
Z,26,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.008845299005842633,0.007845299005842632,0.007845299005842632,0.0,0.003214748129229855,0.008845299005842633,0.9967852518707702,0.9911547009941574,0.0,bellman_identity
Z,27,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005501110955180816,0.004501110955180816,0.004501110955180816,0.0,0.003413954194564878,0.008348627042463752,0.9965860458054351,0.9916513729575362,0.0,bellman_identity
Z,27,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.008348627042463752,0.007348627042463752,0.007348627042463752,0.0,0.003413954194564878,0.008348627042463752,0.9965860458054351,0.9916513729575362,0.0,bellman_identity
Z,28,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005479848903397669,0.004479848903397669,0.004479848903397669,0.0,0.0034800668235864503,0.007999128319244875,0.9965199331764135,0.9920008716807551,0.0,bellman_identity
Z,28,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.007999128319244875,0.006999128319244875,0.006999128319244875,0.0,0.0034800668235864503,0.007999128319244875,0.9965199331764135,0.9920008716807551,0.0,bellman_identity
Z,29,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.005952394441631949,0.004952394441631949,0.004952394441631949,0.0,0.0037973343170283847,0.008620240498414256,0.9962026656829717,0.9913797595015857,0.03571428571428571,bellman_identity
Z,29,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.008620240498414256,0.0076202404984142555,0.0076202404984142555,0.0,0.0037973343170283847,0.008620240498414256,0.9962026656829717,0.9913797595015857,0.03571428571428571,bellman_identity
Z,30,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.0061740325502312055,0.0051740325502312055,0.0051740325502312055,0.0,0.003950707400889835,0.008893300597365483,0.9960492925991101,0.9911066994026345,0.034482758620689655,bellman_identity
Z,30,max_net,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.008893300597365483,0.007893300597365482,0.007893300597365482,0.0,0.003950707400889835,0.008893300597365483,0.9960492925991101,0.9911066994026345,0.034482758620689655,bellman_identity
Z,31,mean_worst,1,2145,0.08,13,0.013333333333333336,0.011547005383792518,6,5,0.001,1,0.006826988856649027,0.005826988856649027,0.005826988856649027,0.0,0.004324588984559943,0.010009599488356336,0.9956754110154401,0.9899904005116437,0.03333333333333333,bellman_identity
