task,step,value_depth,beam_width,residual_threshold,terminal_outside_residual,phi,current_value,best_successor_value,best_value_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,state_stage_cost,expected_stage_cost,bellman_gap
Z,35,1,6,0.001,1,0.0074334251363070356,0.013965263939770649,0.007531838803463614,0.006433425136307035,1.0,1.0,9,0.0064334251363070355,0.0064334251363070355,8.673617379884035e-19
Z,36,1,6,0.001,1,0.006799122493903874,0.012498785139580228,0.006699662645676355,0.005799122493903873,0.0,0.0,0,0.005799122493903874,0.005799122493903874,8.673617379884035e-19
Z,37,1,6,0.001,1,0.006699662645676355,0.012408891017979908,0.006709228372303554,0.005699662645676354,0.0,0.0,0,0.005699662645676355,0.005699662645676355,8.673617379884035e-19
Z,38,1,6,0.001,1,0.006709228372303554,0.012521562156935763,0.00681233378463221,0.005709228372303553,0.0,0.0,0,0.005709228372303554,0.005709228372303554,8.673617379884035e-19
Z,39,1,6,0.001,1,0.006193847468242399,0.01128820590632617,0.006094358438083772,0.005193847468242398,0.24999999999999994,0.49999999999999994,5,0.0051938474682423985,0.0051938474682423985,8.673617379884035e-19
Z,40,1,6,0.001,1,0.006322628416410944,0.01079581686141095,0.005473188445000006,0.005322628416410943,0.9999999999999998,0.9999999999999999,13,0.005322628416410944,0.005322628416410944,8.673617379884035e-19
Z,41,1,6,0.001,1,0.005473188445000006,0.009711629944273985,0.00523844149927398,0.004473188445000005,0.0,0.0,0,0.004473188445000006,0.004473188445000006,8.673617379884035e-19
Z,42,1,6,0.001,1,0.00523844149927398,0.00935986981588205,0.00512142831660807,0.004238441499273979,0.0,0.0,0,0.00423844149927398,0.00423844149927398,8.673617379884035e-19
Z,43,1,6,0.001,1,0.00512142831660807,0.009243575080074382,0.005122146763466312,0.0041214283166080695,0.0,0.0,0,0.00412142831660807,0.00412142831660807,8.673617379884035e-19
Z,44,1,6,0.001,1,0.005122146763466312,0.009217909857315632,0.00509576309384932,0.004122146763466311,9.0,3.0,27,0.004122146763466312,0.004122146763466312,8.673617379884035e-19
Z,45,1,6,0.001,1,0.00509576309384932,0.009385832266647,0.00529006917279768,0.0040957630938493195,0.0,0.0,0,0.00409576309384932,0.00409576309384932,8.673617379884035e-19
Z,46,1,6,0.001,1,0.0051947538038035965,0.009601410086759979,0.005406656282956383,0.004194753803803596,0.0,0.0,0,0.0041947538038035964,0.0041947538038035964,8.673617379884035e-19
Z,47,1,6,0.001,1,0.005133711522086734,0.009473024421696466,0.005339312899609733,0.004133711522086733,0.0,0.0,0,0.004133711522086734,0.004133711522086734,8.673617379884035e-19
Z,48,1,6,0.001,1,0.005213793786165176,0.009782210632250397,0.005568416846085222,0.004213793786165175,0.0,0.0,0,0.004213793786165176,0.004213793786165176,8.673617379884035e-19
Z,49,1,6,0.001,1,0.005470750658424096,0.010240802818992,0.005770052160567904,0.0044707506584240955,15.999999999999996,3.9999999999999996,39,0.004470750658424096,0.004470750658424096,8.673617379884035e-19
Z,50,1,6,0.001,1,0.005752835471305749,0.010469020648425066,0.005716185177119318,0.004752835471305748,0.9999999999999998,0.9999999999999999,15,0.004752835471305749,0.004752835471305749,8.673617379884035e-19
Z,51,1,6,0.001,1,0.005364645327401815,0.009763183974449516,0.0053985386470477015,0.004364645327401814,0.0,0.0,0,0.004364645327401815,0.004364645327401815,8.673617379884035e-19
Z,52,1,6,0.001,1,0.004703375851557397,0.008378790466056094,0.004675414614498698,0.003703375851557396,0.0,0.0,0,0.0037033758515573967,0.0037033758515573967,8.673617379884035e-19
Z,53,1,6,0.001,1,0.004675414614498698,0.00860972173532975,0.004934307120831052,0.003675414614498697,0.0,0.0,0,0.0036754146144986977,0.0036754146144986977,8.673617379884035e-19
Z,54,1,6,0.001,1,0.0049650185576457645,0.008927085645323879,0.004962067087678115,0.003965018557645764,16.0,4.0,34,0.0039650185576457645,0.0039650185576457645,8.673617379884035e-19
Z,55,1,6,0.001,1,0.004520577739986133,0.007766263100187931,0.004245685360201798,0.0035205777399861327,0.25,0.5,2,0.0035205777399861327,0.0035205777399861327,0.0
Z,56,1,6,0.001,1,0.004245685360201798,0.007449319689543079,0.004203634329341281,0.003245685360201798,0.0,0.0,0,0.003245685360201798,0.003245685360201798,0.0
Z,57,1,6,0.001,1,0.004203634329341281,0.007484722597094749,0.004281088267753468,0.003203634329341281,0.0,0.0,0,0.003203634329341281,0.003203634329341281,0.0
Z,58,1,6,0.001,1,0.004281088267753468,0.0077358407665584295,0.004454752498804962,0.0032810882677534675,0.0,0.0,0,0.0032810882677534675,0.0032810882677534675,0.0
Z,59,1,6,0.001,1,0.004532422618874946,0.008131719726453622,0.004599297107578677,0.0035324226188749447,3.999999999999999,1.9999999999999998,24,0.0035324226188749456,0.0035324226188749456,8.673617379884035e-19
Z,60,1,6,0.001,1,0.004591344431382732,0.00836843893233609,0.004777094500953358,0.0035913444313827314,0.0,0.0,0,0.0035913444313827323,0.0035913444313827323,8.673617379884035e-19
Z,61,1,6,0.001,1,0.004789363797990748,0.00886487554072958,0.0050755117427388335,0.003789363797990747,0.0,0.0,0,0.0037893637979907477,0.0037893637979907477,8.673617379884035e-19
Z,62,1,6,0.001,1,0.004614282928684418,0.008513679624086598,0.004899396695402181,0.0036142829286844175,0.0,0.0,0,0.0036142829286844183,0.0036142829286844183,8.673617379884035e-19
Z,63,1,6,0.001,1,0.004807475345441396,0.008856894291949774,0.005049418946508379,0.0038074753454413954,0.25,0.5,4,0.0038074753454413962,0.0038074753454413962,8.673617379884035e-19
Z,64,1,6,0.001,1,0.004147198687086774,0.007499545240450379,0.004352346553363605,0.003147198687086774,0.0,0.0,0,0.003147198687086774,0.003147198687086774,0.0
Z,65,1,6,0.001,1,0.004278166282549817,0.007616809677419186,0.0043386433948693695,0.0032781662825498168,0.0,0.0,0,0.0032781662825498168,0.0032781662825498168,0.0
Z,66,1,6,0.001,1,0.004170723638270535,0.007382150703418481,0.004211427065147946,0.003170723638270535,0.0,0.0,0,0.003170723638270535,0.003170723638270535,0.0
Z,67,1,6,0.001,1,0.0035427718938872074,0.005988897949314621,0.0034461260554274134,0.0025427718938872074,0.24999999999999994,0.49999999999999994,6,0.0025427718938872074,0.0025427718938872074,0.0
Z,68,1,6,0.001,1,0.0031398620129010416,0.00524058731773388,0.003100725304832838,0.0021398620129010415,0.24999999999999994,0.49999999999999994,6,0.0021398620129010415,0.0021398620129010415,0.0
Z,69,1,6,0.001,1,0.0022574730835584617,0.003241632945821007,0.0019841598622625453,0.0012574730835584616,0.9999999999999998,0.9999999999999999,14,0.0012574730835584616,0.0012574730835584616,0.0
Z,70,1,6,0.001,1,0.0019948374770690364,0.0027777070967849463,0.00178286961971591,0.0009948374770690363,0.0,0.0,0,0.0009948374770690363,0.0009948374770690363,0.0
Z,71,1,6,0.001,1,0.0017004859623024893,0.002252406172351556,0.0015519202100490667,0.0007004859623024893,0.0,0.0,0,0.0007004859623024893,0.0007004859623024893,0.0
Z,72,1,6,0.001,1,0.0013819932500060625,0.0016886564616892885,0.001306663211683226,0.00038199325000606247,0.0,0.0,0,0.00038199325000606247,0.00038199325000606247,0.0
Z,73,1,6,0.001,1,0.001270174523683422,0.0015060384079044692,0.0012358638842210473,0.0002701745236834219,0.25,0.5,1,0.0002701745236834219,0.0002701745236834219,0.0
Z,74,1,6,0.001,1,0.0011160042155037575,0.001287168329281948,0.0011711641137781906,0.00011600421550375748,0.25,0.5,2,0.00011600421550375748,0.00011600421550375748,0.0
Z,75,1,6,0.001,1,0.0011686268427119825,0.0014783697620864436,0.0013097429193744611,0.0001686268427119825,0.0,0.0,0,0.0001686268427119825,0.0001686268427119825,0.0
Z,76,1,6,0.001,1,0.0013080808798401553,0.0018231019773989063,0.001515021097558751,0.00030808087984015523,0.0,0.0,0,0.00030808087984015523,0.00030808087984015523,0.0
Z,77,1,6,0.001,1,0.0015140564819680555,0.002299180416631284,0.0017851239346632283,0.0005140564819680555,0.0,0.0,0,0.0005140564819680555,0.0005140564819680555,0.0
Z,78,1,6,0.001,1,0.001776232809718059,0.002876580829551862,0.002100348019833803,0.0007762328097180591,0.0,0.0,0,0.0007762328097180591,0.0007762328097180591,0.0
Z,79,1,6,0.001,1,0.002083456330030424,0.0035259256385672825,0.0024424693085368585,0.001083456330030424,0.0,0.0,0,0.001083456330030424,0.001083456330030424,0.0
Z,80,1,6,0.001,1,0.0024200467471505865,0.00418744787328012,0.002767401126129533,0.0014200467471505865,0.0,0.0,0,0.0014200467471505865,0.0014200467471505865,0.0
Z,81,1,6,0.001,1,0.0027178372018588706,0.004798523480042256,0.003080686278183385,0.0017178372018588706,0.0,0.0,0,0.0017178372018588706,0.0017178372018588706,0.0
Z,82,1,6,0.001,1,0.00308441585796429,0.0055429391747453755,0.0034585233167810855,0.00208441585796429,0.0,0.0,0,0.00208441585796429,0.00208441585796429,0.0
Z,83,1,6,0.001,1,0.0033487618349457224,0.006046371658912358,0.0036976098239666355,0.0023487618349457224,0.25,0.5,4,0.0023487618349457224,0.0023487618349457224,0.0
Z,84,1,6,0.001,1,0.0034161522954851836,0.00618753943251027,0.0037713871370250868,0.0024161522954851836,0.0,0.0,0,0.0024161522954851836,0.0024161522954851836,0.0
Z,85,1,6,0.001,1,0.0036544306301049614,0.0066693562069465315,0.00401492557684157,0.0026544306301049614,0.0,0.0,0,0.0026544306301049614,0.0026544306301049614,0.0
Z,86,1,6,0.001,1,0.0038092473297758056,0.0069844170098962025,0.004175169680120397,0.0028092473297758056,0.0,0.0,0,0.0028092473297758056,0.0028092473297758056,0.0
Z,87,1,6,0.001,1,0.004069678415378822,0.007535078253555657,0.004465399838176835,0.0030696784153788218,0.0,0.0,0,0.0030696784153788218,0.0030696784153788218,0.0
Z,88,1,6,0.001,1,0.0043668286222293545,0.008178683146802437,0.004811854524573084,0.0033668286222293536,0.0,0.0,0,0.0033668286222293545,0.0033668286222293545,8.673617379884035e-19
Z,89,1,6,0.001,1,0.00410539286200462,0.007647279122331174,0.004541886260326554,0.00310539286200462,0.24999999999999994,0.49999999999999994,6,0.00310539286200462,0.00310539286200462,0.0
Z,90,1,6,0.001,1,0.004397373380915691,0.008293861185977962,0.004896487805062272,0.00339737338091569,0.0,0.0,0,0.003397373380915691,0.003397373380915691,8.673617379884035e-19
Z,91,1,6,0.001,1,0.004533670585031277,0.008585006098038424,0.005051335513007148,0.003533670585031276,0.0,0.0,0,0.003533670585031277,0.003533670585031277,8.673617379884035e-19
Z,92,1,6,0.001,1,0.004789804028013614,0.009126288081668259,0.005336484053654646,0.003789804028013613,0.0,0.0,0,0.003789804028013614,0.003789804028013614,8.673617379884035e-19
Z,93,1,6,0.001,1,0.00511703939120009,0.009800962828549233,0.0056839234373491435,0.004117039391200089,0.0,0.0,0,0.00411703939120009,0.00411703939120009,8.673617379884035e-19
Z,94,1,6,0.001,1,0.004678445280377454,0.008408063319359567,0.004729618038982114,0.003678445280377453,0.25,0.5,1,0.0036784452803774537,0.0036784452803774537,8.673617379884035e-19
Z,95,1,6,0.001,1,0.004729618038982114,0.008743443388366051,0.005013825349383938,0.003729618038982113,0.0,0.0,0,0.003729618038982114,0.003729618038982114,8.673617379884035e-19
Z,96,1,6,0.001,1,0.005013825349383938,0.009367957024925946,0.005354131675542009,0.004013825349383937,0.0,0.0,0,0.004013825349383938,0.004013825349383938,8.673617379884035e-19
Z,97,1,6,0.001,1,0.005306940880392352,0.010078831693648468,0.005771890813256117,0.0043069408803923515,0.0,0.0,0,0.004306940880392352,0.004306940880392352,8.673617379884035e-19
Z,98,1,6,0.001,1,0.005065386986525228,0.0092339943763989,0.005168607389873674,0.004065386986525227,0.25,0.5,1,0.004065386986525228,0.004065386986525228,8.673617379884035e-19
Z,99,1,6,0.001,1,0.005168607389873674,0.009668732896697521,0.005500125506823848,0.004168607389873673,0.0,0.0,0,0.004168607389873674,0.004168607389873674,8.673617379884035e-19
H,1,1,8,0.001,1,0.001367427189272477,0.002048612135414401,0.001681184946141924,0.00036742718927247706,0.0,0.0,0,0.00036742718927247706,0.00036742718927247706,0.0
H,2,1,8,0.001,1,0.0015292750135441485,0.002321371376074231,0.0017920963625300823,0.0005292750135441485,0.0,0.0,0,0.0005292750135441485,0.0005292750135441485,0.0
H,3,1,8,0.001,1,0.0017920963625300823,0.0028822445900516603,0.002090148227521578,0.0007920963625300823,0.0,0.0,0,0.0007920963625300823,0.0007920963625300823,0.0
H,4,1,8,0.001,1,0.0021223440623878015,0.0034989847245907044,0.002376640662202903,0.0011223440623878015,0.25,0.5,3,0.0011223440623878015,0.0011223440623878015,0.0
H,5,1,8,0.001,1,0.002376640662202903,0.004140974133253456,0.0027643334710505535,0.001376640662202903,0.25,0.5,3,0.001376640662202903,0.001376640662202903,0.0
H,6,1,8,0.001,1,0.0027198595251786764,0.00477295893464258,0.003053099409463904,0.0017198595251786764,0.0,0.0,0,0.0017198595251786764,0.0017198595251786764,0.0
H,7,1,8,0.001,1,0.00290791565890601,0.005109134660648337,0.0032012190017423267,0.00190791565890601,0.0,0.0,0,0.00190791565890601,0.00190791565890601,0.0
H,8,1,8,0.001,1,0.0028743557997629107,0.0051171013425124765,0.0032427455427495658,0.0018743557997629107,0.0,0.0,0,0.0018743557997629107,0.0018743557997629107,0.0
H,9,1,8,0.001,1,0.0032427455427495658,0.005832235794264403,0.0035894902515148375,0.0022427455427495658,0.24999999999999994,0.49999999999999994,7,0.0022427455427495658,0.0022427455427495658,0.0
H,10,1,8,0.001,1,0.0031299852094118785,0.005605200047782728,0.003475214838370849,0.0021299852094118785,0.9999999999999998,0.9999999999999999,14,0.0021299852094118785,0.0021299852094118785,0.0
H,11,1,8,0.001,1,0.0033185853221440118,0.0058713817517203,0.003552796429576288,0.0023185853221440117,0.0,0.0,0,0.0023185853221440117,0.0023185853221440117,0.0
H,12,1,8,0.001,1,0.003192340493067519,0.005635637523553783,0.0034432970304862642,0.002192340493067519,0.0,0.0,0,0.002192340493067519,0.002192340493067519,0.0
H,13,1,8,0.001,1,0.00334727045019257,0.006042519385800798,0.003695248935608228,0.00234727045019257,0.0,0.0,0,0.00234727045019257,0.00234727045019257,0.0
H,14,1,8,0.001,1,0.0029482791619422632,0.00514983548159629,0.0032015563196540267,0.0019482791619422632,0.0,0.0,0,0.0019482791619422632,0.0019482791619422632,0.0
H,15,1,8,0.001,1,0.002718208291129995,0.004384735299212191,0.0026665270080821965,0.0017182082911299948,1.0,1.0,9,0.0017182082911299948,0.0017182082911299948,0.0
H,16,1,8,0.001,1,0.0027078695245449924,0.004413768350003796,0.0027058988254588037,0.0017078695245449924,0.25,0.5,2,0.0017078695245449924,0.0017078695245449924,0.0
H,17,1,8,0.001,1,0.002438367905550874,0.004000251331953032,0.0025618834264021575,0.0014383679055508742,0.0,0.0,0,0.0014383679055508742,0.0014383679055508742,0.0
H,18,1,8,0.001,1,0.0025109715698557467,0.004234885713116706,0.0027239141432609595,0.0015109715698557466,0.0,0.0,0,0.0015109715698557466,0.0015109715698557466,0.0
H,19,1,8,0.001,1,0.0027239141432609595,0.004707681988187378,0.0029837678449264188,0.0017239141432609595,0.24999999999999994,0.49999999999999994,5,0.0017239141432609595,0.0017239141432609595,0.0
H,20,1,8,0.001,1,0.0024796918965813083,0.004145426475813147,0.002665734579231839,0.0014796918965813083,0.9999999999999998,0.9999999999999999,13,0.0014796918965813083,0.0014796918965813083,0.0
H,21,1,8,0.001,1,0.0026919602291885017,0.004575329692604165,0.0028833694634156637,0.0016919602291885017,0.24999999999999994,0.49999999999999994,8,0.0016919602291885017,0.0016919602291885017,0.0
H,22,1,8,0.001,1,0.002749676852660088,0.004774456246124535,0.003024779393464447,0.0017496768526600879,0.0,0.0,0,0.0017496768526600879,0.0017496768526600879,0.0
H,23,1,8,0.001,1,0.0029521126206860093,0.005208085452575153,0.0032559728318891437,0.0019521126206860093,0.25,0.5,3,0.0019521126206860093,0.0019521126206860093,0.0
H,24,1,8,0.001,1,0.0032559728318891437,0.005916187823759995,0.0036602149918708513,0.0022559728318891437,0.25,0.5,4,0.0022559728318891437,0.0022559728318891437,0.0
H,25,1,8,0.001,1,0.0031916933849076776,0.005727135091700559,0.0035354417067928814,0.0021916933849076775,0.25,0.5,3,0.0021916933849076775,0.0021916933849076775,0.0
H,26,1,8,0.001,1,0.00299096723421393,0.0052773181464765085,0.0032863509122625784,0.00199096723421393,0.0,0.0,0,0.00199096723421393,0.00199096723421393,0.0
H,27,1,8,0.001,1,0.0032387979720159346,0.005841743154331108,0.003602945182315173,0.0022387979720159346,0.0,0.0,0,0.0022387979720159346,0.0022387979720159346,0.0
H,28,1,8,0.001,1,0.003656341730830154,0.00661270035772206,0.0039563586268919065,0.0026563417308301538,0.24999999999999994,0.49999999999999994,7,0.0026563417308301538,0.0026563417308301538,0.0
H,29,1,8,0.001,1,0.003035235779247872,0.005260436741552307,0.003225200962304435,0.0020352357792478718,0.9999999999999998,0.9999999999999999,15,0.0020352357792478718,0.0020352357792478718,0.0
H,30,1,8,0.001,1,0.0028539415808631063,0.0048496894208381125,0.002995747839975006,0.0018539415808631063,0.0,0.0,0,0.0018539415808631063,0.0018539415808631063,0.0
H,31,1,8,0.001,1,0.0023924397454716806,0.0038823000853703766,0.002489860339898696,0.0013924397454716806,0.0,0.0,0,0.0013924397454716806,0.0013924397454716806,0.0
H,32,1,8,0.001,1,0.0022767663069654318,0.0036111601989493114,0.0023343938919838797,0.0012767663069654317,0.0,0.0,0,0.0012767663069654317,0.0012767663069654317,0.0
H,33,1,8,0.001,1,0.0013592815708499684,0.0015661583231857895,0.0012068767523358212,0.00035928157084996835,0.0,0.0,0,0.00035928157084996835,0.00035928157084996835,0.0
H,34,1,8,0.001,1,0.0012068767523358212,0.001309937919519063,0.0011030611671832419,0.00020687675233582118,1.0,1.0,10,0.00020687675233582118,0.00020687675233582118,0.0
H,35,1,8,0.001,1,0.0010325312566447503,0.0009299908091238299,0.0008974595524790796,3.2531256644750296e-05,0.25,0.5,2,3.2531256644750296e-05,3.2531256644750296e-05,0.0
H,36,1,8,0.001,0,0.0005383862094744951,0.00048468124428477366,0.00048468124428477366,0.0,0.0,0.0,0,0.0,0.0,0.0
H,37,1,8,0.001,0,0.00044877479604865655,0.00047856444822972494,0.00047856444822972494,0.0,0.0,0.0,0,0.0,0.0,0.0
H,38,1,8,0.001,0,0.00047856444822972494,0.0005706738041506496,0.0005706738041506496,0.0,0.0,0.0,0,0.0,0.0,0.0
H,39,1,8,0.001,0,0.0005706738041506496,0.0007163572882430413,0.0007163572882430413,0.0,0.24999999999999994,0.49999999999999994,5,0.0,0.0,0.0
H,40,1,8,0.001,0,0.000817895835042777,0.0008744007998032974,0.0008744007998032974,0.0,0.24999999999999994,0.49999999999999994,5,0.0,0.0,0.0
H,41,1,8,0.001,0,0.0008744007998032974,0.0010609201189872228,0.0010609201189872228,0.0,0.0,0.0,0,0.0,0.0,0.0
H,42,1,8,0.001,1,0.0010609201189872228,0.0013672161696503685,0.0013062960506631457,6.092011898722275e-05,0.0,0.0,0,6.092011898722275e-05,6.092011898722275e-05,0.0
H,43,1,8,0.001,1,0.0013062960506631457,0.0018905757719589267,0.001584279721295781,0.0003062960506631457,0.25,0.5,3,0.0003062960506631457,0.0003062960506631457,0.0
H,44,1,8,0.001,1,0.0015882101455330921,0.002351129880375968,0.0017629197348428757,0.0005882101455330921,16.0,4.0,35,0.0005882101455330921,0.0005882101455330921,0.0
H,45,1,8,0.001,1,0.0017629197348428757,0.0027359922089333502,0.0019730724740904745,0.0007629197348428757,0.25,0.5,4,0.0007629197348428757,0.0007629197348428757,0.0
H,46,1,8,0.001,1,0.0016941964786000852,0.00259108538671217,0.0018968889081120849,0.0006941964786000851,0.0,0.0,0,0.0006941964786000851,0.0006941964786000851,0.0
H,47,1,8,0.001,1,0.0017835871547403,0.002783958437614379,0.002000371282874079,0.0007835871547403001,0.0,0.0,0,0.0007835871547403001,0.0007835871547403001,0.0
H,48,1,8,0.001,1,0.0018063089659023576,0.0027993783603719883,0.0019930693944696307,0.0008063089659023576,0.24999999999999994,0.49999999999999994,7,0.0008063089659023576,0.0008063089659023576,0.0
H,49,1,8,0.001,1,0.0019930693944696307,0.0032103108918627174,0.002217241497393087,0.0009930693944696306,15.999999999999996,3.9999999999999996,39,0.0009930693944696306,0.0009930693944696306,0.0
H,50,1,8,0.001,1,0.002217241497393087,0.00367648123993631,0.0024592397425432233,0.0012172414973930868,0.0,0.0,0,0.0012172414973930868,0.0012172414973930868,0.0
H,51,1,8,0.001,1,0.002284306502181123,0.0038767290573959593,0.0025924225552148364,0.0012843065021811229,0.0,0.0,0,0.0012843065021811229,0.0012843065021811229,0.0
H,52,1,8,0.001,1,0.0024618152897149595,0.0042945193581151115,0.002832704068400152,0.0014618152897149595,0.0,0.0,0,0.0014618152897149595,0.0014618152897149595,0.0
H,53,1,8,0.001,1,0.0027437865641602305,0.004881549987137004,0.0031377634229767734,0.0017437865641602305,0.0,0.0,0,0.0017437865641602305,0.0017437865641602305,0.0
H,54,1,8,0.001,1,0.0032447238337098006,0.0056801034306636295,0.003435379596953829,0.0022447238337098005,16.0,4.0,34,0.0022447238337098005,0.0022447238337098005,0.0
