task,controller,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,36,0.9883126720642061,0.011687327935793856,0.9785918257602212,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,37,0.9868959204568982,0.013104079543101776,0.9798979928065997,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,38,0.9890349547039511,0.010965045296048914,0.9806084342263992,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,39,0.9899853056868488,0.010014694313151162,0.9821067762776434,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,40,0.988070912585717,0.011929087414283002,0.9777017787773846,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,41,0.9887272107954922,0.011272789204507805,0.9800274069001256,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,42,0.9878235105496032,0.012176489450396843,0.9788507660927999,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,43,0.989652259249095,0.010347740750905055,0.9818492237498618,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,44,0.9889562148430461,0.011043785156953922,0.9805550445744586,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,45,0.9886533503642994,0.011346649635700645,0.9780229826471247,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,46,0.9904192547445183,0.009580745255481693,0.98201953054394,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,47,0.9863429983978512,0.013657001602148777,0.979487232948616,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,48,0.9907691688073492,0.009230831192650779,0.982301940712015,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,49,0.9908709198932408,0.009129080106759169,0.9822099701462417,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,50,0.9874000337789222,0.01259996622107784,0.9794784754639795,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,51,0.9886575077277947,0.011342492272205296,0.9779986912421349,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,52,0.9887779563364949,0.011222043663505099,0.9801559227575811,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,53,0.9873622570026288,0.012637742997371193,0.9790945545616736,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,54,0.9875718480378104,0.012428151962189604,0.9800949129324965,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,55,0.9884616602373897,0.011538339762610317,0.97830928476155,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,56,0.9875161449983413,0.012483855001658717,0.9808118328883902,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,57,0.9873484820596454,0.012651517940354573,0.9809901452274054,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,58,0.9862239515860982,0.013776048413901787,0.9795548071475797,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,static_only,0.08,0.0,0.0,59,0.9889055079837462,0.011094492016253787,0.9816659014155826,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,10,0.9522594772801589,0.04774052271984108,0.9107375178034987,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,11,0.9531952919779372,0.046804708022062824,0.913144974750898,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,12,0.9536241234749225,0.046375876525077464,0.9133282813932997,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,13,0.9518602987201059,0.04813970127989409,0.9101989542774307,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,14,0.9505605568288749,0.04943944317112514,0.9107611665669079,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,15,0.9526397366494209,0.04736026335057908,0.9111638356318825,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,16,0.9523086434036752,0.04769135659632484,0.9127894895366544,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,17,0.952871940869868,0.04712805913013196,0.9127941886537227,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,18,0.952085894276127,0.047914105723873,0.9106136352969736,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,19,0.9541183896928032,0.04588161030719684,0.9136052166965088,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,20,0.9527298927384428,0.047270107261557226,0.9129959546120927,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,21,0.9528906888556343,0.04710931114436567,0.9136756542277298,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
