task,disorder_strength,seed,score_mode,train_points_per_axis,train_net_points,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,0.0,10,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,11,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,12,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,13,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,14,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,15,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,16,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,17,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,18,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,19,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,20,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,21,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,22,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,23,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,24,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,25,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,26,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,27,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,28,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,29,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,30,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,31,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,32,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,33,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,34,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,35,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,36,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,37,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,38,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
Z,0.0,39,max_net,13,2145,13,2145,0.9987033278466638,4.285,0.08080808080808081,146.04896258190274
