system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success,training_set_label,train_seeds,eval_seeds,stage_description
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,60,0.8329163714725133,0.04346757892310171,0.05400417860011808,0.10592845339743029,0.9999998186170493,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,61,0.8787499282269695,0.056324919666747686,0.056324919666747686,0.18721688861440738,0.9999999047151329,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,62,0.7887704664436395,0.06557128407854973,0.06557128407854973,0.29634309758767996,0.9999999217033366,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,63,0.8825507378067586,0.033001208841962004,0.03936910717683173,0.060431571419448354,0.9999998527728767,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,64,0.9115612073874787,0.032285482552928846,0.034165295020595954,0.17886252217600437,0.999999931238683,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,65,0.6553075469564227,0.028133473699815115,0.05055842269178368,0.2010389852855155,0.9999997817625427,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,66,0.8671810361458029,0.037717483312403766,0.040153414176993696,0.15429103851640522,0.9999998870775942,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,67,0.9399513114349725,0.05923852150565834,0.06466798645728977,0.08728895803613039,0.999999836254228,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,68,0.6438551113757154,0.03310634805033863,0.03310634805033863,0.40750667081767555,0.999999944868625,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,69,0.8634066928926232,0.05287437305225762,0.05287437305225762,0.14491403686297497,0.9999998862303058,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,70,0.9320615392564768,0.057081375647541455,0.057081375647541455,0.10040244680601415,0.9999998913017804,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,71,0.8596362283952396,0.02529824033833994,0.05513356583498119,0.0999735851254438,0.9999998037165718,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,72,0.8200143276641015,0.04779389352140617,0.050286100321215055,0.091812661965301,0.999999830461661,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,73,0.8022195770732106,0.04773893579958921,0.05302896150944858,0.10030151388021076,0.9999998237339203,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,74,0.8590991951174289,0.03010530298223768,0.04404919121424555,0.09244495758897528,0.9999998560901489,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,75,0.912653850082274,0.05252996734634563,0.053729514904561126,0.05203389981030169,0.9999998523153104,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,76,0.5888571720522765,0.025743201129438398,0.045001444392925416,0.24793620947955675,0.9999997949031031,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,77,0.918847374598592,0.059357176710429616,0.059357176710429616,0.10698732330126141,0.9999998774849369,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,78,0.7339956248549736,0.02925739209660827,0.04493632751552301,0.1367213957124823,0.9999998371913975,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,79,0.8189500342968039,0.0353066446777337,0.03789396565522174,0.23934248327171573,0.9999999197233413,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,80,0.689414436730007,0.025846035158906155,0.02828079175229692,0.3542476576340091,0.9999999345737521,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,81,0.6230371954788334,0.03144526126526337,0.042395650521841466,0.2323836972337207,0.9999998070151861,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,82,0.8886985832887598,0.045890295727955444,0.05113478022413476,0.16580292638387983,0.9999998885139371,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,83,0.8159562577892104,0.0486225964299164,0.05700976399594704,0.09909367050058332,0.9999997890327331,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,84,0.8806413178555906,0.03473389413954575,0.04064363453798647,0.06953227625665605,0.9999998546499244,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,85,0.5954718829941955,0.016598266730579514,0.022651209647060244,0.4307860237227469,0.999999935667751,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,86,0.9110865505562425,0.05986666774473681,0.05986666774473681,0.0592277240989686,0.9999998173859734,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,87,0.8916913600895506,0.04122441116201547,0.04596231683354024,0.13157315739282652,0.9999998934847952,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,88,0.880542354861698,0.042819609294511896,0.04805554176164217,0.21952877444436283,0.9999999058809846,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,89,0.8902530765129146,0.04045794055531249,0.0490175437917173,0.13166417129191152,0.9999998982661389,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,90,0.6826915410786989,0.02847635212025046,0.030382590377559193,0.33803146087045255,0.9999999124539994,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,91,0.8475618278332523,0.04105087406715513,0.048637501752491374,0.07507301102491366,0.9999998081863047,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,92,0.8419262447204086,0.04277793347100589,0.04922859257263512,0.07967301232824135,0.9999998428837431,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,93,0.7176960241788277,0.034555891859179066,0.034555891859179066,0.32016074179251847,0.9999999202864768,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,94,0.9073463638952296,0.030759266790821416,0.03601574764536852,0.1047922094270756,0.9999998814841894,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,95,0.8811137842360482,0.042220123630698936,0.04245563820161147,0.15173934626628222,0.999999907153476,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,96,0.8168173627156495,0.03932067710478593,0.04422155598056132,0.08697226945544179,0.9999998246350703,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,97,0.8864933342259482,0.03547769187677341,0.043280460576353263,0.06025603333880018,0.9999998405506987,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,98,0.9201951304329249,0.05567735821864095,0.05567735821864095,0.1181118789163851,0.9999998690767222,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
five_level_weak_anharmonic,training_ensemble_path_seed,0.03,static_only,0.0,0.0,99,0.8641498906225283,0.03915196958268152,0.04145707704712942,0.15937367150661022,0.9999998960812134,0.0013843749999999998,120,66.76831745100208,,,,path seed,,60-109,
