task,controller,mode,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,n_train_seeds
H,process_horizon,terminal,0.08,15,0.988925652619689,0.9903464017528023,1.575,100,6,8,8
H,process_horizon,terminal,0.08,16,0.8466042102870335,0.8977356529932269,1.575,100,6,8,8
H,process_horizon,terminal,0.08,17,0.919249232919289,0.9448203936091689,1.575,100,6,8,8
H,process_horizon,terminal,0.08,18,0.9542688649450737,0.964965227165628,1.575,100,6,8,8
H,process_horizon,terminal,0.08,19,0.9655539408543782,0.9769223936447634,1.575,100,6,8,8
H,process_horizon,terminal,0.08,20,0.8491315224679941,0.8994089960308536,1.575,100,6,8,8
H,process_horizon,terminal,0.08,21,0.7776072744647831,0.8516997065556048,1.575,100,6,8,8
H,process_horizon,terminal,0.08,22,0.8207206214155465,0.8793200035881498,1.575,100,6,8,8
H,process_horizon,terminal,0.08,23,0.9879333705030195,0.9905530147378245,1.575,100,6,8,8
H,process_horizon,terminal,0.08,24,0.8310341017218852,0.8863192252669322,1.575,100,6,8,8
H,process_horizon,terminal,0.08,25,0.7240229780966059,0.8152213588513165,1.575,100,6,8,8
H,process_horizon,terminal,0.08,26,0.9841462272916857,0.9852638859368291,1.575,100,6,8,8
H,process_horizon,terminal,0.08,27,0.9075543359638021,0.9377645029155771,1.575,100,6,8,8
H,process_horizon,terminal,0.08,28,0.963283927118112,0.9753379638578895,1.575,100,6,8,8
H,process_horizon,terminal,0.08,29,0.9096944055308692,0.9396649807597545,1.575,100,6,8,8
H,process_horizon,terminal,0.08,30,0.8987757967480011,0.9315814040661826,1.575,100,6,8,8
H,process_horizon,terminal,0.08,31,0.8419807767256156,0.8946265243254086,1.575,100,6,8,8
H,process_horizon,terminal,0.08,32,0.9926703141550552,0.9945674528382344,1.575,100,6,8,8
H,process_horizon,terminal,0.08,33,0.90037529488926,0.9291037038898935,1.575,100,6,8,8
H,process_horizon,terminal,0.08,34,0.8042233766622976,0.8673081459455805,1.575,100,6,8,8
H,process_horizon,terminal,0.08,35,0.8967531355489313,0.9311658189232235,1.575,100,6,8,8
H,process_horizon,terminal,0.08,36,0.9488508537754488,0.9651147395558047,1.575,100,6,8,8
H,process_horizon,terminal,0.08,37,0.7388970948317655,0.8246086940291083,1.575,100,6,8,8
H,process_horizon,terminal,0.08,38,0.987730793611389,0.9893787133232165,1.575,100,6,8,8
