task,controller,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,process_grape_reference,0.08,10,0.9988491830637005,0.9991839818779541,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,11,0.9986265929391015,0.9963807782077326,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,12,0.9983907406894049,0.9970082766550984,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,13,0.998791802435107,0.9990724648062809,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,14,0.9994394593513093,0.9889567402605525,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,15,0.999194222155236,0.9952386216152851,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,16,0.9987176471135362,0.9908875129902134,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,17,0.9992552226094708,0.9884516093868613,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,18,0.9994900252263251,0.9960703018614477,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,19,0.9975998842167602,0.9966312873154669,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,20,0.9986037167458837,0.9937867474795258,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,21,0.9987481835210847,0.9910759446079592,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,22,0.9989465831837817,0.9989216887545534,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,23,0.999272909733438,0.9934692261873129,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,24,0.9994061851343157,0.9858502502390584,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,25,0.9997018435642562,0.9850217266903055,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,26,0.9993014760683762,0.996570788056196,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,27,0.9995889128266344,0.9997259186775187,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,28,0.9981061514346373,0.9973880957036446,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,29,0.9981674071210747,0.9985371564230398,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,30,0.9992479224824301,0.9881201248696545,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,31,0.9989272085186455,0.9897134942829849,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
