task,method,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,design_seconds,resource_profile
Z,beam_horizon,0.03,37,0.9989289845368003,0.0010710154631996538,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.03,50,0.9986182864389777,0.0013817135610223463,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,10,0.9987752412691038,0.0012247587308962249,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,13,0.9980201544443009,0.001979845555699078,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,20,0.9991184363987629,0.0008815636012371453,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,37,0.9988723426399974,0.001127657360002643,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.035,50,0.9984949641460547,0.0015050358539453468,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,10,0.9987010483616522,0.0012989516383478117,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,13,0.9977672828525748,0.002232717147425234,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,20,0.9990718033222148,0.0009281966777852091,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,37,0.9988085994317629,0.0011914005682370776,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.04,50,0.9983615997937879,0.0016384002062120873,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,10,0.998620358748656,0.0013796412513440437,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,13,0.9974923555947343,0.002507644405265741,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,20,0.9990149451840369,0.0009850548159631156,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,37,0.9987376521764365,0.0012623478235634922,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.045,50,0.9982185831894421,0.0017814168105578787,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,10,0.9985330148991574,0.0014669851008426438,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,13,0.9971959435187773,0.0028040564812227275,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,20,0.9989482379836403,0.001051762016359703,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,37,0.9986594035778134,0.0013405964221866462,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.05,50,0.9980663069601383,0.0019336930398616836,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,10,0.9984388608536252,0.0015611391463747903,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,13,0.9968786217563154,0.003121378243684636,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,20,0.9988720517941574,0.0011279482058426105,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,37,0.998573761972641,0.0014262380273589725,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.055,50,0.9979051656336385,0.0020948343663614866,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,10,0.9983377425322308,0.001662257467769157,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,13,0.9965409687033749,0.003459031296625059,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,20,0.9987867499493595,0.0012132500506405464,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,37,0.9984806414979619,0.001519358502038104,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.06,50,0.9977355547053594,0.002264445294640649,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,10,0.9982295080248138,0.0017704919751861947,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,13,0.996183564977065,0.0038164350229350497,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,20,0.9986926882086451,0.0013073117913549037,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,37,0.9983799622312033,0.0016200377687967116,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.065,50,0.9975578696933852,0.002442130306614776,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,10,0.9981140078628166,0.0018859921371834343,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,13,0.9958069923523177,0.0041930076476822675,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,20,0.9985902139036298,0.0014097860963702136,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,37,0.9982716503018569,0.0017283496981430613,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.07,50,0.9973725051832152,0.0026274948167848144,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.075,10,0.9979910952736419,0.002008904726358063,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.075,13,0.9954118326830306,0.004588167316969427,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.075,20,0.998479665069816,0.0015203349301839975,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.075,37,0.9981556379735943,0.0018443620264056992,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.075,50,0.9971798538640018,0.002820146135998236,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.08,10,0.9978606264179473,0.0021393735820527393,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.08,13,0.9949986668119927,0.005001333188007329,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.08,20,0.9983613695667575,0.0016386304332425272,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.08,37,0.9980318636956158,0.0019681363043841937,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.08,50,0.9969803055579876,0.003019694442012444,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.085,10,0.9977224606105293,0.0022775393894707285,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.085,13,0.9945680734740205,0.005431926525979458,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.085,20,0.9982356441900561,0.0017643558099439405,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.085,37,0.9979002721220217,0.002099727877978297,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.085,50,0.9967742462448694,0.003225753755130567,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.09,10,0.9975764605255357,0.0024235394744642758,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.09,13,0.9941206281967576,0.005879371803242384,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.09,20,0.9981027937784722,0.0018972062215277807,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.09,37,0.9977608140979675,0.0022391859020325366,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.09,50,0.9965620570827445,0.003437942917255521,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.095,10,0.9974224923868609,0.0025775076131391295,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.095,13,0.9936569022035864,0.0063430977964136215,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.095,20,0.9979631103193013,0.002036889680698706,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.095,37,0.9976134466113427,0.002386553388657342,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.095,50,0.9963441134273219,0.0036558865726781242,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.1,10,0.9972604261446474,0.002739573855352617,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.1,13,0.9931774613230776,0.006822538676922396,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.1,20,0.9978168720551197,0.002183127944880292,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.1,37,0.9974581327087114,0.00254186729128858,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.1,50,0.9961207838509958,0.0038792161490042165,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.105,10,0.9970901356389249,0.0029098643610750985,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.105,13,0.9926828649093644,0.007317135090635585,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.105,20,0.9976643425948761,0.00233565740512387,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.105,37,0.9972948413742144,0.0027051586257855753,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.105,50,0.9958924291633777,0.004107570836622276,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.11,10,0.996911498751476,0.0030885012485240004,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.11,13,0.9921736647777455,0.00782633522225451,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.11,20,0.9975057700322005,0.002494229967799466,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.11,37,0.9971235473701572,0.0028764526298428184,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.11,50,0.9956594014348261,0.004340598565173881,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.115,10,0.9967243975471052,0.0032756024528948213,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.115,13,0.9916504041597527,0.008349595840247304,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.115,20,0.9973413860737206,0.0026586139262794184,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.115,37,0.9969442310379681,0.0030557689620318573,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.115,50,0.9954220430244833,0.004577956975516662,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.12,10,0.9965287184055389,0.003471281594461084,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.12,13,0.9911136166817901,0.0088863833182099,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.12,20,0.9971714051800081,0.00282859481999187,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.12,37,0.9967568780582385,0.003243121941761462,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
Z,beam_horizon,0.12,50,0.9951806856142695,0.0048193143857304666,4.9225,97.83006547600962,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.0,10,0.9992467831180307,0.0007532168819692764,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.0,13,0.9992467831180307,0.0007532168819692764,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.0,20,0.9992467831180307,0.0007532168819692764,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.0,37,0.9992467831180307,0.0007532168819692764,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.0,50,0.9992467831180307,0.0007532168819692764,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.005,10,0.9992850059794158,0.0007149940205841698,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.005,13,0.9991504885080431,0.0008495114919568891,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.005,20,0.999215394672989,0.0007846053270109676,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.005,37,0.9992924430484651,0.0007075569515349045,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.005,50,0.9991256332086752,0.0008743667913247988,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.01,10,0.9993197533254005,0.0006802466745995384,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.01,13,0.9990382719615035,0.0009617280384964788,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.01,20,0.999180378604098,0.0008196213959019705,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.01,37,0.9993344757000446,0.0006655242999553668,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.01,50,0.9989869627746759,0.0010130372253240871,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.015,10,0.9993510093811316,0.0006489906188683614,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.015,13,0.9989094783781626,0.0010905216218374258,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.015,20,0.9991418198714928,0.0008581801285072466,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.015,37,0.9993730619468979,0.0006269380531020996,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.015,50,0.9988304911679133,0.0011695088320866631,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.02,10,0.9993787574194508,0.0006212425805491861,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.02,13,0.9987634426313095,0.0012365573686905496,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.02,20,0.9990998003532294,0.000900199646770572,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.02,37,0.9994083775303553,0.0005916224696447259,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.02,50,0.9986559309361467,0.0013440690638533148,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.025,10,0.9994029800787589,0.0005970199212410598,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.025,13,0.9985994892058121,0.0014005107941879036,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.025,20,0.9990543987344648,0.0009456012655352231,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.025,37,0.9994405932132271,0.0005594067867729091,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.025,50,0.9984629874633408,0.0015370125366591658,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.03,10,0.999423659678542,0.0005763403214580354,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.03,13,0.9984169318269818,0.0015830681730182317,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.03,20,0.9990056903886388,0.000994309611361155,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.03,37,0.9994698749235349,0.0005301250764651044,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.03,50,0.9982513586161379,0.001748641383862104,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.035,10,0.9994407785323034,0.0005592214676966023,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.035,13,0.9982150730835548,0.001784926916445162,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.035,20,0.9989537472509442,0.0010462527490557871,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.035,37,0.9994963838869884,0.0005036161130116401,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.035,50,0.998020734398097,0.0019792656019029797,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.04,10,0.9994543192576879,0.0005456807423120935,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.04,13,0.9979932040481194,0.00200679595188058,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
H,beam_horizon,0.04,20,0.9988986376843532,0.0011013623156468366,5.6075,129.82849633693695,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam
