task,design_label,step,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_net_points,train_points_per_axis,eval_points_per_axis,train_covering_radius,eval_covering_radius,beam_width,residual_threshold,train_phi,eval_phi,train_outside_residual,eval_outside_residual,train_scheduled_margin,eval_scheduled_margin,shifted_selected_fraction
Z,coarse,1,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.002722611722688728,0.002722611722688728,1,1,0.001722611722688728,0.001722611722688728,0.0
Z,coarse,2,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0028331672684500653,0.002840058764402187,1,1,0.0018331672684500653,0.0018400587644021868,0.0
Z,coarse,3,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0033562738778822876,0.003371800739029762,1,1,0.0023562738778822876,0.002371800739029762,0.0
Z,coarse,4,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.003775644022884217,0.003797403174912173,1,1,0.002775644022884217,0.002797403174912173,0.0
Z,coarse,5,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004278758552681117,0.004323409474498829,1,1,0.0032787585526811167,0.0033234094744988294,0.0
Z,coarse,6,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.004865045757837416,0.004898679286958529,1,1,0.003865045757837416,0.0038986792869585294,0.0
Z,coarse,7,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005361205158601723,0.005410926584163311,1,1,0.004361205158601723,0.004410926584163311,0.0
Z,coarse,8,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.005909527950117788,0.0059762006294391545,1,1,0.004909527950117788,0.0049762006294391545,0.0
Z,coarse,9,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006543784881560044,0.006543784881560044,1,1,0.005543784881560044,0.005543784881560044,0.0
Z,coarse,10,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006330475282780301,0.0063615804311107915,1,1,0.005330475282780301,0.0053615804311107915,0.0
Z,coarse,11,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.006825596327161287,0.006903216728703088,1,1,0.005825596327161287,0.005903216728703088,0.0
Z,coarse,12,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.007019137651784857,0.007049475105736613,1,1,0.006019137651784857,0.006049475105736613,0.0
Z,coarse,13,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008009654216329931,0.008050215571039798,1,1,0.007009654216329931,0.007050215571039798,0.0
Z,coarse,14,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.008942953345199789,0.008942953345199789,1,1,0.007942953345199788,0.007942953345199788,0.0
Z,coarse,15,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.010103635573715852,0.010103635573715852,1,1,0.009103635573715851,0.009103635573715851,0.0
Z,coarse,16,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01112387671708559,0.01116236705533824,1,1,0.01012387671708559,0.01016236705533824,0.0
Z,coarse,17,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.012130646889571883,0.01214775603735796,1,1,0.011130646889571882,0.011147756037357959,0.0
Z,coarse,18,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013402811827734729,0.01340875816106979,1,1,0.012402811827734728,0.012408758161069788,0.0
Z,coarse,19,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014776643683425572,0.014776643683425572,1,1,0.013776643683425571,0.013776643683425571,0.0
Z,coarse,20,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014561505939169161,0.014561505939169161,1,1,0.01356150593916916,0.01356150593916916,0.0
Z,coarse,21,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.015072038411116706,0.015122002079282826,1,1,0.014072038411116705,0.014122002079282825,0.0
Z,coarse,22,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.015930612181571657,0.01595169680870523,1,1,0.014930612181571656,0.014951696808705228,0.0
Z,coarse,23,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01650588657199825,0.01656654508947475,1,1,0.01550588657199825,0.015566545089474748,0.0
Z,coarse,24,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01659930830313061,0.01659930830313061,1,1,0.01559930830313061,0.01559930830313061,0.0
Z,coarse,25,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01301544758111195,0.013138434166186652,1,1,0.012015447581111949,0.012138434166186651,0.0
Z,coarse,26,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013076579412707567,0.013141133633043145,1,1,0.012076579412707567,0.012141133633043144,0.0
Z,coarse,27,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013064059993055377,0.013145310055141857,1,1,0.012064059993055376,0.012145310055141856,0.038461538461538464
Z,coarse,28,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013052829520187048,0.01327182602103194,1,1,0.012052829520187047,0.01227182602103194,0.07407407407407407
Z,coarse,29,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013427021173463727,0.013536496246835839,1,1,0.012427021173463726,0.012536496246835838,0.07142857142857142
Z,coarse,30,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013324351716226146,0.013568971622456738,1,1,0.012324351716226145,0.012568971622456737,0.06896551724137931
Z,coarse,31,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.0125689777206075,0.01267582490846586,1,1,0.011568977720607498,0.01167582490846586,0.06666666666666667
Z,coarse,32,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.013307697542837449,0.013437456225179112,1,1,0.012307697542837448,0.012437456225179111,0.0967741935483871
Z,coarse,33,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014219967798722921,0.014419590949380279,1,1,0.01321996779872292,0.013419590949380278,0.125
Z,coarse,34,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014628415947163242,0.014741878055938962,1,1,0.013628415947163242,0.01374187805593896,0.12121212121212122
Z,coarse,35,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.015271523110644614,0.015370658113017077,1,1,0.014271523110644613,0.014370658113017076,0.11764705882352941
Z,coarse,36,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.01452182419300585,0.01460862119518902,1,1,0.01352182419300585,0.013608621195189019,0.11428571428571428
Z,coarse,37,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014313040977591562,0.014313040977591562,1,1,0.013313040977591561,0.013313040977591561,0.1111111111111111
Z,coarse,38,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014747765979388427,0.01480090333441364,1,1,0.013747765979388427,0.013800903334413639,0.10810810810810811
Z,coarse,39,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.014843025271048305,0.01497370634794426,1,1,0.013843025271048304,0.01397370634794426,0.10526315789473684
Z,coarse,40,max_net,0.25,335,335,256,0,2145,7,13,0.023094010767585035,0.011547005383792518,6,0.001,0.015106955897735252,0.015132885515779071,1,1,0.014106955897735252,0.01413288551577907,0.10256410256410256
