system,task,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,shifted_available_steps,shifted_selected_steps,shifted_selected_fraction
terminal_value_shifted_Z,Z,0.0,10,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,11,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,12,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,13,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,14,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,15,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,16,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,17,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,18,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,19,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,20,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,21,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,22,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,23,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,24,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,25,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.0,26,0.0010018677133464323,0.00044733256169116054,0.9990711311627183,4.705,99,13,0.13131313131313133
