system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success,smooth_label,reference_stages,leakage_cap,cap_weight,mean_leakage_weight,worst_weight,trust_radius,slew_weight,pulse_slew_rms,pulse_slew_max,pulse_abs_max
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,21,0.9841980695606318,0.001443370984664294,0.0674648607018431,0.02036124557369616,0.9999970483055334,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,22,0.9552618380440119,0.00048295233814255045,0.07870274232737606,0.05318136609432462,0.9999965287764909,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,23,0.9897396291579456,0.0006393641069757372,0.07376812793274778,0.020417601437421745,0.9999970803429287,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,24,0.9778996945662423,0.0006497014257651479,0.06815926319777077,0.02311739872021008,0.9999973889592036,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,25,0.9727325300907698,0.0010200413791849883,0.07294770324264688,0.033454444474148165,0.9999969775467975,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,26,0.9985575955978018,0.00043170535014502853,0.08693668544247835,0.003574063141161319,0.9999970383896901,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,27,0.9691387566405949,0.000605093781167465,0.07132047438987144,0.0254080297374339,0.9999977234275662,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,28,0.9507030033699075,0.0007684489194933475,0.09008782624300526,0.05628448697668748,0.9999967473192397,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,29,0.980085800869786,0.000508017791808868,0.07093812383928622,0.020805663758319163,0.9999972067572604,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
five_level_weak_anharmonic,smoothcap_target_push_reference,0.03,static_only,0.0,0.0,30,0.9858939891591754,0.0005378318651846348,0.06372097965256762,0.015529121965489993,0.9999974125254795,0.003248596247933023,120,104.69037130498327,0.2609877501479827,1917,False,target-push reference,"a=0.8,lw=1.5,r=0.04,w=0.25; a=1,lw=0.8,r=0.02,w=0.25; a=1,lw=0.5,r=0.015,w=0.25",,,,,,,0.025261931713638646,0.1,0.12
