system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,response_time,control_energy
qubit_X,0.0,0,0.00018374152152967146,0.0002770261238004279,0.9998344461808711,1.0833333333333333,3.091673218792219
qubit_X,0.0,1,0.00018374152152967146,0.0002770261238004279,0.9998344461808711,1.0833333333333333,3.091673218792219
qubit_X,0.0,2,0.00018374152152967146,0.0002770261238004279,0.9998344461808711,1.0833333333333333,3.091673218792219
qubit_X,0.05,0,0.0001731869755097204,0.0,0.9998268130244903,1.1666666666666665,3.058223285798819
qubit_X,0.05,1,0.00022325874284367941,0.0,0.9997767412571563,1.0,3.0785921901226607
qubit_X,0.05,2,0.00019930682453217496,0.0,0.9998006931754678,1.25,3.0943260060595352
qubit_Z,0.0,0,0.49861869413630744,0.2695565296035326,0.5720206297763091,1.5833333333333333,213.8871407426919
qubit_Z,0.0,1,0.49861869413630744,0.2695565296035326,0.5720206297763091,1.5833333333333333,213.8871407426919
qubit_Z,0.0,2,0.49861869413630744,0.2695565296035326,0.5720206297763091,1.5833333333333333,213.8871407426919
qubit_Z,0.05,0,0.4971781660689888,0.2910700731757847,0.6414199644945919,1.5,206.68321233574824
qubit_Z,0.05,1,0.49364186144689975,0.3012688544002454,0.6503642917897484,1.5,201.97388723706237
qubit_Z,0.05,2,0.5025632344254602,0.26401712921041687,0.5096499650054933,1.5833333333333333,204.4398445593294
qubit_H,0.0,0,0.502994520846644,0.27191772465985187,0.3640941299491056,0.25,223.10679557271237
qubit_H,0.0,1,0.502994520846644,0.27191772465985187,0.3640941299491056,0.25,223.10679557271237
qubit_H,0.0,2,0.502994520846644,0.27191772465985187,0.3640941299491056,0.25,223.10679557271237
qubit_H,0.05,0,0.5060019566385815,0.3379768220477072,0.3228256347411905,0.25,206.6965637274123
qubit_H,0.05,1,0.5011952163671185,0.28065890044626574,0.6375082001748382,0.25,211.9585586931314
qubit_H,0.05,2,0.49717978270427826,0.27256803404109275,0.572007912238979,0.25,210.81310468443593
