system,controller,disorder_strength,seed,tail_infidelity_mean,tail_infidelity_std,tail_stability_range,final_fidelity,response_time,control_energy
qubit_X,nominal,0.0,0,5.937640100595054e-06,0.0,0.0,0.9999940623598994,2.7300000000000004,2.0103426863712732
qubit_X,nominal,0.0,1,5.937640100595054e-06,0.0,0.0,0.9999940623598994,2.7300000000000004,2.0103426863712732
qubit_X,nominal,0.0,2,5.937640100595054e-06,0.0,0.0,0.9999940623598994,2.7300000000000004,2.0103426863712732
qubit_X,nominal,0.0,3,5.937640100595054e-06,0.0,0.0,0.9999940623598994,2.7300000000000004,2.0103426863712732
qubit_X,nominal,0.0,4,5.937640100595054e-06,0.0,0.0,0.9999940623598994,2.7300000000000004,2.0103426863712732
qubit_X,nominal,0.0,5,5.937640100595054e-06,0.0,0.0,0.9999940623598994,2.7300000000000004,2.0103426863712732
qubit_X,nominal,0.02,0,4.1762523152910624e-05,0.0,0.0,0.9999582374768471,2.7300000000000004,2.0189701046980395
qubit_X,nominal,0.02,1,1.9277988405841384e-05,0.0,0.0,0.9999807220115942,2.5200000000000005,2.0319891855850907
qubit_X,nominal,0.02,2,0.00018929130374945036,0.0,0.0,0.9998107086962505,2.9400000000000004,2.0243829064909624
qubit_X,nominal,0.02,3,0.00044514148325069947,0.0,0.0,0.9995548585167493,2.87,2.0531405859548344
qubit_X,nominal,0.02,4,5.9118431860571974e-05,0.0,0.0,0.9999408815681394,2.8000000000000003,2.008392083630206
qubit_X,nominal,0.02,5,3.888005581642595e-05,0.0,0.0,0.9999611199441836,3.7100000000000004,2.036587872029735
qubit_X,nominal,0.05,0,0.00020700636010262397,0.0,0.0,0.9997929936398974,2.8000000000000003,2.0351025838676002
qubit_X,nominal,0.05,1,9.716671163295665e-05,0.0,0.0,0.999902833288367,2.31,2.0904113179934174
qubit_X,nominal,0.05,2,0.001204078278369303,7.331140260411629e-17,4.440892098500626e-16,0.9987959217216307,4.62,2.0178714542555127
qubit_X,nominal,0.05,3,0.0026852887396174863,0.0,0.0,0.9973147112603825,3.08,2.190730416954871
qubit_X,nominal,0.05,4,0.00028913396780538836,0.0,0.0,0.9997108660321946,3.43,2.0646420414966213
qubit_X,nominal,0.05,5,0.00019184164700114525,0.0,0.0,0.9998081583529989,2.8000000000000003,2.1503387726929755
qubit_X,disorder_dressed,0.0,0,3.704648821933887e-06,0.0,0.0,0.9999962953511781,3.7800000000000002,2.013796931306312
qubit_X,disorder_dressed,0.0,1,3.704648821933887e-06,0.0,0.0,0.9999962953511781,3.7800000000000002,2.013796931306312
qubit_X,disorder_dressed,0.0,2,3.704648821933887e-06,0.0,0.0,0.9999962953511781,3.7800000000000002,2.013796931306312
qubit_X,disorder_dressed,0.0,3,3.704648821933887e-06,0.0,0.0,0.9999962953511781,3.7800000000000002,2.013796931306312
qubit_X,disorder_dressed,0.0,4,3.704648821933887e-06,0.0,0.0,0.9999962953511781,3.7800000000000002,2.013796931306312
qubit_X,disorder_dressed,0.0,5,3.704648821933887e-06,0.0,0.0,0.9999962953511781,3.7800000000000002,2.013796931306312
qubit_X,disorder_dressed,0.02,0,6.184694100343705e-05,1.0347417887674148e-13,4.154454558147336e-13,0.9999381530589204,3.7800000000000002,2.0057382522075575
qubit_X,disorder_dressed,0.02,1,2.6064039062825043e-05,1.6641551850623984e-12,6.649236716782525e-12,0.9999739359596942,2.9400000000000004,2.029414586116529
qubit_X,disorder_dressed,0.02,2,0.0002682600731031411,9.359648558397447e-12,3.705225015693259e-11,0.9997317399340792,3.99,2.0027218964910514
qubit_X,disorder_dressed,0.02,3,0.0007230550531701234,1.564397933588767e-11,6.265876706379458e-11,0.9992769449584329,4.2700000000000005,2.027437260664176
qubit_X,disorder_dressed,0.02,4,0.00010711005401379445,3.2394084116504237e-13,1.3020695632803836e-12,0.9998928899457484,3.5700000000000003,2.0397099910585132
qubit_X,disorder_dressed,0.02,5,7.764934260804786e-05,9.80293459938916e-13,3.903655176884513e-12,0.9999223506566528,3.3600000000000003,2.0599245807254474
qubit_X,disorder_dressed,0.05,0,0.0003348413047112424,1.463311472617172e-12,5.9816596120754184e-12,0.9996651586963149,3.99,2.014834848823444
qubit_X,disorder_dressed,0.05,1,0.00010730781692122962,3.696896595560902e-13,1.4966916594971735e-12,0.9998926921828127,2.5200000000000005,2.131129524190386
qubit_X,disorder_dressed,0.05,2,0.001728346509191658,8.107804097029842e-11,3.206617193995953e-10,0.9982716535532007,4.550000000000001,2.090036922836126
