task,noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy
Z,deph_0.002,0.08,0.002,0.0,51,0.980896033852035,0.019103966147964946,0.968619781091856,4.9225
Z,deph_0.002,0.08,0.002,0.0,52,0.9835147385182422,0.016485261481757774,0.9683939685211259,4.9225
Z,deph_0.002,0.08,0.002,0.0,53,0.9808303053261397,0.019169694673860316,0.9686675106138043,4.9225
Z,deph_0.002,0.08,0.002,0.0,54,0.9830319287487639,0.016968071251236116,0.9685211905412685,4.9225
Z,deph_0.002,0.08,0.002,0.0,55,0.9790406123610933,0.0209593876389067,0.968721843592847,4.9225
Z,deph_0.002,0.08,0.002,0.0,56,0.9834577348651612,0.016542265134838807,0.9684978662854545,4.9225
Z,deph_0.002,0.08,0.002,0.0,57,0.9838085834158099,0.0161914165841901,0.9685337032959747,4.9225
Z,deph_0.002,0.08,0.002,0.0,58,0.9838403820976281,0.01615961790237186,0.9685242403520992,4.9225
Z,deph_0.002,0.08,0.002,0.0,59,0.9831846746644648,0.016815325335535203,0.9684287625065986,4.9225
Z,deph_0.005,0.08,0.005,0.0,10,0.9609141826445491,0.039085817355450914,0.9270984022813391,4.9225
Z,deph_0.005,0.08,0.005,0.0,11,0.9612565726393497,0.038743427360650284,0.9270367078427328,4.9225
Z,deph_0.005,0.08,0.005,0.0,12,0.9609520221768586,0.0390479778231414,0.9270313121889415,4.9225
Z,deph_0.005,0.08,0.005,0.0,13,0.958367085957638,0.041632914042362024,0.9272499875824737,4.9225
Z,deph_0.005,0.08,0.005,0.0,14,0.9603539308603823,0.03964606913961766,0.9271817439160652,4.9225
Z,deph_0.005,0.08,0.005,0.0,15,0.9602079645941609,0.03979203540583909,0.9270773890806953,4.9225
Z,deph_0.005,0.08,0.005,0.0,16,0.9615009707955193,0.03849902920448067,0.9269787565779424,4.9225
Z,deph_0.005,0.08,0.005,0.0,17,0.9614198191491148,0.038580180850885215,0.9269673179218072,4.9225
Z,deph_0.005,0.08,0.005,0.0,18,0.9583656980606154,0.041634301939384555,0.9272224768683232,4.9225
Z,deph_0.005,0.08,0.005,0.0,19,0.9602712776427671,0.039728722357232904,0.9269659975377196,4.9225
Z,deph_0.005,0.08,0.005,0.0,20,0.9613827159464197,0.038617284053580336,0.9270123093291658,4.9225
Z,deph_0.005,0.08,0.005,0.0,21,0.9603379457198293,0.03966205428017067,0.927009224450234,4.9225
Z,deph_0.005,0.08,0.005,0.0,22,0.9606312235727998,0.03936877642720016,0.9271365406034167,4.9225
Z,deph_0.005,0.08,0.005,0.0,23,0.9615896033671573,0.038410396632842736,0.9269583181723827,4.9225
Z,deph_0.005,0.08,0.005,0.0,24,0.9613730832707166,0.03862691672928342,0.9269910757503842,4.9225
Z,deph_0.005,0.08,0.005,0.0,25,0.961415730639336,0.03858426936066395,0.9270402136717917,4.9225
Z,deph_0.005,0.08,0.005,0.0,26,0.9585872515750776,0.041412748424922374,0.9272012118279724,4.9225
Z,deph_0.005,0.08,0.005,0.0,27,0.9619971406699253,0.038002859330074745,0.9270170537513805,4.9225
Z,deph_0.005,0.08,0.005,0.0,28,0.9618155808013078,0.0381844191986922,0.9268818412818806,4.9225
Z,deph_0.005,0.08,0.005,0.0,29,0.9618986220546855,0.03810137794531454,0.9268949975888912,4.9225
Z,deph_0.005,0.08,0.005,0.0,30,0.961223523653274,0.038776476346725985,0.9269764682457291,4.9225
Z,deph_0.005,0.08,0.005,0.0,31,0.961565732704226,0.03843426729577404,0.9269772664085171,4.9225
Z,deph_0.005,0.08,0.005,0.0,32,0.9611167374183129,0.03888326258168706,0.9269979309311825,4.9225
Z,deph_0.005,0.08,0.005,0.0,33,0.9594816237034325,0.040518376296567515,0.9271849411592573,4.9225
Z,deph_0.005,0.08,0.005,0.0,34,0.9601482826525403,0.039851717347459736,0.9271544561148723,4.9225
Z,deph_0.005,0.08,0.005,0.0,35,0.9614181338957262,0.03858186610427383,0.9269322887957974,4.9225
Z,deph_0.005,0.08,0.005,0.0,36,0.9615388239131654,0.038461176086834636,0.9269793709329168,4.9225
Z,deph_0.005,0.08,0.005,0.0,37,0.9610208572087356,0.038979142791264354,0.9271007025064497,4.9225
Z,deph_0.005,0.08,0.005,0.0,38,0.9618406728891868,0.03815932711081316,0.926967319034316,4.9225
Z,deph_0.005,0.08,0.005,0.0,39,0.9608540423107919,0.039145957689208144,0.9270399198709326,4.9225
Z,deph_0.005,0.08,0.005,0.0,40,0.960162844761594,0.03983715523840603,0.9271528316197435,4.9225
Z,deph_0.005,0.08,0.005,0.0,41,0.9616542728430071,0.038345727156992915,0.9268597798406493,4.9225
Z,deph_0.005,0.08,0.005,0.0,42,0.9585018614343565,0.04149813856564355,0.9272384211037203,4.9225
Z,deph_0.005,0.08,0.005,0.0,43,0.9600048115432105,0.03999518845678951,0.9270206007393913,4.9225
Z,deph_0.005,0.08,0.005,0.0,44,0.9618341973516851,0.03816580264831493,0.9269719726798128,4.9225
Z,deph_0.005,0.08,0.005,0.0,45,0.9587386921737626,0.04126130782623738,0.9271941736495402,4.9225
Z,deph_0.005,0.08,0.005,0.0,46,0.9594414003209503,0.040558599679049734,0.9269417152387697,4.9225
Z,deph_0.005,0.08,0.005,0.0,47,0.9619506003059031,0.03804939969409693,0.9270187114086077,4.9225
Z,deph_0.005,0.08,0.005,0.0,48,0.9596450439080011,0.040354956091998906,0.9269851069219711,4.9225
Z,deph_0.005,0.08,0.005,0.0,49,0.9602900087066898,0.03970999129331021,0.9270544734034865,4.9225
Z,deph_0.005,0.08,0.005,0.0,50,0.9600772121983419,0.039922787801658144,0.9271514696735919,4.9225
Z,deph_0.005,0.08,0.005,0.0,51,0.9592065110850223,0.040793488914977694,0.9271640193415731,4.9225
Z,deph_0.005,0.08,0.005,0.0,52,0.9615812353473459,0.03841876465265415,0.9268507416431588,4.9225
Z,deph_0.005,0.08,0.005,0.0,53,0.9591228628599358,0.040877137140064246,0.9272045254931223,4.9225
Z,deph_0.005,0.08,0.005,0.0,54,0.961164419449765,0.03883558055023495,0.9270265237888071,4.9225
Z,deph_0.005,0.08,0.005,0.0,55,0.957497344750474,0.04250265524952601,0.9273233310777311,4.9225
Z,deph_0.005,0.08,0.005,0.0,56,0.9615674433990845,0.03843255660091549,0.9270211469277758,4.9225
Z,deph_0.005,0.08,0.005,0.0,57,0.9619043103176059,0.038095689682394074,0.9270721482319543,4.9225
Z,deph_0.005,0.08,0.005,0.0,58,0.961917104957047,0.038082895042953036,0.9270276476535075,4.9225
Z,deph_0.005,0.08,0.005,0.0,59,0.9613301610265017,0.038669838973498294,0.9269796316862395,4.9225
Z,deph_0.010,0.08,0.01,0.0,10,0.9267134736365703,0.0732865263634297,0.8659729806555209,4.9225
Z,deph_0.010,0.08,0.01,0.0,11,0.9270678616552595,0.07293213834474055,0.8659963605680165,4.9225
Z,deph_0.010,0.08,0.01,0.0,12,0.9268076576683817,0.07319234233161831,0.8660032128032387,4.9225
Z,deph_0.010,0.08,0.01,0.0,13,0.9244565194207526,0.07554348057924742,0.8661573788368864,4.9225
Z,deph_0.010,0.08,0.01,0.0,14,0.9262106207879393,0.07378937921206075,0.8660767804501192,4.9225
Z,deph_0.010,0.08,0.01,0.0,15,0.9260762711019721,0.0739237288980279,0.8659365091104819,4.9225
Z,deph_0.010,0.08,0.01,0.0,16,0.9272188908616961,0.07278110913830393,0.865868091401048,4.9225
Z,deph_0.010,0.08,0.01,0.0,17,0.9270841080589654,0.07291589194103465,0.8657506534279164,4.9225
Z,deph_0.010,0.08,0.01,0.0,18,0.9244645498731268,0.07553545012687324,0.8661389676603185,4.9225
Z,deph_0.010,0.08,0.01,0.0,19,0.9261718987382032,0.07382810126179684,0.865915370210387,4.9225
Z,deph_0.010,0.08,0.01,0.0,20,0.9271510953160729,0.07284890468392713,0.8659445804810817,4.9225
Z,deph_0.010,0.08,0.01,0.0,21,0.9262038346739132,0.0737961653260868,0.865914089580623,4.9225
Z,deph_0.010,0.08,0.01,0.0,22,0.9264741854394221,0.07352581456057794,0.8660308031731496,4.9225
Z,deph_0.010,0.08,0.01,0.0,23,0.9272444343265148,0.07275556567348518,0.8657450798729801,4.9225
Z,deph_0.010,0.08,0.01,0.0,24,0.9270476388588343,0.07295236114116566,0.865788097304135,4.9225
Z,deph_0.010,0.08,0.01,0.0,25,0.9270976784424294,0.07290232155757059,0.8658594285547428,4.9225
Z,deph_0.010,0.08,0.01,0.0,26,0.9246674836372658,0.07533251636273419,0.8661156510868471,4.9225
Z,deph_0.010,0.08,0.01,0.0,27,0.9276523880010005,0.07234761199899953,0.8658679410403096,4.9225
Z,deph_0.010,0.08,0.01,0.0,28,0.9274327148846154,0.07256728511538457,0.865668551474911,4.9225
Z,deph_0.010,0.08,0.01,0.0,29,0.9275082087913022,0.07249179120869775,0.8656859870602027,4.9225
Z,deph_0.010,0.08,0.01,0.0,30,0.9269302955267686,0.07306970447323136,0.8657864905094674,4.9225
Z,deph_0.010,0.08,0.01,0.0,31,0.9272638777577329,0.07273612224226711,0.8658491363757048,4.9225
Z,deph_0.010,0.08,0.01,0.0,32,0.926895993018693,0.07310400698130703,0.8658704496067626,4.9225
Z,deph_0.010,0.08,0.01,0.0,33,0.9254060536139811,0.0745939463860189,0.8660478935004178,4.9225
Z,deph_0.010,0.08,0.01,0.0,34,0.9260012403411821,0.07399875965881786,0.8660270967596939,4.9225
Z,deph_0.010,0.08,0.01,0.0,35,0.9271221536823777,0.07287784631762229,0.8657920838464658,4.9225
Z,deph_0.010,0.08,0.01,0.0,36,0.9272270831206517,0.07277291687934828,0.8657977847447591,4.9225
Z,deph_0.010,0.08,0.01,0.0,37,0.9267627904476388,0.07323720955236124,0.8659416933302971,4.9225
Z,deph_0.010,0.08,0.01,0.0,38,0.9274345064540362,0.07256549354596376,0.8657165961369808,4.9225
Z,deph_0.010,0.08,0.01,0.0,39,0.9267313993881229,0.07326860061187712,0.8660210365407675,4.9225
Z,deph_0.010,0.08,0.01,0.0,40,0.9260663410888346,0.07393365891116543,0.8660559786983472,4.9225
Z,deph_0.010,0.08,0.01,0.0,41,0.9272838416180176,0.07271615838198242,0.8656466862830356,4.9225
Z,deph_0.010,0.08,0.01,0.0,42,0.924567617578431,0.07543238242156902,0.8661420751665563,4.9225
Z,deph_0.010,0.08,0.01,0.0,43,0.925930627892112,0.074069372107888,0.8659487164177362,4.9225
Z,deph_0.010,0.08,0.01,0.0,44,0.9274282527418507,0.0725717472581493,0.8657214914827258,4.9225
Z,deph_0.010,0.08,0.01,0.0,45,0.9248060379787131,0.07519396202128692,0.8661094511210155,4.9225
Z,deph_0.010,0.08,0.01,0.0,46,0.925411298316986,0.07458870168301401,0.865875209144795,4.9225
Z,deph_0.010,0.08,0.01,0.0,47,0.9275913845951878,0.07240861540481225,0.8658598108059624,4.9225
Z,deph_0.010,0.08,0.01,0.0,48,0.9256386672613646,0.07436133273863543,0.8659621559452009,4.9225
Z,deph_0.010,0.08,0.01,0.0,49,0.9262512544646406,0.07374874553535937,0.8660462150408723,4.9225
Z,deph_0.010,0.08,0.01,0.0,50,0.9259188734928678,0.07408112650713217,0.8659938891831462,4.9225
Z,deph_0.010,0.08,0.01,0.0,51,0.9252158258666221,0.0747841741333779,0.866066338720413,4.9225
Z,deph_0.010,0.08,0.01,0.0,52,0.9272147890341484,0.07278521096585155,0.8656381677319764,4.9225
Z,deph_0.010,0.08,0.01,0.0,53,0.9251052533491846,0.07489474665081541,0.8660932406637125,4.9225
Z,deph_0.010,0.08,0.01,0.0,54,0.9268979066655902,0.07310209333440976,0.8658747500427415,4.9225
Z,deph_0.010,0.08,0.01,0.0,55,0.923733539450222,0.07626646054977804,0.8662983451456246,4.9225
Z,deph_0.010,0.08,0.01,0.0,56,0.9272647912959397,0.07273520870406025,0.8658918858360158,4.9225
Z,deph_0.010,0.08,0.01,0.0,57,0.9275792584424467,0.07242074155755329,0.8659622723350207,4.9225
Z,deph_0.010,0.08,0.01,0.0,58,0.9275638456472806,0.07243615435271944,0.8658720561107209,4.9225
Z,deph_0.010,0.08,0.01,0.0,59,0.927082670450031,0.07291732954996899,0.8658886570324391,4.9225
Z,relax_0.002,0.08,0.0,0.002,10,0.993916610895522,0.006083389104478032,0.9906173037519793,4.9225
Z,relax_0.002,0.08,0.0,0.002,11,0.994531131856367,0.00546886814363301,0.9909587148515739,4.9225
Z,relax_0.002,0.08,0.0,0.002,12,0.9941730225335274,0.005826977466472649,0.9909225461285668,4.9225
Z,relax_0.002,0.08,0.0,0.002,13,0.9911632283582318,0.008836771641768215,0.9909489367061635,4.9225
Z,relax_0.002,0.08,0.0,0.002,14,0.9932937147722893,0.006706285227710662,0.9906675725335049,4.9225
Z,relax_0.002,0.08,0.0,0.002,15,0.9932286764449985,0.0067713235550015405,0.9908012501791468,4.9225
Z,relax_0.002,0.08,0.0,0.002,16,0.9948621273811993,0.005137872618800721,0.9909639683735039,4.9225
Z,relax_0.002,0.08,0.0,0.002,17,0.9947123055267378,0.005287694473262161,0.990859994805681,4.9225
Z,relax_0.002,0.08,0.0,0.002,18,0.9911644725192976,0.008835527480702376,0.9909312139199242,4.9225
Z,relax_0.002,0.08,0.0,0.002,19,0.9934226918693562,0.006577308130643833,0.9908285106859609,4.9225
Z,relax_0.002,0.08,0.0,0.002,20,0.9947028981787578,0.005297101821242212,0.9909666342141301,4.9225
Z,relax_0.002,0.08,0.0,0.002,21,0.9933967311342606,0.0066032688657393646,0.9906781051612208,4.9225
Z,relax_0.002,0.08,0.0,0.002,22,0.9935742161809152,0.006425783819084763,0.9906069033697822,4.9225
Z,relax_0.002,0.08,0.0,0.002,23,0.9949388465879818,0.005061153412018182,0.9909398089133374,4.9225
Z,relax_0.002,0.08,0.0,0.002,24,0.9946193271874726,0.0053806728125274095,0.9907958230474655,4.9225
Z,relax_0.002,0.08,0.0,0.002,25,0.9946045396572978,0.0053954603427022185,0.9907243366821296,4.9225
Z,relax_0.002,0.08,0.0,0.002,26,0.9913743785699409,0.008625621430059072,0.9908509075329275,4.9225
Z,relax_0.002,0.08,0.0,0.002,27,0.9954197666698179,0.004580233330182093,0.9910601225499893,4.9225
Z,relax_0.002,0.08,0.0,0.002,28,0.9951181368542745,0.0048818631457254735,0.99068441702385,4.9225
Z,relax_0.002,0.08,0.0,0.002,29,0.9951871735434862,0.004812826456513819,0.9906476196099884,4.9225
Z,relax_0.002,0.08,0.0,0.002,30,0.994471513150884,0.005528486849115999,0.9908311425322227,4.9225
Z,relax_0.002,0.08,0.0,0.002,31,0.9949394002179296,0.005060599782070407,0.9909723413767235,4.9225
Z,relax_0.002,0.08,0.0,0.002,32,0.9943567970816919,0.00564320291830811,0.9909087755081212,4.9225
Z,relax_0.002,0.08,0.0,0.002,33,0.9925326283981364,0.007467371601863615,0.9910827438478018,4.9225
Z,relax_0.002,0.08,0.0,0.002,34,0.9933169987155777,0.006683001284422341,0.9911083725700619,4.9225
Z,relax_0.002,0.08,0.0,0.002,35,0.9947727283578962,0.005227271642103792,0.9909112769603642,4.9225
Z,relax_0.002,0.08,0.0,0.002,36,0.9947184687957098,0.005281531204290202,0.9906742108371038,4.9225
Z,relax_0.002,0.08,0.0,0.002,37,0.9941174000985445,0.005882599901455454,0.9907142311529156,4.9225
Z,relax_0.002,0.08,0.0,0.002,38,0.9952667789517757,0.004733221048224268,0.9910297734415494,4.9225
Z,relax_0.002,0.08,0.0,0.002,39,0.9940486515521132,0.005951348447886806,0.9909143161240259,4.9225
Z,relax_0.002,0.08,0.0,0.002,40,0.993048881442783,0.006951118557216973,0.9906314349846067,4.9225
Z,relax_0.002,0.08,0.0,0.002,41,0.9949791650726532,0.00502083492734684,0.9907244797045869,4.9225
Z,relax_0.002,0.08,0.0,0.002,42,0.9913666300643816,0.008633369935618362,0.9910228855127573,4.9225
Z,relax_0.002,0.08,0.0,0.002,43,0.9930228801950161,0.0069771198049839445,0.9907058752660192,4.9225
Z,relax_0.002,0.08,0.0,0.002,44,0.9952623959952487,0.004737604004751317,0.991039445108622,4.9225
Z,relax_0.002,0.08,0.0,0.002,45,0.991518313159262,0.008481686840738023,0.9908009293894585,4.9225
Z,relax_0.002,0.08,0.0,0.002,46,0.9924629206165192,0.007537079383480805,0.990699446853133,4.9225
Z,relax_0.002,0.08,0.0,0.002,47,0.9951476560279483,0.004852343972051698,0.9905976648363618,4.9225
Z,relax_0.002,0.08,0.0,0.002,48,0.9926806919099889,0.007319308090011134,0.9907757795948161,4.9225
Z,relax_0.002,0.08,0.0,0.002,49,0.9933632440715545,0.006636755928445481,0.9908557439209229,4.9225
Z,relax_0.002,0.08,0.0,0.002,50,0.9932382901673056,0.006761709832694418,0.9911119741778135,4.9225
Z,relax_0.002,0.08,0.0,0.002,51,0.992040510842543,0.007959489157457034,0.9907702221545316,4.9225
Z,relax_0.002,0.08,0.0,0.002,52,0.9949019782537907,0.005098021746209325,0.990709398384087,4.9225
Z,relax_0.002,0.08,0.0,0.002,53,0.9921105389883509,0.007889461011649113,0.9910669342074665,4.9225
Z,relax_0.002,0.08,0.0,0.002,54,0.9944565438764642,0.005543456123535795,0.9909889103208587,4.9225
Z,relax_0.002,0.08,0.0,0.002,55,0.990064647236351,0.009935352763648986,0.9907961048085865,4.9225
Z,relax_0.002,0.08,0.0,0.002,56,0.9949423774941917,0.0050576225058083235,0.9910273932241946,4.9225
Z,relax_0.002,0.08,0.0,0.002,57,0.995331929278353,0.0046680707216469886,0.9911111852321397,4.9225
Z,relax_0.002,0.08,0.0,0.002,58,0.9951067649458267,0.004893235054173273,0.9906007467469421,4.9225
Z,relax_0.002,0.08,0.0,0.002,59,0.9946582040858919,0.005341795914108105,0.990943120105539,4.9225
Z,combined,0.08,0.005,0.002,10,0.9572578294658294,0.04274217053417062,0.9203876048229879,4.9225
