task,controller,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,process_grape_reference,0.08,10,0.9988491830637007,0.9991839818779541,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,11,0.9986265929391085,0.996380778207738,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,12,0.998390740689401,0.9970082766550951,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,13,0.9987918024351035,0.9990724648062788,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,14,0.9994394593513063,0.9889567402605509,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,15,0.9991942221552336,0.9952386216152839,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,16,0.9987176471135357,0.9908875129902128,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,17,0.9992552226094746,0.9884516093868645,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,18,0.9994900252263259,0.9960703018614483,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,19,0.9975998842167625,0.996631287315469,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,20,0.9986037167458832,0.9937867474795258,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,21,0.9987481835210877,0.9910759446079619,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,22,0.9989465831837827,0.9989216887545537,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,23,0.9992729097334377,0.9934692261873123,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,24,0.9994061851343161,0.9858502502390589,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,25,0.9997018435642553,0.9850217266903044,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,26,0.999301476068378,0.9965707880561977,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,27,0.9995889128266416,0.9997259186775231,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,28,0.9981061514346382,0.997388095703645,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,29,0.9981674071210727,0.9985371564230386,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,30,0.9992479224824267,0.9881201248696524,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,31,0.998927208518643,0.9897134942829832,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,32,0.9991645247786474,0.9955761442077385,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,33,0.9994659163476334,0.9986333588718844,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,34,0.9999693453454348,0.9930015282286259,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,35,0.9984926582014643,0.9908475512892799,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,36,0.9985639722215427,0.9980030495275107,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,37,0.9995566381001528,0.9861610753940043,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,38,0.9993246708328902,0.9968969137821135,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,39,0.998414545605464,0.9978120560497569,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,40,0.9988253130484936,0.9991962534605993,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,41,0.997997531756364,0.9959248990870373,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,42,0.9993570297005769,0.9982718792557135,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,43,0.9985667215961296,0.991503180343364,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,44,0.9993375018369282,0.9973315467184366,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,45,0.9991362546004274,0.9973028633436685,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,46,0.9971508862932206,0.998046585002136,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,47,0.9995869559337482,0.9946564183912905,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,48,0.9973949525694571,0.9980824582399643,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,49,0.9985255037876968,0.9985426963366617,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,50,0.9995707069102419,0.9986411670043543,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,51,0.9990609547646147,0.9973972863084329,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,52,0.9978419690765228,0.9965602134893792,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,53,0.9997159122437407,0.995998446657636,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,54,0.9996431186519867,0.9886886210165541,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,55,0.9985022297434099,0.9979459582443994,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,56,0.9994071008265655,0.9887794898372281,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,57,0.9996326191025202,0.9945297674796558,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,58,0.9996909542264353,0.9937547331456885,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,process_grape_reference,0.08,59,0.9984639091381042,0.9924691200721142,1.4024110838914767,60,0,0.006992642949236226,22,13,True,39.992653488065116,0.0,0,True,0.0
Z,adjoint_process_horizon,0.08,10,0.9983873219321763,0.9988226266862146,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,11,0.9982174971519754,0.9958525972403889,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,12,0.9979828095479054,0.9964838168075866,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,13,0.9986464679165132,0.9988688229214325,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,14,0.9990739752137147,0.9881884290960635,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,15,0.9989344024826198,0.9954684032037543,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,16,0.9983254029527384,0.9904318825684157,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,17,0.9989827414076874,0.9885849180724501,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,18,0.9994447788525473,0.9965236445111101,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,19,0.997221389267074,0.9961081444580479,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,20,0.9981843518207061,0.9932338814004901,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,21,0.999028077468681,0.9917795124568635,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,22,0.9984810766895224,0.9984691597140926,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,23,0.9989813124022612,0.9935434997808547,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,24,0.9991930674543459,0.9859821466128431,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,25,0.9995283635953286,0.9849299006874389,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,26,0.9991518692728276,0.9969117996194351,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,27,0.9993284464699342,0.9995499709582538,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,28,0.9977339065190067,0.9971770339618576,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,29,0.9978508274233117,0.9983405690854891,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,30,0.9990350669921031,0.9884074222956573,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,31,0.9985740186418806,0.9893747720952651,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,32,0.9989026617941589,0.9957531163271266,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,33,0.9994551696157302,0.9988235626365007,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,34,0.9999855617082051,0.9934450785237887,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,35,0.9980976469326358,0.9904137727362622,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,36,0.9981376816231394,0.9978495602810415,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,37,0.9992544494555545,0.9856623756857342,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,38,0.9990733133633969,0.9967532419238369,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,39,0.998023292029254,0.9973401696444647,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,40,0.9983492045766564,0.9988313427452763,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,41,0.9976207200755937,0.995674315475663,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,42,0.9993462348712759,0.9985355633130544,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,43,0.9987576385454646,0.9922156781663288,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,44,0.9990971430502247,0.9971792973476097,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,45,0.9989081733793466,0.9975230722032765,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,46,0.9971161994510495,0.9980630426893944,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,47,0.9996214694808072,0.9946113673356182,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,48,0.9971420722306743,0.9977995349066345,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,49,0.9982640517429543,0.9985191878912647,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,50,0.9995526543063257,0.9988037773071995,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,51,0.9987774233302041,0.9975499106680981,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,52,0.9974868696507321,0.9962957369699029,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,53,0.999750435524396,0.9964430568289179,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,54,0.9994766418730043,0.9888692447644093,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
