system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy
ensemble_lyapunov_Z,0.05,10,0.21941427884123102,0.09405823238367805,0.7338616993151024,0.12273665032553994
ensemble_lyapunov_Z,0.05,11,0.40463777170100285,0.16421223970720467,0.5126588637883683,0.12273665032553994
ensemble_lyapunov_Z,0.05,12,0.31673325731608143,0.13528235113603027,0.6145205873850816,0.12273665032553994
ensemble_lyapunov_Z,0.05,13,0.08875256129320573,0.0383050759008321,0.8916236157329418,0.12273665032553994
ensemble_lyapunov_Z,0.05,14,0.5185774758268968,0.19661328881342122,0.383334259146378,0.12273665032553994
ensemble_lyapunov_Z,0.05,15,0.07890041335126567,0.03384985121590789,0.9044809343030364,0.12273665032553994
ensemble_lyapunov_Z,0.05,16,0.5146831131113093,0.19107752211194795,0.3904258216772114,0.12273665032553994
ensemble_lyapunov_Z,0.05,17,0.17619746584402918,0.08125539540305571,0.7817329846146444,0.12273665032553994
ensemble_lyapunov_Z,0.05,18,0.26809102336660395,0.11300860987790395,0.674737784788149,0.12273665032553994
ensemble_lyapunov_Z,0.05,19,0.14274510241788047,0.0648716826856266,0.823533503074602,0.12273665032553994
ensemble_lyapunov_Z,0.05,20,0.4830394362281335,0.1850689437175933,0.42461013237205614,0.12273665032553994
ensemble_lyapunov_Z,0.05,21,0.49834731765067375,0.18490656202697475,0.4089312398662961,0.12273665032553994
ensemble_lyapunov_Z,0.05,22,0.2808464406765119,0.11865683228332413,0.6599838495369363,0.12273665032553994
ensemble_lyapunov_Z,0.05,23,0.008998871942958963,0.004919351954002504,0.9883787065055742,0.12273665032553994
ensemble_lyapunov_Z,0.05,24,0.375024917223726,0.15565057683758732,0.5458180498405621,0.12273665032553994
ensemble_lyapunov_Z,0.05,25,0.5711099161933457,0.20590322568600083,0.3268073779368322,0.12273665032553994
ensemble_lyapunov_Z,0.05,26,0.12864846940437696,0.05652073646716427,0.8430498275689513,0.12273665032553994
ensemble_lyapunov_Z,0.05,27,0.287025771688981,0.12326835015485205,0.6502713330285328,0.12273665032553994
ensemble_lyapunov_Z,0.05,28,0.02646281839476469,0.012002196530845666,0.9708562335426276,0.12273665032553994
ensemble_lyapunov_Z,0.05,29,0.12907707989616357,0.05227679264269558,0.8448852801436413,0.12273665032553994
ensemble_lyapunov_Z,0.05,30,0.2301913184960073,0.10270833091253939,0.7168570347365386,0.12273665032553994
ensemble_lyapunov_Z,0.05,31,0.5375905642759841,0.1953849179249314,0.3657310224165444,0.12273665032553994
ensemble_lyapunov_Z,0.05,32,0.0007335461621549755,0.0007875524997228434,0.9988353865334979,0.12273665032553994
ensemble_lyapunov_Z,0.05,33,0.4070885010723031,0.15976695367686544,0.5123067348045801,0.12273665032553994
ensemble_lyapunov_Z,0.05,34,0.6517462788529861,0.21231055111603525,0.24491715226866362,0.12273665032553994
ensemble_lyapunov_Z,0.05,35,0.3947149866700885,0.15772824584448342,0.5258162820309399,0.12273665032553994
ensemble_lyapunov_Z,0.05,36,0.03684240858238001,0.015762556710846254,0.9577728018466236,0.12273665032553994
ensemble_lyapunov_Z,0.05,37,0.5233392849676543,0.1975988197610048,0.37800955587725155,0.12273665032553994
ensemble_lyapunov_Z,0.05,38,0.039815607953401715,0.017786912734105376,0.9510065634664523,0.12273665032553994
ensemble_lyapunov_Z,0.05,39,0.2676042075403807,0.1174711400481917,0.6724417868376819,0.12273665032553994
ensemble_lyapunov_Z,0.05,40,0.15738172090011548,0.06961537171912524,0.8082501715413892,0.12273665032553994
ensemble_lyapunov_Z,0.05,41,0.003940809035395859,0.007771718705228525,0.9981532388798815,0.12273665032553994
ensemble_lyapunov_Z,0.05,42,0.33590606952151075,0.13679043177661088,0.5947817857869444,0.12273665032553994
ensemble_lyapunov_Z,0.05,43,0.3711112375454701,0.14916931249375898,0.5528281563916218,0.12273665032553994
ensemble_lyapunov_Z,0.05,44,0.05637469706010618,0.025235663979120138,0.93060564869296,0.12273665032553994
ensemble_lyapunov_Z,0.05,45,0.05311481735552343,0.022834466828375977,0.9360918866300809,0.12273665032553994
ensemble_lyapunov_Z,0.05,46,0.03986534413070604,0.013790001717767342,0.9524078618576681,0.12273665032553994
ensemble_lyapunov_Z,0.05,47,0.6749927384932727,0.21266988894352734,0.22256932878646385,0.12273665032553994
ensemble_lyapunov_Z,0.05,48,0.023645970785314455,0.010273161923491925,0.9706937510461984,0.12273665032553994
ensemble_lyapunov_Z,0.05,49,0.027067894421279107,0.013498107345008004,0.9657577122604826,0.12273665032553994
ensemble_lyapunov_Z,0.05,50,0.4542701654818536,0.17360316582959034,0.45853319434244677,0.12273665032553994
ensemble_lyapunov_Z,0.05,51,0.024032885639840358,0.011736307315656891,0.9723461541180743,0.12273665032553994
ensemble_lyapunov_Z,0.05,52,0.004544490238704919,0.007656560804159551,0.9976207957380651,0.12273665032553994
ensemble_lyapunov_Z,0.05,53,0.5008884136291666,0.18583287872001109,0.4064327449693256,0.12273665032553994
ensemble_lyapunov_Z,0.05,54,0.5438128145693568,0.19536760100510797,0.3596691918444097,0.12273665032553994
ensemble_lyapunov_Z,0.05,55,0.0041202659674704845,0.002991923493557702,0.9949766726158639,0.12273665032553994
