system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,task,config,horizon_steps,beam_width,segments,n_train_strengths,n_train_seeds
horizon_lyapunov_Z,0.08,10,0.08144775881639181,0.04383460824125085,0.9435609471026574,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,11,0.03863873314198664,0.01053670222145131,0.9641777125928606,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,12,0.028383383270314238,0.009608507526568388,0.9747914604102907,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,13,0.01446361772304095,0.007600761251767896,0.979819670913223,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,14,0.09454474687875312,0.02391784359138094,0.9130263135368497,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,15,0.010004092836331625,0.0026289012024759417,0.9886470768980118,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,16,0.039509585112913845,0.023797124886939414,0.9529276845856318,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,17,0.019076635531720062,0.018413154255786268,0.97146356115545,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,18,0.019913591784370313,0.02306951818670211,0.9645761586668175,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,19,0.007426102537188657,0.006277487035918128,0.992965148012278,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,20,0.04246447456854943,0.01576025411205395,0.9559527068829974,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,21,0.07928359940175529,0.020177198360583293,0.9064759463974987,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,22,0.09120955592847209,0.04390572259965608,0.9348033920842828,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,23,0.002759970824241123,0.0024914907337361125,0.9955878071072602,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,24,0.04726023543373534,0.026485610232252044,0.9403118895799798,1.655,Z,q1_b1,1,1,100,2,8
