task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,frequency_seed,restart_seed,training_objective,optimizer_iterations,optimizer_success,optimization_seconds
Z,crab,0.05,10,0.9998922946742538,0.00010770532574622127,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,11,0.9998010363958605,0.00019896360413951264,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,12,0.9997859639874461,0.0002140360125538754,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,13,0.9999932050355456,6.794964454437391e-06,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,14,0.9999835183548267,1.6481645173316295e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,15,0.999589884434346,0.0004101155656539568,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,16,0.9998979633418552,0.00010203665814478846,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,17,0.999739363332985,0.00026063666701503507,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,18,0.9998080553710578,0.00019194462894223108,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,19,0.9996972572495058,0.0003027427504942448,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,20,0.9998086596287573,0.00019134037124268755,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,21,0.9999590583059529,4.094169404711412e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,22,0.9999097558266407,9.024417335934398e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,23,0.999799194871962,0.00020080512803799522,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,24,0.9998020298834045,0.0001979701165955028,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,25,0.9999283362218596,7.166377814038505e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,26,0.9996894014689814,0.0003105985310185577,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,27,0.9999915118291041,8.48817089593723e-06,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,28,0.9998824836192519,0.0001175163807480839,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,29,0.9998701129742098,0.0001298870257901985,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,30,0.9997514902871563,0.00024850971284373635,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,31,0.9999399270148867,6.0072985113346355e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,32,0.9998964102187713,0.00010358978122870788,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,33,0.9999893184715649,1.0681528435085852e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,34,0.9999882528700357,1.1747129964323477e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,35,0.9999153279101387,8.467208986129293e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,36,0.999832269611497,0.00016773038850304012,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,37,0.9999710635557042,2.8936444295801778e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,38,0.9999280160811339,7.198391886609201e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,39,0.9998129177196586,0.00018708228034136631,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,40,0.9998793404101768,0.00012065958982321323,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,41,0.9998875263483746,0.0001124736516253666,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,42,0.9999975914802332,2.4085197668499703e-06,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
