task,method,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,design_seconds,resource_profile,training_strengths
Z,beam_horizon,0.08,1029,0.9983312133724855,0.0016687866275144625,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1030,0.9986256819131745,0.0013743180868255322,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1031,0.9986080138444867,0.0013919861555132806,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1032,0.996991083834426,0.0030089161655739716,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1033,0.9948748276926411,0.005125172307358872,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1034,0.9985935226709888,0.0014064773290112242,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1035,0.9985181519177941,0.001481848082205861,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1036,0.997777421221162,0.0022225787788380247,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1037,0.9957430710505834,0.0042569289494166496,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1038,0.9941851996253088,0.005814800374691176,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1039,0.9956250065306185,0.004374993469381527,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1040,0.9979093201488011,0.002090679851198929,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1041,0.9978539908182371,0.002146009181762887,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1042,0.9955913397048497,0.004408660295150302,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1043,0.9984501540494982,0.0015498459505017825,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1044,0.9939069177433411,0.006093082256658944,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1045,0.9962278974758292,0.0037721025241708173,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1046,0.9966890750822504,0.003310924917749647,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1047,0.9987525138727067,0.0012474861272933069,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1048,0.9962980685739853,0.003701931426014715,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
