task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,design_points_per_axis,certificate_points_per_axis
Z,selected_hard_augmented_mean_worst,0,-0.08,0.0,0.0,0.08,0.08,21,0.007999999999999993,0.006928203230275503,0.9991004764435566,0.0008995235564434045,-0.0036377780802918647,-0.004379203798881515,-0.009725331537506043,0.011269113930917547,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,1,-0.0796029752168,-0.00796029752168,0.0,0.08000000000000088,0.08,21,0.007999999999999993,0.006928203230275503,0.9990455609536322,0.0009544390463678276,-0.004326396858792547,-0.009775980805955153,-0.009819273842533949,0.01451570354109111,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,2,-0.0796029752168,0.0,-0.00796029752168,0.08000000000000088,0.08,21,0.007999999999999993,0.006928203230275503,0.9990054942366708,0.0009945057633291565,-0.0043802241982029005,-0.004446952872365961,-0.014542126756965923,0.015825144691004576,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,3,-0.0796029752168,0.0,0.00796029752168,0.08000000000000088,0.08,21,0.007999999999999993,0.006928203230275503,0.9991598462340441,0.00084015376595592,-0.002907649753996197,-0.004244056117500616,-0.004873834546773981,0.007086656659507083,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,4,-0.0796029752168,0.00796029752168,0.0,0.08000000000000088,0.08,21,0.007999999999999993,0.006928203230275503,0.9991140198702058,0.0008859801297942393,-0.0027687151279686267,0.0013359340946652587,-0.009619913970743188,0.010099170667417766,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,5,-0.07921180343813,-0.00792118034381,-0.00792118034381,0.07999999999999542,0.08,21,0.007999999999999993,0.006928203230275503,0.9989510429245388,0.0010489570754611544,-0.005133086757159108,-0.009873051754770046,-0.01461156645140893,0.018366371573417244,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,6,-0.07921180343813,-0.00792118034381,0.00792118034381,0.07999999999999542,0.08,21,0.007999999999999993,0.006928203230275503,0.9991060421702571,0.0008939578297428863,-0.003521386631606019,-0.009573925452325383,-0.004976386318334358,0.01135009397164811,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,7,-0.07921180343813,0.00792118034381,-0.00792118034381,0.07999999999999542,0.08,21,0.007999999999999993,0.006928203230275503,0.9990201444546783,0.0009798555453216506,-0.003442277410920125,0.0013194238520331525,-0.014407347903744538,0.0148715105720494,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,8,-0.07921180343813,0.00792118034381,0.00792118034381,0.07999999999999542,0.08,21,0.007999999999999993,0.006928203230275503,0.9991721545135395,0.0008278454864605322,-0.002120936710876306,0.0013734833426251036,-0.0048135675113401555,0.00543647507216219,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
Z,selected_hard_augmented_mean_worst,9,-0.07844645405527,-0.01568929081105,0.0,0.07999999999999553,0.08,21,0.007999999999999993,0.006928203230275503,0.9989560188836821,0.0010439811163178714,-0.004768137994052957,-0.014722620240313788,-0.009859818043631619,0.018349569437029093,4.1775,32.963545409962535,8.0,mean_worst,0.25,547,335,256,212,13,21
