task,controller,mode,disorder_strength,seed,state_transfer_fidelity,state_ensemble_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,n_train_seeds,n_train_strengths
Z,state_ensemble_horizon,terminal,0.08,51,0.014793055025872498,0.5003470937588856,0.3376876234669118,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,52,0.012345311435107642,0.49746491837416495,0.33390009639097507,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,53,0.21442655302784056,0.6057851468060045,0.47527672083940503,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,54,0.23895952978577614,0.6148407552609817,0.48851767260284085,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,55,0.0017941322087519918,0.498818666351868,0.3343665287293353,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,56,0.29408314809199376,0.6437381459567352,0.5265434753485138,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,57,0.31766388795010003,0.6579874025394804,0.5444972147391521,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,58,0.3390046914465038,0.6685760384362613,0.5585929624065492,0.1125,100,6,8,8,2
Z,state_ensemble_horizon,terminal,0.08,59,0.2011726513248921,0.5972033325344169,0.46488551248674365,0.1125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,10,0.8657582086189637,0.8992334914671591,0.9103919190832238,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,11,0.885200454397182,0.9084430627287459,0.9161905988392721,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,12,0.916045995931849,0.9304899961412196,0.935304662877679,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,13,0.9852741547748807,0.9881216168961812,0.9890707709366117,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,14,0.753074272056192,0.8147954979293223,0.8353692398870264,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,15,0.9916083988613172,0.993604183717767,0.9942694453365862,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,16,0.8577439198366563,0.8894990127876935,0.9000840437713696,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,17,0.9221535085011637,0.9403790807232891,0.9464542714639954,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,18,0.945461522296527,0.9587938521544931,0.9632379621071507,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,19,0.9742000376930915,0.9720448866763726,0.9713265030041288,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,20,0.86220101829947,0.8918630176783149,0.901750350804595,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,21,0.7671829990514603,0.8224931224506825,0.8409298302504232,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,22,0.8387762905148266,0.8790637704844845,0.89249293047437,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,23,0.9885619924771971,0.9896507364263591,0.9900136510760719,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,24,0.8368810034975193,0.8768048021099875,0.890112734980808,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,25,0.7362520159094641,0.80187948183604,0.823755303811566,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,26,0.9818611610349324,0.9862571145396525,0.987722432374559,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,27,0.9115996072423538,0.9317066080375426,0.9384089416359407,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,28,0.9648885976498937,0.971158805445939,0.9732488747112898,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,29,0.9099527499505944,0.9303297058783762,0.937122024520971,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,30,0.8996855986384387,0.9230619812825029,0.9308541088305248,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,31,0.8512935543174893,0.8854803567827033,0.8968759576044385,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,32,0.9925220562857648,0.9905896537190935,0.9899455195302053,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,33,0.8863899203125243,0.9143916630137694,0.9237255772475232,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,34,0.7940061158132752,0.8454814174210644,0.86263985129033,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,35,0.9066318628742835,0.9257217660175857,0.9320850670653499,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,36,0.9560304707591779,0.9662342873485735,0.9696355595450421,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,37,0.7583394667663086,0.8187221495088501,0.8388497104230274,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,38,0.9870179889470282,0.9897504760337484,0.9906613050626557,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,39,0.9300547177100597,0.9407225131746357,0.9442784449961635,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,40,0.8958706234200275,0.9219002188708744,0.9305767506878224,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,41,0.9926428834890971,0.9910145490147539,0.9904717708566405,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,42,0.9165558685031556,0.9367519076483665,0.9434839206967677,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,43,0.8308946205120618,0.8692790491522846,0.8820738586990263,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,44,0.98279726242074,0.9866661834437819,0.9879558237847968,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,45,0.9946008994518205,0.9958638643884496,0.996284852700661,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,46,0.9687800420293308,0.9681442832680833,0.9679323636810006,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,47,0.6484728030151652,0.7358748862926494,0.7650089140518079,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,48,0.9980529582736967,0.9889479917742214,0.9859130029410599,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,49,0.9920229657191727,0.986702715303784,0.9849292984986562,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,50,0.8658863451809343,0.8992042853744231,0.9103102654389245,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,51,0.9960643922570056,0.9970338878348682,0.9973570530274921,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,52,0.9853882388738512,0.9851712048306203,0.9850988601495442,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,53,0.8590145024283261,0.8939334440969094,0.9055730913197705,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,54,0.8540062613406202,0.8897695493703266,0.9016906453802314,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,55,0.990835839567285,0.9922585149805025,0.992732740118239,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,56,0.8056581480858436,0.8526911888517282,0.8683688691070205,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,57,0.7693598613800208,0.8258339588234362,0.8446586579712437,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,58,0.6371588785475015,0.7274450040301532,0.7575403791910341,1.5125,100,6,8,8,2
H,state_ensemble_horizon,terminal,0.08,59,0.8776416720717941,0.9033305167358936,0.9118934649572639,1.5125,100,6,8,8,2
