system,disorder_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
ensemble_Z,0.05,10,0.9688449272760258,0.03115507272397422,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,11,0.9884075620443082,0.011592437955691759,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,12,0.9898468123513947,0.010153187648605289,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,13,0.999221606110307,0.0007783938896930298,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,14,0.9775409390913534,0.022459060908646578,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,15,0.9909311707484555,0.009068829251544508,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,16,0.9917411499865341,0.008258850013465935,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,17,0.9994612109910473,0.0005387890089526559,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,18,0.998621740488738,0.0013782595112620255,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,19,0.9938592904582704,0.006140709541729628,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,20,0.9893345161323663,0.010665483867633663,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,21,0.9904621882950224,0.009537811704977583,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,22,0.9671454961026124,0.032854503897387644,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,23,0.9987886499810149,0.0012113500189850912,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,24,0.9958804816076645,0.004119518392335486,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,25,0.9868177884472875,0.013182211552712486,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,26,0.9948173400774062,0.005182659922593813,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,27,0.9881097091637503,0.011890290836249706,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,28,0.9814928050304161,0.018507194969583862,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,29,0.9763148841017913,0.023685115898208653,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,30,0.9991947807990785,0.0008052192009214698,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,31,0.9927387349243734,0.007261265075626633,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,32,0.9974805376398315,0.002519462360168534,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,33,0.9979678279170295,0.0020321720829704626,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,34,0.9962624435453493,0.003737556454650681,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,35,0.9936787718812767,0.0063212281187232655,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,36,0.9781145380858918,0.02188546191410823,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,37,0.984138010675454,0.015861989324545966,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,38,0.996311551600543,0.003688448399457034,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,39,0.9901371488142858,0.009862851185714172,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,40,0.9716133922469382,0.028386607753061788,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,41,0.9867529321444486,0.013247067855551409,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,42,0.9998222744232654,0.00017772557673456646,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,43,0.995278235785016,0.004721764214984048,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,44,0.995927219317235,0.004072780682764954,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,45,0.9913481686005728,0.008651831399427157,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,46,0.9943373846138279,0.005662615386172076,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,47,0.9653520554592683,0.03464794454073172,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,48,0.9955540784285581,0.004445921571441858,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,49,0.9949374820240038,0.005062517975996217,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,50,0.9961076866413511,0.0038923133586489245,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,51,0.988623462478881,0.011376537521119001,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,52,0.9858935312357545,0.014106468764245483,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,53,0.9989958855569624,0.001004114443037607,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,54,0.9962947804829931,0.0037052195170068636,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,55,0.9925945996532113,0.007405400346788715,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,56,0.9926777892075269,0.007322210792473083,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,57,0.985571842378647,0.014428157621352966,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,58,0.9658865037360819,0.03411349626391813,1.8960342384271158,0.009753779286963932
ensemble_Z,0.05,59,0.9912457255175471,0.008754274482452917,1.8960342384271158,0.009753779286963932
ensemble_H,0.05,10,0.9827723093733086,0.017227690626691383,0.4321289150718163,0.003093588434498328
